ID	DOCULECT	CONCEPT	FORM	TOKENS	MORPHEMES	COGIDS	NOTE
1	Czech	ONE	jedna				
2	Czech	TWO	dva				
3	Czech	THREE	"tři"				
4	Czech	FOUR	"čtyři"				
5	Czech	FIVE	"pět"				
6	Czech	SIX	"šest"				
7	Czech	SEVEN	sedm				
8	Czech	EIGHT	osm				
9	Czech	NINE	"devět"				
10	Czech	TEN	deset				
11	Czech	ELEVEN	"jedenáct"				
12	Czech	TWELVE	"dvanáct"				
13	Czech	THIRTEEN	"třináct"				
14	Czech	FOURTEEN	"čtrnáct"				
15	Czech	FIFTEEN	"patnáct"				
16	Czech	SIXTEEN	"šestnáct"				
17	Czech	SEVENTEEN	"sedmnáct"				
18	Czech	EIGHTEEN	"osmnáct"				
19	Czech	NINETEEN	"devatenáct"				
20	Czech	TWENTY	dvacet				
21	Czech	"TWENTY ONE"	"dvacet jedna"				
22	Czech	"TWENTY TWO"	"dvacet dva"				
23	Czech	"TWENTY THREE"	"dvacet tři"				
24	Czech	"TWENTY FOUR"	"dvacet čtyři"				
25	Czech	"TWENTY FIVE"	"dvacet pět"				
26	Czech	"TWENTY SIX"	"dvacet šest"				
27	Czech	"TWENTY SEVEN"	"dvacet sedm"				
28	Czech	"TWENTY EIGHT"	"dvacet osm"				
29	Czech	"TWENTY NINE"	"dvacet devět"				
30	Czech	THIRTY	"třicet"				
31	Czech	"THIRTY ONE"	"třicet jedna"				
32	Czech	"THIRTY TWO"	"třicet dva"				
33	Czech	"THIRTY THREE"	"třicet tři"				
34	Czech	"THIRTY FOUR"	"třicet čtyři"				
35	Czech	"THIRTY FIVE"	"třicet pět"				
36	Czech	"THIRTY SIX"	"třicet šest"				
37	Czech	"THIRTY SEVEN"	"třicet sedm"				
38	Czech	"THIRTY EIGHT"	"třicet osm"				
39	Czech	"THIRTY NINE"	"třicet devět"				
40	Czech	FORTY	"čtyřicet"				
