ID	DOCULECT	CONCEPT	FORM	TOKENS	MORPHEMES	COGIDS	NOTE
1	"Guarani, Guaraní"	ONE	"peteĩ"				
2	"Guarani, Guaraní"	TWO	"mokõi"				
3	"Guarani, Guaraní"	THREE	mbohapy				
4	"Guarani, Guaraní"	FOUR	irundy				
5	"Guarani, Guaraní"	FIVE	po				
6	"Guarani, Guaraní"	SIX	"poteĩ"				
7	"Guarani, Guaraní"	SEVEN	"pokõi"				
8	"Guarani, Guaraní"	EIGHT	poapy				
9	"Guarani, Guaraní"	NINE	porundy				
10	"Guarani, Guaraní"	TEN	pa				
11	"Guarani, Guaraní"	ELEVEN	"pateĩ"				
12	"Guarani, Guaraní"	TWELVE	"pakoĩ"				
13	"Guarani, Guaraní"	THIRTEEN	"pa'apy"				
14	"Guarani, Guaraní"	FOURTEEN	parundy				
15	"Guarani, Guaraní"	FIFTEEN	"pa po"				
16	"Guarani, Guaraní"	SIXTEEN	"pa poteĩ"				
17	"Guarani, Guaraní"	SEVENTEEN	"pa pokõi"				
18	"Guarani, Guaraní"	EIGHTEEN	"pa poapy"				
19	"Guarani, Guaraní"	NINETEEN	"pa porundy"				
20	"Guarani, Guaraní"	TWENTY	"mokõi pa"				
21	"Guarani, Guaraní"	"TWENTY ONE"	"mokõi pa peteĩ"				
22	"Guarani, Guaraní"	"TWENTY TWO"	"mokõi pa mokõi"				
23	"Guarani, Guaraní"	"TWENTY THREE"	"mokõi pa mbohapy"				
24	"Guarani, Guaraní"	"TWENTY FOUR"	"mokõi pa irundy"				
25	"Guarani, Guaraní"	"TWENTY FIVE"	"mokõi pa po"				
26	"Guarani, Guaraní"	"TWENTY SIX"	"mokõi pa poteĩ"				
27	"Guarani, Guaraní"	"TWENTY SEVEN"	"mokõi pa pokõi"				
28	"Guarani, Guaraní"	"TWENTY EIGHT"	"mokõi pa poapy"				
29	"Guarani, Guaraní"	"TWENTY NINE"	"mokõi pa porundy"				
30	"Guarani, Guaraní"	THIRTY	"mbohapy pa"				
31	"Guarani, Guaraní"	"THIRTY ONE"	"mbohapy pa peteĩ"				
32	"Guarani, Guaraní"	"THIRTY TWO"	"mbohapy pa mokõi"				
33	"Guarani, Guaraní"	"THIRTY THREE"	"mbohapy pa mbohapy"				
34	"Guarani, Guaraní"	"THIRTY FOUR"	"mbohapy pa irundy"				
35	"Guarani, Guaraní"	"THIRTY FIVE"	"mbohapy pa po"				
36	"Guarani, Guaraní"	"THIRTY SIX"	"mbohapy pa poteĩ"				
37	"Guarani, Guaraní"	"THIRTY SEVEN"	"mbohapy pa pokõi"				
38	"Guarani, Guaraní"	"THIRTY EIGHT"	"mbohapy pa poapy"				
39	"Guarani, Guaraní"	"THIRTY NINE"	"mbohapy pa porundy"				
40	"Guarani, Guaraní"	FORTY	"irundy pa"				
