ID	DOCULECT	CONCEPT	FORM	TOKENS	MORPHEMES	COGIDS	NOTE
1	German	one	eins	ai n s			
2	German	two	zwei	ts v ai			
3	German	three	drei	d r ai			
4	German	four	vier	f i: r			
5	German	five	fünf	f y n f			
6	German	six	sechs	z e k s			
7	German	seven	sieben	z i: b ə n			
8	German	eight	acht	a x t			
9	German	nine	neun	n oi n			
10	German	ten	zehn	ts e: n			
11	German	eleven	elf	E l f			
12	German	twelve	zwölf	ts v ø l f			
13	German	thirteen	dreizehn	d r ai ts e: n			
14	German	fourteen	vierzehn	f i: r ts e: n			
15	German	fifteen	fünfzehn	f y n f ts e: n			
16	German	sixteen	sechzehn	z E ç ts e: n			
17	German	seventeen	siebzehn	z i: p ts e: n			
18	German	eighteen	achtzehn	a x ts e: n			
19	German	nineteen	neunzehn	n oi n ts e: n			
20	German	twenty	zwanzig	ts v a n ts I ç			
21	German	twenty one	einundzwanzig	ai n U n ts v a n ts I ç			
22	German	twenty two	zweiundzwanzig	ts v ai U n ts v a n ts I ç			
23	German	twenty three	dreiundzwanzig	d r ai U n ts v a n ts I ç			
24	German	twenty four	vierundzwanzig	f i: r U n ts v a n ts I ç			
25	German	twenty five	fünfundzwanzig	f y n f U n ts v a n ts I ç			
26	German	twenty six	sechsundzwanzig	z E k s U n ts v a n ts I ç			
27	German	twenty seven	siebenundzwanzig	z i: b ə n U n ts v a n ts I ç			
28	German	twenty eight	achtundzwanzig	a x t U n ts v a n ts I ç			
29	German	twenty nine	neunundzwanzig	n oi n U n ts v a n ts I ç			
30	German	thirty	dreißig	d r ai s I ç			
31	German	thirty one	einunddreißig	ai n U n d r ai s I ç			
32	German	thirty two	zweiunddreißig	ts v ai U n d r ai s I ç			
33	German	thirty three	dreiunddreißig	d r ai U n d r ai s I ç			
34	German	thirty four	vierunddreißig	f i: r U n d r ai s I ç			
35	German	thirty five	fünfunddreißig	f y n f U n d r ai s I ç			
36	German	thirty six	sechsunddreißig	z E k s U n d r ai s I ç			
37	German	thirty seven	siebenunddreißig	z i: b ə n U n d r ai s I ç			
38	German	thirty eight	achtunddreißig	a x t U n d r ai s I ç			
39	German	thirty nine	neununddreißig	n oi n U n d r ai s I ç			
40	German	forty	vierzig				
