ID	DOCULECT	CONCEPT	FORM	TOKENS	MORPHEMES	COGIDS	NOTE	ISO639P3	MACROAREA	FAMILY	SCRIPT
13	Afrikaans	THIRTEEN	dertien					afr	Africa	Indo-European	Latin
14	Afrikaans	FOURTEEN	veertien					afr	Africa	Indo-European	Latin
15	Afrikaans	FIFTEEN	vyftien					afr	Africa	Indo-European	Latin
16	Afrikaans	SIXTEEN	sestien					afr	Africa	Indo-European	Latin
17	Afrikaans	SEVENTEEN	sewentien					afr	Africa	Indo-European	Latin
18	Afrikaans	EIGHTEEN	agtien					afr	Africa	Indo-European	Latin
19	Afrikaans	NINETEEN	negentien					afr	Africa	Indo-European	Latin
20	Afrikaans	TWENTY	twintig					afr	Africa	Indo-European	Latin
21	Afrikaans	TWENTY ONE	een en twintig					afr	Africa	Indo-European	Latin
22	Afrikaans	TWENTY TWO	twee en twintig					afr	Africa	Indo-European	Latin
23	Afrikaans	TWENTY THREE	drie en twintig					afr	Africa	Indo-European	Latin
24	Afrikaans	TWENTY FOUR	vier en twintig					afr	Africa	Indo-European	Latin
25	Afrikaans	TWENTY FIVE	vyf en twintig					afr	Africa	Indo-European	Latin
26	Afrikaans	TWENTY SIX	ses en twintig					afr	Africa	Indo-European	Latin
27	Afrikaans	TWENTY SEVEN	sewe en twintig					afr	Africa	Indo-European	Latin
28	Afrikaans	TWENTY EIGHT	agt en twintig					afr	Africa	Indo-European	Latin
29	Afrikaans	TWENTY NINE	nege en twintig					afr	Africa	Indo-European	Latin
30	Afrikaans	THIRTY	dertig					afr	Africa	Indo-European	Latin
31	Afrikaans	THIRTY ONE	een en dertig					afr	Africa	Indo-European	Latin
32	Afrikaans	THIRTY TWO	twee en dertig					afr	Africa	Indo-European	Latin
33	Afrikaans	THIRTY THREE	drie en dertig					afr	Africa	Indo-European	Latin
34	Afrikaans	THIRTY FOUR	vier en dertig					afr	Africa	Indo-European	Latin
35	Afrikaans	THIRTY FIVE	vyf en dertig					afr	Africa	Indo-European	Latin
36	Afrikaans	THIRTY SIX	ses en dertig					afr	Africa	Indo-European	Latin
37	Afrikaans	THIRTY SEVEN	sewe en dertig					afr	Africa	Indo-European	Latin
38	Afrikaans	THIRTY EIGHT	agt en dertig					afr	Africa	Indo-European	Latin
39	Afrikaans	THIRTY NINE	nege en dertig					afr	Africa	Indo-European	Latin
40	Afrikaans	FORTY	veertig					afr	Africa	Indo-European	Latin
0	Akan	ZERO	hwee					aka	Africa	Atlantic-Congo	Latin
1	Akan	ONE	baako					aka	Africa	Atlantic-Congo	Latin
2	Akan	TWO	abien					aka	Africa	Atlantic-Congo	Latin
3	Akan	THREE	abiɛsa					aka	Africa	Atlantic-Congo	Latin
4	Akan	FOUR	anan					aka	Africa	Atlantic-Congo	Latin
5	Akan	FIVE	anum					aka	Africa	Atlantic-Congo	Latin
6	Akan	SIX	asia					aka	Africa	Atlantic-Congo	Latin
7	Akan	SEVEN	ason					aka	Africa	Atlantic-Congo	Latin
8	Akan	EIGHT	awotwe					aka	Africa	Atlantic-Congo	Latin
9	Akan	NINE	akron					aka	Africa	Atlantic-Congo	Latin
10	Akan	TEN	du					aka	Africa	Atlantic-Congo	Latin
11	Akan	ELEVEN	du baako					aka	Africa	Atlantic-Congo	Latin
12	Akan	TWELVE	du abien					aka	Africa	Atlantic-Congo	Latin
13	Akan	THIRTEEN	du abiɛsa					aka	Africa	Atlantic-Congo	Latin
14	Akan	FOURTEEN	du anan					aka	Africa	Atlantic-Congo	Latin
15	Akan	FIFTEEN	du anum					aka	Africa	Atlantic-Congo	Latin
16	Akan	SIXTEEN	du asia					aka	Africa	Atlantic-Congo	Latin
17	Akan	SEVENTEEN	du ason					aka	Africa	Atlantic-Congo	Latin
18	Akan	EIGHTEEN	du awotwe					aka	Africa	Atlantic-Congo	Latin
19	Akan	NINETEEN	du akron					aka	Africa	Atlantic-Congo	Latin
20	Akan	TWENTY	aduonu					aka	Africa	Atlantic-Congo	Latin
21	Akan	TWENTY ONE	aduonu baako					aka	Africa	Atlantic-Congo	Latin
22	Akan	TWENTY TWO	aduonu abien					aka	Africa	Atlantic-Congo	Latin
23	Akan	TWENTY THREE	aduonu abiɛsa					aka	Africa	Atlantic-Congo	Latin
24	Akan	TWENTY FOUR	aduonu anan					aka	Africa	Atlantic-Congo	Latin
25	Akan	TWENTY FIVE	aduonu anum					aka	Africa	Atlantic-Congo	Latin
26	Akan	TWENTY SIX	aduonu asia					aka	Africa	Atlantic-Congo	Latin
27	Akan	TWENTY SEVEN	aduonu ason					aka	Africa	Atlantic-Congo	Latin
28	Akan	TWENTY EIGHT	aduonu awotwe					aka	Africa	Atlantic-Congo	Latin
29	Akan	TWENTY NINE	aduonu akron					aka	Africa	Atlantic-Congo	Latin
30	Akan	THIRTY	aduasa					aka	Africa	Atlantic-Congo	Latin
31	Akan	THIRTY ONE	aduasa baako					aka	Africa	Atlantic-Congo	Latin
32	Akan	THIRTY TWO	aduasa abien					aka	Africa	Atlantic-Congo	Latin
33	Akan	THIRTY THREE	aduasa abiɛsa					aka	Africa	Atlantic-Congo	Latin
34	Akan	THIRTY FOUR	aduasa anan					aka	Africa	Atlantic-Congo	Latin
35	Akan	THIRTY FIVE	aduasa anum					aka	Africa	Atlantic-Congo	Latin
36	Akan	THIRTY SIX	aduasa asia					aka	Africa	Atlantic-Congo	Latin
37	Akan	THIRTY SEVEN	aduasa ason					aka	Africa	Atlantic-Congo	Latin
38	Akan	THIRTY EIGHT	aduasa awotwe					aka	Africa	Atlantic-Congo	Latin
39	Akan	THIRTY NINE	aduasa akron					aka	Africa	Atlantic-Congo	Latin
40	Akan	FORTY	aduanan					aka	Africa	Atlantic-Congo	Latin
0	Akan	ZERO	ohunu					aka	Africa	Atlantic-Congo	Latin
1	Akan	ONE	baako					aka	Africa	Atlantic-Congo	Latin
2	Akan	TWO	mmienu					aka	Africa	Atlantic-Congo	Latin
3	Akan	THREE	mmiɛnsa					aka	Africa	Atlantic-Congo	Latin
4	Akan	FOUR	ɛnan					aka	Africa	Atlantic-Congo	Latin
5	Akan	FIVE	enum					aka	Africa	Atlantic-Congo	Latin
6	Akan	SIX	nsia					aka	Africa	Atlantic-Congo	Latin
7	Akan	SEVEN	nson					aka	Africa	Atlantic-Congo	Latin
8	Akan	EIGHT	nwɔtwe					aka	Africa	Atlantic-Congo	Latin
9	Akan	NINE	nkron					aka	Africa	Atlantic-Congo	Latin
10	Akan	TEN	edu					aka	Africa	Atlantic-Congo	Latin
11	Akan	ELEVEN	du baako					aka	Africa	Atlantic-Congo	Latin
12	Akan	TWELVE	du mmienu					aka	Africa	Atlantic-Congo	Latin
13	Akan	THIRTEEN	du mmiɛnsa					aka	Africa	Atlantic-Congo	Latin
14	Akan	FOURTEEN	du nnan					aka	Africa	Atlantic-Congo	Latin
15	Akan	FIFTEEN	du nnum					aka	Africa	Atlantic-Congo	Latin
16	Akan	SIXTEEN	du nsia					aka	Africa	Atlantic-Congo	Latin
17	Akan	SEVENTEEN	du nson					aka	Africa	Atlantic-Congo	Latin
18	Akan	EIGHTEEN	du nwɔtwe					aka	Africa	Atlantic-Congo	Latin
19	Akan	NINETEEN	du nkron					aka	Africa	Atlantic-Congo	Latin
20	Akan	TWENTY	aduonu					aka	Africa	Atlantic-Congo	Latin
21	Akan	TWENTY ONE	aduonu baako					aka	Africa	Atlantic-Congo	Latin
22	Akan	TWENTY TWO	aduonu mmienu					aka	Africa	Atlantic-Congo	Latin
23	Akan	TWENTY THREE	aduonu mmiɛnsa					aka	Africa	Atlantic-Congo	Latin
24	Akan	TWENTY FOUR	aduonu nnan					aka	Africa	Atlantic-Congo	Latin
25	Akan	TWENTY FIVE	aduonu nnum					aka	Africa	Atlantic-Congo	Latin
26	Akan	TWENTY SIX	aduonu nsia					aka	Africa	Atlantic-Congo	Latin
27	Akan	TWENTY SEVEN	aduonu nson					aka	Africa	Atlantic-Congo	Latin
28	Akan	TWENTY EIGHT	aduonu nwɔtwe					aka	Africa	Atlantic-Congo	Latin
29	Akan	TWENTY NINE	aduonu nkron					aka	Africa	Atlantic-Congo	Latin
30	Akan	THIRTY	aduasa					aka	Africa	Atlantic-Congo	Latin
31	Akan	THIRTY ONE	aduasa baako					aka	Africa	Atlantic-Congo	Latin
32	Akan	THIRTY TWO	aduasa mmienu					aka	Africa	Atlantic-Congo	Latin
33	Akan	THIRTY THREE	aduasa mmiɛnsa					aka	Africa	Atlantic-Congo	Latin
34	Akan	THIRTY FOUR	aduasa nnan					aka	Africa	Atlantic-Congo	Latin
35	Akan	THIRTY FIVE	aduasa nnum					aka	Africa	Atlantic-Congo	Latin
36	Akan	THIRTY SIX	aduasa nsia					aka	Africa	Atlantic-Congo	Latin
37	Akan	THIRTY SEVEN	aduasa nson					aka	Africa	Atlantic-Congo	Latin
38	Akan	THIRTY EIGHT	aduasa nwɔtwe					aka	Africa	Atlantic-Congo	Latin
39	Akan	THIRTY NINE	aduasa nkron					aka	Africa	Atlantic-Congo	Latin
40	Akan	FORTY	aduanan					aka	Africa	Atlantic-Congo	Latin
0	Amharic	ZERO	ዜሮ					amh	Africa	Afro-Asiatic	Ethiopic
1	Amharic	ONE	አንድ					amh	Africa	Afro-Asiatic	Ethiopic
2	Amharic	TWO	ሁለት					amh	Africa	Afro-Asiatic	Ethiopic
3	Amharic	THREE	ሦስት					amh	Africa	Afro-Asiatic	Ethiopic
4	Amharic	FOUR	አራት					amh	Africa	Afro-Asiatic	Ethiopic
5	Amharic	FIVE	አምስት					amh	Africa	Afro-Asiatic	Ethiopic
6	Amharic	SIX	ስድስት					amh	Africa	Afro-Asiatic	Ethiopic
7	Amharic	SEVEN	ሰባት					amh	Africa	Afro-Asiatic	Ethiopic
8	Amharic	EIGHT	ስምንት					amh	Africa	Afro-Asiatic	Ethiopic
9	Amharic	NINE	ዘጠኝ					amh	Africa	Afro-Asiatic	Ethiopic
10	Amharic	TEN	ዐሥር					amh	Africa	Afro-Asiatic	Ethiopic
11	Amharic	ELEVEN	ዐሥራ አንድ					amh	Africa	Afro-Asiatic	Ethiopic
12	Amharic	TWELVE	ዐሥራ ሁለት					amh	Africa	Afro-Asiatic	Ethiopic
13	Amharic	THIRTEEN	ዐሥራ ሦስት					amh	Africa	Afro-Asiatic	Ethiopic
14	Amharic	FOURTEEN	ዐሥራ አራት					amh	Africa	Afro-Asiatic	Ethiopic
15	Amharic	FIFTEEN	ዐሥራ አምስት					amh	Africa	Afro-Asiatic	Ethiopic
16	Amharic	SIXTEEN	ዐሥራ ስድስት					amh	Africa	Afro-Asiatic	Ethiopic
17	Amharic	SEVENTEEN	ዐሥራ ሰባት					amh	Africa	Afro-Asiatic	Ethiopic
18	Amharic	EIGHTEEN	ዐሥራ ስምንት					amh	Africa	Afro-Asiatic	Ethiopic
19	Amharic	NINETEEN	ዐሥራ ዘጠኝ					amh	Africa	Afro-Asiatic	Ethiopic
20	Amharic	TWENTY	ሃያ					amh	Africa	Afro-Asiatic	Ethiopic
21	Amharic	TWENTY ONE	ሃያ አንድ					amh	Africa	Afro-Asiatic	Ethiopic
22	Amharic	TWENTY TWO	ሃያ ሁለት					amh	Africa	Afro-Asiatic	Ethiopic
23	Amharic	TWENTY THREE	ሃያ ሦስት					amh	Africa	Afro-Asiatic	Ethiopic
24	Amharic	TWENTY FOUR	ሃያ አራት					amh	Africa	Afro-Asiatic	Ethiopic
25	Amharic	TWENTY FIVE	ሃያ አምስት					amh	Africa	Afro-Asiatic	Ethiopic
26	Amharic	TWENTY SIX	ሃያ ስድስት					amh	Africa	Afro-Asiatic	Ethiopic
27	Amharic	TWENTY SEVEN	ሃያ ሰባት					amh	Africa	Afro-Asiatic	Ethiopic
28	Amharic	TWENTY EIGHT	ሃያ ስምንት					amh	Africa	Afro-Asiatic	Ethiopic
29	Amharic	TWENTY NINE	ሃያ ዘጠኝ					amh	Africa	Afro-Asiatic	Ethiopic
30	Amharic	THIRTY	ሠላሳ					amh	Africa	Afro-Asiatic	Ethiopic
31	Amharic	THIRTY ONE	ሠላሳ አንድ					amh	Africa	Afro-Asiatic	Ethiopic
32	Amharic	THIRTY TWO	ሠላሳ ሁለት					amh	Africa	Afro-Asiatic	Ethiopic
33	Amharic	THIRTY THREE	ሠላሳ ሦስት					amh	Africa	Afro-Asiatic	Ethiopic
34	Amharic	THIRTY FOUR	ሠላሳ አራት					amh	Africa	Afro-Asiatic	Ethiopic
35	Amharic	THIRTY FIVE	ሠላሳ አምስት					amh	Africa	Afro-Asiatic	Ethiopic
36	Amharic	THIRTY SIX	ሠላሳ ስድስት					amh	Africa	Afro-Asiatic	Ethiopic
37	Amharic	THIRTY SEVEN	ሠላሳ ሰባት					amh	Africa	Afro-Asiatic	Ethiopic
38	Amharic	THIRTY EIGHT	ሠላሳ ስምንት					amh	Africa	Afro-Asiatic	Ethiopic
39	Amharic	THIRTY NINE	ሠላሳ ዘጠኝ					amh	Africa	Afro-Asiatic	Ethiopic
40	Amharic	FORTY	አርባ					amh	Africa	Afro-Asiatic	Ethiopic
0	Standard Arabic	ZERO	صِفْرً					arb	Eurasia	Afro-Asiatic	Arabic
1	Standard Arabic	ONE	واحِدً					arb	Eurasia	Afro-Asiatic	Arabic
2	Standard Arabic	TWO	اِثْنانِ					arb	Eurasia	Afro-Asiatic	Arabic
3	Standard Arabic	THREE	ثَلاثً					arb	Eurasia	Afro-Asiatic	Arabic
4	Standard Arabic	FOUR	أَرْبَعً					arb	Eurasia	Afro-Asiatic	Arabic
5	Standard Arabic	FIVE	خَمْسً					arb	Eurasia	Afro-Asiatic	Arabic
6	Standard Arabic	SIX	سِتًّ					arb	Eurasia	Afro-Asiatic	Arabic
7	Standard Arabic	SEVEN	سَبْعً					arb	Eurasia	Afro-Asiatic	Arabic
8	Standard Arabic	EIGHT	ثَمانً					arb	Eurasia	Afro-Asiatic	Arabic
9	Standard Arabic	NINE	تِسْعً					arb	Eurasia	Afro-Asiatic	Arabic
10	Standard Arabic	TEN	عَشَرً					arb	Eurasia	Afro-Asiatic	Arabic
11	Standard Arabic	ELEVEN	أَحَدَ عَشَرَ					arb	Eurasia	Afro-Asiatic	Arabic
12	Standard Arabic	TWELVE	اِثْنا عَشَرَ					arb	Eurasia	Afro-Asiatic	Arabic
13	Standard Arabic	THIRTEEN	ثَلاثَ عَشْرَةَ					arb	Eurasia	Afro-Asiatic	Arabic
14	Standard Arabic	FOURTEEN	أَرْبَعَ عَشْرَةَ					arb	Eurasia	Afro-Asiatic	Arabic
15	Standard Arabic	FIFTEEN	خَمْسَ عَشْرَةَ					arb	Eurasia	Afro-Asiatic	Arabic
16	Standard Arabic	SIXTEEN	سِتَّ عَشْرَةَ					arb	Eurasia	Afro-Asiatic	Arabic
17	Standard Arabic	SEVENTEEN	سَبْعَ عَشْرَةَ					arb	Eurasia	Afro-Asiatic	Arabic
