ID	DOCULECT	CONCEPT	NUMBER	DEVANAGARI_NUMBER	VALUE_	FORM	ORDINAL_NUMBER	TOKENS	MORPHEMES	COGIDS
28	Sanskrit	twenty nine	29	२९	नवविंशति	navaviṁśati		n a v a + -/d v ĩ/i + ʃ a t i	nine two ty	2 4 8
48	Sanskrit	twenty nine	29	२९	ऊनत्रिंशत्	ūnatriṁśat		uː + n a + t r ĩ/i + ʃ a t -/i	? on three ?	13 12 10 11
19	Sanskrit	nineteen	19	१९	एकान्नविंशति	ekānnaviṁśati	नवदश (navadaśa)	e k aː/a n/- + n a + -/d v ĩ/i + ʃ a t i	one on two ty	6 12 4 8
24	Sanskrit	nineteen	19	१९	एकोनविंशति	ekonaviṁśati		e k o/a + n a + -/d v ĩ/i + ʃ a t i	one on two ty	6 12 4 8
26	Sanskrit	nineteen	19	१९	नवदश	navadaśa		n a v a + d a ʃ a	nine ten	2 5
49	Sanskrit	nineteen	19	१९	ऊनविंशति	ūnaviṁśati		uː + n a + -/d v ĩ/i + ʃ a t i	? on two ty	13 12 4 8
20	Sanskrit	thirty one	31	३१	एकत्रिंशत्	ekatriṁśat	एकत्रिंश (ekatriṁśa)	e k aː/a n/- + n a + tʃ a t v/u aː/- r ĩ/- + ʃ a t -/i	one on four ty	6 12 7 8
21	Sanskrit	twenty one	21	२१	एकविंशति	ekaviṁśati	एकविंश (ekaviṁśa)	e k aː/a n/- + n a + -/d v ĩ/i + ʃ a t i	one on two ty	6 12 4 8
25	Sanskrit	nine	9	९	नव	nava	नवम (navama)	n a v a	nine	2
29	Sanskrit	fifteen	15	१५	पञ्चदश	pañcadaśa	पञ्चदश (pañcadaśa)	p a ɲ tʃ a + d a ʃ a	five ten	9 5
30	Sanskrit	five	5	५	पञ्चन्	pañcan	पञ्चम (pañcama)	p a ɲ tʃ a + t r ĩ/i + ʃ a t -/i	five three ty	9 10 8
31	Sanskrit	thirty five	35	३५	पञ्चत्रिंशत्	pañcatriṁśat	पञ्चत्रिंश (pañcatriṁśa)	p a ɲ tʃ a + -/d v ĩ/i + ʃ a t i	five two ty	9 4 8
32	Sanskrit	twenty five	25	२५	पञ्चविंशति	pañcaviṁśati	पञ्चविंश (pañcaviṁśa)	p a ɲ tʃ a + -/d v ĩ/i + ʃ a t i	five two ty	9 4 8
33	Sanskrit	twenty six	26	२६	षड्विंशति	ṣaḍviṁśati	षड्विंश (ṣaḍviṁśa)	ʂ a ɖ/ʂ + -/d v ĩ/i + ʃ a t i	six two ty	14 4 8
34	Sanskrit	seven	7	७	सप्त	sapta	सप्तम (saptama)	s a p t a	seven	3
35	Sanskrit	seventeen	17	१७	सप्तदश	saptadaśa	सप्तदश (saptadaśa)	s a p t a + d a ʃ a	seven ten	3 5
36	Sanskrit	thirty seven	37	३७	सप्तत्रिंशत्	saptatriṁśat	सप्तत्रिंश (saptatriṁśa)	s a p t a + t r ĩ/i + ʃ a t -/i	seven three ty	3 10 8
37	Sanskrit	twenty seven	27	२७	सप्तविंशति	saptaviṁśati	सप्तविंश (saptaviṁśa)	s a p t a + -/d v ĩ/i + ʃ a t i	seven two ty	3 4 8
38	Sanskrit	six	6	६	षष्	ṣaṣ	षष्ठ (ṣaṣṭha)	ʂ a ʂ	six	14
39	Sanskrit	thirty six	36	३६	षट्त्रिंशत्	ṣaṭtriṁśat	षट्त्रिंश (ṣaṭtriṁśa)	ʂ a ʈ/ʂ + t r ĩ/i + ʃ a t -/i	six three ty	14 10 8
40	Sanskrit	sixteen	16	१६	षोडश	ṣoḍaśa	षोडश (ṣoḍaśa)	ʂ o/a -/ʂ + ɖ/d a ʃ a	six ten	14 5
41	Sanskrit	zero	0	०	शून्य	śūnya		ʃ uː n j a		
42	Sanskrit	thirty three	33	३३	त्रयस्त्रिंशत्	trayastriṁśat	त्रयस्त्रिंश (trayastriṁśa)	t r a/- j/i a/- s/- + t r ĩ/i + ʃ a t -/i	three three ty	10 10 8
43	Sanskrit	thirteen	13	१३	त्रयोदश	trayodaśa	त्रयोदश (trayodaśa)	t r a/- j/i o/- + d a ʃ a	three ten	10 5
44	Sanskrit	twenty three	23	२३	त्रयोविंशति	trayoviṁśati	त्रयोविंश (trayoviṁśa)	t r a/- j/i o/- + -/d v ĩ/i + ʃ a t i	three two ty	10 4 8
45	Sanskrit	three	3	३	त्रि	tri	तृतीय (tṛtīya)	t r i	three	10
46	Sanskrit	thirty	30	३०	त्रिंशति	triṁśati	त्रिंश (triṁśa)	t r ĩ/i + ʃ a t i	three ty	10 8
50	Sanskrit	twenty	20	२०	विंशति	viṁśati	विंश (viṁśa)	-/d v ĩ/i + ʃ a t i	two ty	4 8
#@highlight=TOKENS|ALIGNMENT|SEGMENTS
#@sampa=IPA|TOKENS|SEGMENTS|TRANSCRIPTION
#@css=menu:show|database:hide
#@basics=COGIDS|CONCEPT|DOCULECT|FORM|MORPHEMES|TOKENS|VALUE 
#@_selected_doculects=Sanskrit
#@_selected_concepts=eight|eighteen|thirty eight|twenty eight|four|foureen|twenty four|thirty four|forty|ten|twelve|thirty two|twenty two|two|one|eleven|thirty nine|twenty nine|nineteen|thirty one|twenty one|nine|fifteen|five|thirty five|twenty five|twenty six|seven|seventeen|thirty seven|twenty seven|six|thirty six|sixteen|zero|thirty three|thirteen|twenty three|three|thirty|twenty
#@sorted_taxa=Sanskrit
#@sorted_concepts=eight|eighteen|thirty eight|twenty eight|four|foureen|twenty four|thirty four|forty|ten|twelve|thirty two|twenty two|two|one|eleven|thirty nine|twenty nine|nineteen|thirty one|twenty one|nine|fifteen|five|thirty five|twenty five|twenty six|seven|seventeen|thirty seven|twenty seven|six|thirty six|sixteen|zero|thirty three|thirteen|twenty three|three|thirty|twenty
