ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	COGIDS	MORPHEMES
21	Russian	twenty one	двадцать один	dvadtsatʲ+odʲin	d v a + d/dʲ -/e ts/sʲ a tʲ + o dʲ i n	4 2 9	two ten one
22	Russian	twenty two	двадцать два	dvadtsatʲ+dva	d v a + d/dʲ -/e ts/sʲ a tʲ + d v a	4 2 4	two ten two
23	Russian	twenty three	двадцать три	dvadtsatʲ+trʲi	d v a + d/dʲ -/e ts/sʲ a tʲ + t rʲ i	4 2 5	two ten three
24	Russian	twenty four	двадцать четыре	dvadtsatʲ+tʃʲetɨrʲe	d v a + d/dʲ -/e ts/sʲ a tʲ + tʃʲ e t ɨ rʲ e	4 2 13	two ten four
25	Russian	twenty five	двадцать пять	dvadtsatʲ+pʲatʲ	d v a + d/dʲ -/e ts/sʲ a tʲ + pʲ a tʲ	4 2 7	two ten five
26	Russian	twenty six	двадцать шесть	dvadtsatʲ+ʃʲestʲ	d v a + d/dʲ -/e ts/sʲ a tʲ + ʃʲ e s tʲ	4 2 8	two ten six
27	Russian	twenty seven	двадцать семь	dvadtsatʲ+sʲemʲ	d v a + d/dʲ -/e ts/sʲ a tʲ + sʲ e mʲ	4 2 10	two ten seven
28	Russian	twenty eight	двадцать восемь	dvadtsatʲ+vosʲemʲ	d v a + d/dʲ -/e ts/sʲ a tʲ + v o sʲ e mʲ	4 2 11	two ten eight
29	Russian	twenty nine	двадцать девять	dvadtsatʲ+dʲevʲatʲ	d v a + d/dʲ -/e ts/sʲ a tʲ + dʲ e vʲ a tʲ	4 2 7	two ten five
30	Russian	thirty	тридцать	tridtsatʲ	t rʲ i + d/dʲ -/e ts/sʲ a tʲ	5 2	three ten
31	Russian	thirty one	тридцать один	tridtsatʲ+odʲin	t rʲ i + d/dʲ -/e ts/sʲ a tʲ + o dʲ i n	5 2 9	three ten one
32	Russian	thirty two	тридцать два	tridtsatʲ+dva	t rʲ i + d/dʲ -/e ts/sʲ a tʲ + d v a	5 2 4	three ten two
33	Russian	thirty three	тридцать три	tridtsatʲ+trʲi	t rʲ i + d/dʲ -/e ts/sʲ a tʲ + t rʲ i	5 2 5	three ten three
34	Russian	thirty four	тридцать четыре	tridtsatʲ+tʃʲetɨrʲe	t rʲ i + d/dʲ -/e ts/sʲ a tʲ + tʃʲ e t ɨ rʲ e	5 2 13	three ten four
35	Russian	thirty five	тридцать пять	tridtsatʲ+pʲatʲ	t rʲ i + d/dʲ -/e ts/sʲ a tʲ + pʲ a tʲ	5 2 7	three ten five
36	Russian	thirty six	тридцать шесть	tridtsatʲ+ʃʲestʲ	t rʲ i + d/dʲ -/e ts/sʲ a tʲ + ʃʲ e s tʲ	5 2 8	three ten six
37	Russian	thirty seven	тридцать семь	tridtsatʲ+sʲemʲ	t rʲ i + d/dʲ -/e ts/sʲ a tʲ + sʲ e mʲ	5 2 10	three ten seven
38	Russian	thirty eight	тридцать восемь	tridtsatʲ+vosʲemʲ	t rʲ i + d/dʲ -/e ts/sʲ a tʲ + v o sʲ e mʲ	5 2 11	three ten eight
39	Russian	thirty nine	тридцать девять	tridtsatʲ+dʲevʲatʲ	t rʲ i + d/dʲ -/e ts/sʲ a tʲ + dʲ e vʲ a tʲ	5 2 7	three ten five
40	Russian	forty	сорок	sorok	s o r o k	12	forty
#@highlight=TOKENS
#@sampa=TOKENS
#@css=menu:show|database:hide
#@basics=COGIDS|CONCEPT|DOCULECT|MORPHEMES|TOKENS
#@_selected_doculects=Russian
#@_selected_concepts=one|two|three|four|five|six|seven|eight|nine|ten|eleven|twelve|thirteen|fourteen|fifteen|sixteen|seventeen|eighteen|nineteen|twenty|twenty one|twenty two|twenty three|twenty four|twenty five|twenty six|twenty seven|twenty eight|twenty nine|thirty|thirty one|thirty two|thirty three|thirty four|thirty five|thirty six|thirty seven|thirty eight|thirty nine|forty
#@sorted_taxa=Russian
#@sorted_concepts=one|two|three|four|five|six|seven|eight|nine|ten|eleven|twelve|thirteen|fourteen|fifteen|sixteen|seventeen|eighteen|nineteen|twenty|twenty one|twenty two|twenty three|twenty four|twenty five|twenty six|twenty seven|twenty eight|twenty nine|thirty|thirty one|thirty two|thirty three|thirty four|thirty five|thirty six|thirty seven|thirty eight|thirty nine|forty
