ID	DOCULECT	CONCEPT	NUMBER	FORM	TOKENS	ALIGNMENT	MORPHEMES	COGIDS
38	Shanghainese	thirty eight	38	sᴇ⁵³zəʔ¹²pᴀʔ⁵⁵	s ᴇ ⁵³ + z ə ʔ ¹² + p ᴀ ʔ ⁵⁵	s ᴇ ⁵³ + z ə ʔ ¹² + p ᴀ ʔ ⁵⁵	three ten eight	30 8
39	Shanghainese	thirty nine	39	sᴇ⁵³zəʔ¹²tɕiɤ³⁴	s ᴇ ⁵³ + z ə ʔ ¹² + tɕ iɤ ³⁴	s ᴇ ⁵³ + z ə ʔ ¹² + tɕ iɤ ³⁴	three ten nine	30 9
40	Shanghainese	forty	40	sɿ³⁴səʔ¹²	s ɿ ³⁴ + s ə ʔ ¹²	s ɿ ³⁴ + s ə ʔ ¹²	four ten	4 10
#@highlight=TOKENS|ALIGNMENT|SEGMENTS
#@sampa=IPA|TOKENS|SEGMENTS|TRANSCRIPTION
#@css=menu:show|database:hide
#@basics=DOCULECT|GLOSS|CONCEPT|IPA|TOKENS|COGID|TAXON|TAXA|PROTO|PROTO_TOKENS|ETYMONID|CHINESE|CONCEPTLIST|ORTHOGRAPHY|WORD|TRANSCRIPTION|SEGMENTS|PARTIALIDS|NOTE
#@_selected_doculects=Shanghainese
#@_selected_concepts=one|two|three|four|five|six|seven|eight|nine|ten|eleven|twelve|thirteen|fourteen|fifteen|sixteen|seventeen|eighteen|nineteen|twenty|twenty one|twenty two|twenty three|twenty four|twenty five|twenty six|twenty seven|twenty eight|twenty nine|thirty|thirty one|thirty two|thirty three|thirty four|thirty five|thirty six|thirty seven|thirty eight|thirty nine|forty
#@sorted_taxa=Shanghainese
#@sorted_concepts=one|two|three|four|five|six|seven|eight|nine|ten|eleven|twelve|thirteen|fourteen|fifteen|sixteen|seventeen|eighteen|nineteen|twenty|twenty one|twenty two|twenty three|twenty four|twenty five|twenty six|twenty seven|twenty eight|twenty nine|thirty|thirty one|thirty two|thirty three|thirty four|thirty five|thirty six|thirty seven|thirty eight|thirty nine|forty
#@display=filedisplay|ialms
#@missing_marker=Ø
#@separator=
#@gap_marker=-
#@formatter=false
#@root_formatter=COGIDS
#@note_formatter=NOTE
#@pattern_formatter=undefined
#@publish=undefined
#@_almcol=ALIGNMENT
#@filename=data for Christoph - shan1293.tsv
#@navbar=true
#@_morphology_mode=full
