ID	DOCULECT	CONCEPT	TƏ+ɹA	TOKENS	ALIGNMENT	MORPHEMES	COGIDS	NOTE
13	Mongsen Ao	thirteen	tə+ɹa+ɹə a+səm	t ə + ɹ a + ɹ ə + a + s ə m	t ə + ɹ a + ɹ ə + a + s ə m	PFX3 ten and PFX1 three	97 10 95 99 3	
14	Mongsen Ao	fourteen	tə+ɹa+ɹə phə+li	t ə + ɹ a + ɹ ə + pʰ ə + l i	t ə + ɹ a + ɹ ə + pʰ ə + l i	PFX3 ten and PFX2 four	97 10 95 98 4	
15	Mongsen Ao	fifteen	tə+ɹa+ɹə pha+ŋa	t ə + ɹ a + ɹ ə + pʰ a + ŋ a	t ə + ɹ a + ɹ ə + pʰ a + ŋ a	PFX3 ten and PFX2 five	97 10 95 98 5	
16	Mongsen Ao	sixteen	tə+ɹa+ɹə tə+ɹuk	t ə + ɹ a + ɹ ə + t ə + ɹ u k	t ə + ɹ a + ɹ ə + t ə + ɹ u k	PFX3 ten and PFX3 six	97 10 95 97 6	
17	Mongsen Ao	sixteen	mə+ki mə+pən tə+ɹuk	m ə + k i + m ə + p ə n + t ə + ɹ u k	m ə + k i + m ə + p ə n + t ə + ɹ u k	PFX5 twenty NEG bring PFX3 six	94 20 89 88 97 6	old overcounting system
18	Mongsen Ao	seventeen	tə+ɹa+ɹə tə+ni	t ə + ɹ a + ɹ ə + t ə + n i	t ə + ɹ a + ɹ ə + t ə + n i	PFX3 ten and PFX3 seven	97 10 95 97 7	
19	Mongsen Ao	seventeen	mə+ki mə+pən tə+ni	m ə + k i + m ə + p ə n + t ə + n i	m ə + k i + m ə + p ə n + t ə + n i	PFX5 twenty NEG bring PFX3 seven	94 20 89 88 97 7	old overcounting system
20	Mongsen Ao	eighteen	tə+ɹa+ɹə tshət	t ə + ɹ a + ɹ ə + tsʰ ə t	t ə + ɹ a + ɹ ə + tsʰ ə t	PFX3 ten and eight	97 10 95 8	
21	Mongsen Ao	eighteen	mə+ki mə+pən tshət	m ə + k i + m ə + p ə n + t sʰ ə t	m ə + k i + m ə + p ə n + t sʰ ə t	PFX5 twenty NEG bring eight	94 20 89 88 8	old overcounting system
22	Mongsen Ao	nineteen	tə+ɹa+ɹə thu+ku	t ə + ɹ a + ɹ ə + tʰ u + k u	t ə + ɹ a + ɹ ə + tʰ u + k u	PFX3 ten and PFX4 nine	97 10 95 96 9	
23	Mongsen Ao	nineteen	mə+ki mə+pən thu+ku	m ə + k i + m ə + p ə n + tʰ u + k u	m ə + k i + m ə + p ə n + tʰ u + k u	PFX5 twenty NEG bring PFX4 nine	94 20 89 88 96 9	old overcounting system
24	Mongsen Ao	twenty	mə+ki	m ə + k i	m ə + k i	PFX5 twenty	94 20	
25	Mongsen Ao	twenty one	mə+ki+ɹə a+khət	m ə + k i + ɹ ə + a + kʰ ə t	m ə + k i + ɹ ə + a + kʰ ə t	PFX5 twenty and PFX1 one	97 10 95 8 95 99 1	
26	Mongsen Ao	twenty two	mə+ki+ɹə a+nət	m ə + k i + ɹ ə + a + n ə t	m ə + k i + ɹ ə + a + n ə t	PFX5 twenty and PFX1 two	97 10 95 8 95 99 2	
27	Mongsen Ao	twenty three	mə+ki+ɹə a+səm	m ə + k i + ɹ ə + a + s ə m	m ə + k i + ɹ ə + a + s ə m	PFX5 twenty and PFX1 three	97 10 95 8 95 99 3	
28	Mongsen Ao	twenty four	mə+ki+ɹə phə+li	m ə + k i + ɹ ə + pʰ ə + l i	m ə + k i + ɹ ə + pʰ ə + l i	PFX5 twenty and PFX2 four	97 10 95 8 95 98 4	
29	Mongsen Ao	twenty five	mə+ki+ɹə pha+ŋa	m ə + k i + ɹ ə + pʰ a + ŋ a	m ə + k i + ɹ ə + pʰ a + ŋ a	PFX5 twenty and PFX2 five	97 10 95 8 95 98 5	
30	Mongsen Ao	twenty six	mə+ki+ɹə tə+ɹuk	m ə + k i + ɹ ə + t ə + ɹ u k	m ə + k i + ɹ ə + t ə + ɹ u k	PFX5 twenty and PFX3 six	97 10 95 8 95 97 6	
31	Mongsen Ao	twenty seven	mə+ki+ɹə tə+ni	m ə + k i + ɹ ə + t ə + n i	m ə + k i + ɹ ə + t ə + n i	PFX5 twenty and PFX3 seven	97 10 95 8 95 97 7	
32	Mongsen Ao	twenty eight	mə+ki+ɹə tshət	m ə + k i + ɹ ə + tsʰ ə t	m ə + k i + ɹ ə + tsʰ ə t	PFX5 twenty and eight	97 10 95 8 95 8	
33	Mongsen Ao	twenty nine	mə+ki+ɹə thu+ku	m ə + k i + ɹ ə + tʰ u + k u	m ə + k i + ɹ ə + tʰ u + k u	PFX5 twenty and PFX4 nine	97 10 95 8 95 96 9	
34	Mongsen Ao	thirty	mə+ki+ɹə tə+ɹa	m ə + k i + ɹ ə + t ə + ɹ a	m ə + k i + ɹ ə + t ə + ɹ a	PFX5 twenty and PFX3 ten 	97 10 95 8 95 97 10	old overcounting system, twenty and ten
35	Mongsen Ao	thirty	səm+ɹa	s ə m + ɹ a	s ə m + ɹ a	three ten 	3 10	
36		thirty one	səm+ɹa+ɹə a+khət	s ə m + ɹ a + ɹ ə + a + kʰ ə t	s ə m + ɹ a + ɹ ə + a + kʰ ə t	three ten and PFX1 one	3 10 95 99 1	
37	Mongsen Ao	thirty two	səm+ɹa+ɹə a+nət	s ə m + ɹ a + ɹ ə + a + n ə t	s ə m + ɹ a + ɹ ə + a + n ə t	three ten and PFX1 two	3 10 95 99 2	
38	Mongsen Ao	thirty three	səm+ɹa+ɹə a+səm	s ə m + ɹ a + ɹ ə + a + s ə m	s ə m + ɹ a + ɹ ə + a + s ə m	three ten and PFX1 three	3 10 95 99 3	
39	Mongsen Ao	thirty four	səm+ɹa+ɹə phə+li	s ə m + ɹ a + ɹ ə + pʰ ə + l i	s ə m + ɹ a + ɹ ə + pʰ ə + l i	three ten and PFX2 four	3 10 95 98 4	
40	Mongsen Ao	thirty five	səm+ɹa+ɹə pha+ŋa	s ə m + ɹ a + ɹ ə + pʰ a + ŋ a	s ə m + ɹ a + ɹ ə + pʰ a + ŋ a	three ten and PFX2 five	3 10 95 98 5	
41	Mongsen Ao	thirty six	səm+ɹa+ɹə tə+ɹuk	s ə m + ɹ a + ɹ ə + t ə + ɹ u k	s ə m + ɹ a + ɹ ə + t ə + ɹ u k	three ten and PFX3 six	3 10 95 97 6	
42	Mongsen Ao	thirty seven	səm+ɹa+ɹə tə+ni	s ə m + ɹ a + ɹ ə + t ə + n i	s ə m + ɹ a + ɹ ə + t ə + n i	three ten and PFX3 seven	3 10 95 97 7	
43	Mongsen Ao	thirty eight	səm+ɹa+ɹə tshət	s ə m + ɹ a + ɹ ə + tsʰ ə t	s ə m + ɹ a + ɹ ə + tsʰ ə t	three ten and eight	3 10 95 8	
44	Mongsen Ao		səm+ɹa+ɹə thu+ku	s ə m + ɹ a + ɹ ə + tʰ u + k u	s ə m + ɹ a + ɹ ə + tʰ u + k u	three ten and PFX4 nine	3 10 95 96 9	
45	Mongsen Ao	forty	li+ɹə	l i + ɹ ə	l i + ɹ ə	four ten 	4 10	
#@highlight=TOKENS|ALIGNMENT|SEGMENTS
#@sampa=IPA|TOKENS|SEGMENTS|TRANSCRIPTION
#@css=menu:show|database:hide
#@basics=DOCULECT|GLOSS|CONCEPT|IPA|TOKENS|COGID|TAXON|TAXA|PROTO|PROTO_TOKENS|ETYMONID|CHINESE|CONCEPTLIST|ORTHOGRAPHY|WORD|TRANSCRIPTION|SEGMENTS|PARTIALIDS|NOTE
#@_selected_doculects=|Mongsen Ao
#@_selected_concepts=one|two|three|four|five|six|seven|eight|nine|ten|eleven|twelve|thirteen|fourteen|fifteen|sixteen|seventeen|eighteen|nineteen|twenty|twenty one|twenty two|twenty three|twenty four|twenty five|twenty six|twenty seven|twenty eight|twenty nine|thirty|thirty one|thirty two|thirty three|thirty four|thirty five|thirty six|thirty seven|thirty eight||forty
#@sorted_taxa=|Mongsen Ao
#@sorted_concepts=one|two|three|four|five|six|seven|eight|nine|ten|eleven|twelve|thirteen|fourteen|fifteen|sixteen|seventeen|eighteen|nineteen|twenty|twenty one|twenty two|twenty three|twenty four|twenty five|twenty six|twenty seven|twenty eight|twenty nine|thirty|thirty one|thirty two|thirty three|thirty four|thirty five|thirty six|thirty seven|thirty eight||forty
#@display=filedisplay|ialms
#@missing_marker=Ø
#@separator=	
#@gap_marker=-
#@formatter=false
#@root_formatter=COGIDS
#@note_formatter=NOTE
#@pattern_formatter=undefined
#@publish=undefined
#@_almcol=ALIGNMENT
#@filename=data for Christoph - mong1332.tsv
#@navbar=true
#@_morphology_mode=full
