ID	DOCULECT	CONCEPT	FORM	TOKENS	MORPHEMES	COGIDS	NOTE
1	Makyam (Khalai)	one	kʰuat⁴⁴	kʰ ua t ⁴⁴			@mastersthesis{sawu2016descriptive, title={Descriptive Phonology of Makyam Naga}, author={{Naw Sawu}}, school = {Payap University}, address={Chiang Mai}, note={Retrieved from https://inter. payap. ac. th/international-graduate/linguistics-ma/graduatestheses}, year={2016}}
2	Makyam (Khalai)	two	nat⁴⁴	n a t ⁴⁴			
3	Makyam (Khalai)	three	θam³³	θ a m ³³			
4	Makyam (Khalai)	four	pʰə³¹ li³³	pʰ ə ³¹+ l i ³³			
5	Makyam (Khalai)	five	pʰə³¹ ŋa³³	pʰ ə ³¹+ ŋ a ³³			
6	Makyam (Khalai)	six	kʰə³¹ zɔk³¹	kʰ ə ³¹+ z ɔ k ³¹			
7	Makyam (Khalai)	seven	kʰə³¹ ɲɛk³³	kʰ ə ³¹+ ɲ ɛ k ³³			
8	Makyam (Khalai)	eight	tʰə³¹ wat³³	tʰ ə ³¹+ w a t ³³			
9	Makyam (Khalai)	nine	kʰuan⁴⁴ pɔŋ³¹	kʰ ua n ⁴⁴+ p ɔ ŋ ³¹			
10	Makyam (Khalai)	ten	sap⁵²	s a p ⁵²			
11	Makyam (Khalai)	eleven	sap⁴⁴ kə⁴⁴ kʰuat⁵²	s a p ⁴⁴+ k ə ⁴⁴+ kʰ ua t ⁵²			
12	Makyam (Khalai)	twelve	sap⁴⁴ kə⁴⁴ nat⁵²	s a p ⁴⁴+ k ə ⁴⁴+ n a t ⁵²			
13	Makyam (Khalai)	thirteen	sap⁴⁴ kə⁴⁴ θam³³	s a p ⁴⁴+ k ə ⁴⁴+ θ a m ³³			
14	Makyam (Khalai)	fourteen	sap⁴⁴ kə⁴⁴ pʰəli³³	s a p ⁴⁴ + k ə ⁴⁴ + pʰ ə + l i ³³			
15	Makyam (Khalai)	fifteen	sap⁴⁴ kə⁴⁴ pʰə³¹ ŋa³³	s a p ⁴⁴+ k ə ⁴⁴+ pʰ ə ³¹+ ŋ a ³³			
16	Makyam (Khalai)	sixteen	sap⁴⁴ kə⁴⁴ kʰə³¹ zɔk³¹	s a p ⁴⁴+ k ə ⁴⁴+ kʰ ə ³¹+ z ɔ k ³¹			
17	Makyam (Khalai)	seventeen	sap⁴⁴ kə⁴⁴ kʰə³¹ ɲɛk³¹	s a p ⁴⁴+ k ə ⁴⁴+ kʰ ə ³¹+ ɲ ɛ k ³¹			
18	Makyam (Khalai)	eighteen	sap⁴⁴ kə⁴⁴ tʰə³¹ wat³¹	s a p ⁴⁴+ k ə ⁴⁴+ tʰ ə ³¹+ w a t ³¹			
19	Makyam (Khalai)	nineteen	kʰy³³ man⁴⁴ kʰuan⁴⁴ pɔŋ³¹	kʰ y ³³+ m a n ⁴⁴+ kʰ ua n ⁴⁴+ p ɔ ŋ ³¹			twenty minus
