ID	DOCULECT	CONCEPT	FORM	TOKENS	MORPHEMES	COGIDS	NOTE
1	German	ONE	eins				
2	German	TWO	zwei				
3	German	THREE	drei				
4	German	FOUR	vier				
5	German	FIVE	"fünf"				
6	German	SIX	sechs				
7	German	SEVEN	sieben				
8	German	EIGHT	acht				
9	German	NINE	neun				
10	German	TEN	zehn				
11	German	ELEVEN	elf				
12	German	TWELVE	"zwölf"				
13	German	THIRTEEN	dreizehn				
14	German	FOURTEEN	vierzehn				
15	German	FIFTEEN	"fünfzehn"				
16	German	SIXTEEN	sechzehn				
17	German	SEVENTEEN	siebzehn				
18	German	EIGHTEEN	achtzehn				
19	German	NINETEEN	neunzehn				
20	German	TWENTY	zwanzig				
21	German	"TWENTY ONE"	"ein und zwanzig"				
22	German	"TWENTY TWO"	"zwei und zwanzig"				
23	German	"TWENTY THREE"	"drei und zwanzig"				
24	German	"TWENTY FOUR"	"vier und zwanzig"				
25	German	"TWENTY FIVE"	"fünf und zwanzig"				
26	German	"TWENTY SIX"	"sechs und zwanzig"				
27	German	"TWENTY SEVEN"	"sieben und zwanzig"				
28	German	"TWENTY EIGHT"	"acht und zwanzig"				
29	German	"TWENTY NINE"	"neun und zwanzig"				
30	German	THIRTY	"dreißig"				
31	German	"THIRTY ONE"	"ein und dreißig"				
32	German	"THIRTY TWO"	"zwei und dreißig"				
33	German	"THIRTY THREE"	"drei und dreißig"				
34	German	"THIRTY FOUR"	"vier und dreißig"				
35	German	"THIRTY FIVE"	"fünf und dreißig"				
36	German	"THIRTY SIX"	"sechs und dreißig"				
37	German	"THIRTY SEVEN"	"sieben und dreißig"				
38	German	"THIRTY EIGHT"	"acht und dreißig"				
39	German	"THIRTY NINE"	"neun und dreißig"				
40	German	FORTY	vierzig				
