ID	DOCULECT	CONCEPT	FORM	TOKENS	ALIGNMENT	MORPHEMES	COGIDS	NOTE
1	Mongsen_Ao	one	a+khət	a + kʰ ə t	a + kʰ ə t	PFX1 one	99 1
2	Mongsen_Ao	two	a+nət	a + n ə t	a + n ə t	PFX1 two	99 2
3	Mongsen_Ao	three	a+səm	a + s ə m	a + s ə m	PFX1 three	99 3
4	Mongsen_Ao	four	phə+li	pʰ ə + l i	pʰ ə + l i	PFX2 four	98 4
5	Mongsen_Ao	five	pha+ŋa	pʰ a + ŋ a	pʰ a + ŋ a	PFX2 five	98 5
6	Mongsen_Ao	six	tə+ɹuk	t ə + ɹ u k	t ə + ɹ u k	PFX3 six	97 6
7	Mongsen_Ao	seven	tə+ni	t ə + n i	t ə + n i	PFX3 seven	97 7
8	Mongsen_Ao	eight	tshət	tsʰ ə t	tsʰ ə t	eight	8
9	Mongsen_Ao	nine	thu+ku	tʰ u + k u	tʰ u + k u	PFX4 nine	96 9
10	Mongsen_Ao	ten	tə+ɹa	t ə + ɹ a	t ə + ɹ a	PFX3 ten 	97 10
11	Mongsen_Ao	eleven	tə+ɹa+ɹə a+khət	t ə + ɹ a + ɹ ə + a + kʰ ə t	t ə + ɹ a + ɹ ə + a + kʰ ə t	PFX3 ten and PFX1 one	97 10 95 99 1
12	Mongsen_Ao	twelve	tə+ɹa+ɹə a+nət	t ə + ɹ a + ɹ ə + a + n ə t	t ə + ɹ a + ɹ ə + a + n ə t	PFX3 ten and PFX1 two	97 10 95 99 2
13	Mongsen_Ao	thirteen	tə+ɹa+ɹə a+səm	t ə + ɹ a + ɹ ə + a + s ə m	t ə + ɹ a + ɹ ə + a + s ə m	PFX3 ten and PFX1 three	97 10 95 99 3
14	Mongsen_Ao	fourteen	tə+ɹa+ɹə phə+li	t ə + ɹ a + ɹ ə + pʰ ə + l i	t ə + ɹ a + ɹ ə + pʰ ə + l i	PFX3 ten and PFX2 four	97 10 95 98 4
15	Mongsen_Ao	fifteen	tə+ɹa+ɹə pha+ŋa	t ə + ɹ a + ɹ ə + pʰ a + ŋ a	t ə + ɹ a + ɹ ə + pʰ a + ŋ a	PFX3 ten and PFX2 five	97 10 95 98 5
16	Mongsen_Ao	sixteen	tə+ɹa+ɹə tə+ɹuk	t ə + ɹ a + ɹ ə + t ə + ɹ u k	t ə + ɹ a + ɹ ə + t ə + ɹ u k	PFX3 ten and PFX3 six	97 10 95 97 6
17	Mongsen_Ao	sixteen	mə+ki mə+pən tə+ɹuk	m ə + k i + m ə + p ə n + t ə + ɹ u k	m ə + k i + m ə + p ə n + t ə + ɹ u k	PFX5 twenty NEG bring PFX3 six	94 20 89 88 97 6	old overcounting system
18	Mongsen_Ao	seventeen	tə+ɹa+ɹə tə+ni	t ə + ɹ a + ɹ ə + t ə + n i	t ə + ɹ a + ɹ ə + t ə + n i	PFX3 ten and PFX3 seven	97 10 95 97 7
19	Mongsen_Ao	seventeen	mə+ki mə+pən tə+ni	m ə + k i + m ə + p ə n + t ə + n i	m ə + k i + m ə + p ə n + t ə + n i	PFX5 twenty NEG bring PFX3 seven	94 20 89 88 97 7	old overcounting system
20	Mongsen_Ao	eighteen	tə+ɹa+ɹə tshət	t ə + ɹ a + ɹ ə + tsʰ ə t	t ə + ɹ a + ɹ ə + tsʰ ə t	PFX3 ten and eight	97 10 95 8
