ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	COGIDS	MORPHEMES	SOURCE	NOTES
18	Cavineña	eighteen	peadya tunka kimisakaruku earakana	peaɟa tʊŋka kimisakarʊkʊ earakana	p e a ɟ a + t ʊ ŋ k a + k i m i s/ɕ a + k a r ʊ k ʊ + e a r a k a n a	4 12 8 7 6	one ten three five unit	Cavineña1[496] Cavineña2	
19	Cavineña	nineteen	peadya tunka puskuruku earakana	peaɟa tʊŋka pʊskʊrʊkʊ earakana	p e a ɟ a + t ʊ ŋ k a + p ʊ s/ɕ -/i + k ʊ/a r ʊ k ʊ + e a r a k a n a	4 12 11 7 6	one ten four five unit	Cavineña1[496] Cavineña2	
20	Cavineña	twenty	beta tunka	beta tʊŋka	b e t a + t ʊ ŋ k a	1 12	two ten	Cavineña1[496] Cavineña2	
21	Cavineña	twenty-one	beta tunka peadya earakana	beta tʊŋka peaɟa earakana	b e t a + t ʊ ŋ k a + p e a ɟ a + e a r a k a n a	1 12 4 6	two ten one unit	Cavineña1[496] Cavineña2	
22	Cavineña	twenty-two	beta tunka beta earakana	beta tʊŋka beta earakana	b e t a + t ʊ ŋ k a + b e t a + e a r a k a n a	1 12 1 6	two ten two unit	Cavineña1[496] Cavineña2	
23	Cavineña	twenty-three	beta tunka kimisha earakana	beta tʊŋka kimiɕa earakana	b e t a + t ʊ ŋ k a + k i m i ɕ a + e a r a k a n a	1 12 8 6	two ten three unit	Cavineña1[496] Cavineña2	
24	Cavineña	twenty-four	beta tunka pushi earakana	beta tʊŋka pʊɕi earakana	b e t a + t ʊ ŋ k a + p ʊ ɕ i + e a r a k a n a	1 12 11 6	two ten four unit	Cavineña1[496] Cavineña2	
25	Cavineña	twenty-five	beta tunka pishika earakana	beta tʊŋka piɕika earakana	b e t a + t ʊ ŋ k a + p i ɕ i k a + e a r a k a n a	1 12 10 6	two ten five unit	Cavineña1[496] Cavineña2	
26	Cavineña	twenty-six	beta tunka shukuta earakana	beta tʊŋka ɕʊkʊta earakana	b e t a + t ʊ ŋ k a + ɕ ʊ k ʊ t a + e a r a k a n a	1 12 2 6	two ten six unit	Cavineña1[496] Cavineña2	
27	Cavineña	twenty-seven	beta tunka pakaruku earakana	beta tʊŋka pakarʊkʊ earakana	b e t a + t ʊ ŋ k a + p a + k a r ʊ k ʊ + e a r a k a n a	1 12 5 7 6	two ten two five unit	Cavineña1[496] Cavineña2	
28	Cavineña	twenty-eight	beta tunka kimisakaruku earakana	beta tʊŋka kimisakarʊkʊ earakana	b e t a + t ʊ ŋ k a + k i m i s/ɕ a + k a r ʊ k ʊ + e a r a k a n a	1 12 8 7 6	two ten three five unit	Cavineña1[496] Cavineña2	
29	Cavineña	twenty-nine	beta tunka puskuruku earakana	beta tʊŋka pʊskʊrʊkʊ earakana	b e t a + t ʊ ŋ k a + p ʊ s/ɕ -/i + k ʊ/a r ʊ k ʊ + e a r a k a n a	1 12 11 7 6	two ten four five unit	Cavineña1[496] Cavineña2	
30	Cavineña	thirty	kimisha tunka	kimiɕa tʊŋka	k i m i ɕ a + t ʊ ŋ k a	8 12	three ten	Cavineña1[496] Cavineña2	
31	Cavineña	thirty-one	kimisha tunka peadya earakana	kimiɕa tʊŋka peaɟa earakana	k i m i ɕ a + t ʊ ŋ k a + p e a ɟ a + e a r a k a n a	8 12 4 6	three ten one unit	Cavineña1[496] Cavineña2	
32	Cavineña	thirty-two	kimisha tunka beta earakana	kimiɕa tʊŋka beta earakana	k i m i ɕ a + t ʊ ŋ k a + b e t a + e a r a k a n a	8 12 1 6	three ten two unit	Cavineña1[496] Cavineña2	
33	Cavineña	thirty-three	kimisha tunka kimisha earakana	kimiɕa tʊŋka kimiɕa earakana	k i m i ɕ a + t ʊ ŋ k a + k i m i ɕ a + e a r a k a n a	8 12 8 6	three ten three unit	Cavineña1[496] Cavineña2	
34	Cavineña	thirty-four	kimisha tunka pushi earakana	kimiɕa tʊŋka pʊɕi earakana	k i m i ɕ a + t ʊ ŋ k a + p ʊ ɕ i + e a r a k a n a	8 12 11 6	three ten four unit	Cavineña1[496] Cavineña2	
35	Cavineña	thirty-five	kimisha tunka pishika earakana	kimiɕa tʊŋka piɕika earakana	k i m i ɕ a + t ʊ ŋ k a + p i ɕ i k a + e a r a k a n a	8 12 10 6	three ten five unit	Cavineña1[496] Cavineña2	
36	Cavineña	thirty-six	kimisha tunka shukuta earakana	kimiɕa tʊŋka ɕʊkʊta earakana	k i m i ɕ a + t ʊ ŋ k a + ɕ ʊ k ʊ t a + e a r a k a n a	8 12 2 6	three ten six unit	Cavineña1[496] Cavineña2	
37	Cavineña	thirty-seven	kimisha tunka pakaruku earakana	kimiɕa tʊŋka pakarʊkʊ earakana	k i m i ɕ a + t ʊ ŋ k a + p a + k a r ʊ k ʊ + e a r a k a n a	8 12 5 7 6	three ten two five unit	Cavineña1[496] Cavineña2	
38	Cavineña	thirty-eight	kimisha tunka kimisakaruku earakana	kimiɕa tʊŋka kimisakarʊkʊ earakana	k i m i ɕ a + t ʊ ŋ k a + k i m i s/ɕ a + k a r ʊ k ʊ + e a r a k a n a	8 12 8 7 6	three ten three five unit	Cavineña1[496] Cavineña2	
39	Cavineña	thirty-nine	kimisha tunka puskuruku earakana	kimiɕa tʊŋka pʊskʊrʊkʊ earakana	k i m i ɕ a + t ʊ ŋ k a + p ʊ s/ɕ -/i + k ʊ/a r ʊ k ʊ + e a r a k a n a	8 12 11 7 6	three ten four five unit	Cavineña1[496] Cavineña2	
40	Cavineña	fourty	pushi tunka	pʊɕi tʊŋka	p ʊ ɕ i + t ʊ ŋ k a	11 12	four ten	Cavineña1[496] Cavineña2	
