ID	DOCULECT	CONCEPT	FORM	TOKENS	MORPHEMES	ALIGNMENT	COGIDS	NOTE
1	Makyam (Khalai)	one	kʰuat⁴⁴	kʰ ua t ⁴⁴	one	kʰ ua t ⁴⁴	1	@mastersthesis{sawu2016descriptive, title={Descriptive Phonology of Makyam Naga}, author={{Naw Sawu}}, school = {Payap University}, address={Chiang Mai}, note={Retrieved from https://inter. payap. ac. th/international-graduate/linguistics-ma/graduatestheses}, year={2016}}
2	Makyam (Khalai)	two	nat⁴⁴	n a t ⁴⁴	two	n a t ⁴⁴	2	
3	Makyam (Khalai)	three	θam³³	θ a m ³³	three	θ a m ³³	3	
4	Makyam (Khalai)	four	pʰə³¹ li³³	pʰ ə ³¹ + l i ³³	PFX1 four	pʰ ə ³¹ + l i ³³	50 4	
5	Makyam (Khalai)	five	pʰə³¹ ŋa³³	pʰ ə ³¹ + ŋ a ³³	PFX1 five	pʰ ə ³¹ + ŋ a ³³	50 5	
6	Makyam (Khalai)	six	kʰə³¹ zɔk³¹	kʰ ə ³¹ + z ɔ k ³¹	PFX2 six	kʰ ə ³¹ + z ɔ k ³¹	51 6	
7	Makyam (Khalai)	seven	kʰə³¹ ɲɛk³³	kʰ ə ³¹ + ɲ ɛ k ³³	PFX2 seven	kʰ ə ³¹ + ɲ ɛ k ³³	51 7	
8	Makyam (Khalai)	eight	tʰə³¹ wat³³	tʰ ə ³¹ + w a t ³³	PFX3 eight	tʰ ə ³¹ + w a t ³³	52 8	
9	Makyam (Khalai)	nine	kʰuan⁴⁴ pɔŋ³¹	kʰ ua n ⁴⁴ + p ɔ ŋ ³¹	PFX4 nine	kʰ ua n ⁴⁴ + p ɔ ŋ ³¹	53 9	
10	Makyam (Khalai)	ten	sap⁵²	s a p ⁵²	ten	s a p ⁵²	10	
11	Makyam (Khalai)	eleven	sap⁴⁴ kə⁴⁴ kʰuat⁵²	s a p ⁴⁴ + k ə ⁴⁴ + kʰ ua t ⁵²	ten and one	s a p ⁴⁴ + k ə ⁴⁴ + kʰ ua t ⁵²	10 54 1	
12	Makyam (Khalai)	twelve	sap⁴⁴ kə⁴⁴ nat⁵²	s a p ⁴⁴ + k ə ⁴⁴ + n a t ⁵²	ten and two	s a p ⁴⁴ + k ə ⁴⁴ + n a t ⁵²	10 54 2	
13	Makyam (Khalai)	thirteen	sap⁴⁴ kə⁴⁴ θam³³	s a p ⁴⁴ + k ə ⁴⁴ + θ a m ³³	ten and three	s a p ⁴⁴ + k ə ⁴⁴ + θ a m ³³	10 54 3	
14	Makyam (Khalai)	fourteen	sap⁴⁴ kə⁴⁴ pʰəli³³	s a p ⁴⁴ + k ə ⁴⁴ + pʰ ə + l i ³³	ten and PFX1 four	s a p ⁴⁴ + k ə ⁴⁴ + pʰ ə + l i ³³	10 54 50 4	
15	Makyam (Khalai)	fifteen	sap⁴⁴ kə⁴⁴ pʰə³¹ ŋa³³	s a p ⁴⁴ + k ə ⁴⁴ + pʰ ə ³¹ + ŋ a ³³	ten and PFX1 five	s a p ⁴⁴ + k ə ⁴⁴ + pʰ ə ³¹ + ŋ a ³³	10 54 50 5	
