ID,GLOSS,NUMBER,CONCEPTICON_ID,CONCEPTICON_GLOSS
1,one,1,1493,ONE
2,two,2,1498,TWO
3,three,3,492,THREE
4,four,4,1500,FOUR
5,five,5,493,FIVE
6,six,6,1703,SIX
7,seven,7,1704,SEVEN
8,eight,8,1705,EIGHT
9,nine,9,1483,NINE
10,ten,10,1515,TEN
11,eleven,11,1706,ELEVEN
12,twelve,12,1707,TWELVE
13,thirteen,13,1708,THIRTEEN
14,fourteen,14,2451,FOURTEEN
15,fifteen,15,1709,FIFTEEN
16,sixteen,16,2454,SIXTEEN
17,seventeen,17,2453,SEVENTEEN
18,eighteen,18,1713,EIGHTEEN
19,nineteen,19,1714,NINETEEN
20,twenty,20,1710,TWENTY
21,twenty one,21,1734,TWENTY ONE
22,twenty two,22,3166,TWENTY TWO
23,twenty three,23,3165,TWENTY THREE
24,twenty four,24,1736,TWENTY FOUR
25,twenty five,25,1738,TWENTY FIVE
26,twenty six,26,3476,TWENTY SIX
27,twenty seven,27,3477,TWENTY SEVEN
28,twenty eight,28,3478,TWENTY EIGHT
29,twenty nine,29,3479,TWENTY NINE
30,thirty,30,1715,THIRTY
31,thirty one,31,3480,THIRTY ONE
32,thirty two,32,3481,THIRTY TWO
33,thirty three,33,3482,THIRTY THREE
34,thirty four,34,3483,THIRTY FOUR
35,thirty five,35,3484,THIRTY FIVE
36,thirty six,36,3485,THIRTY SIX
37,thirty seven,37,3486,THIRTY SEVEN
38,thirty eight,38,3487,THIRTY EIGHT
39,thirty nine,39,3488,THIRTY NINE
40,forty,40,1716,FORTY
