ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	COGIDS	MORPHEMES	SOURCE
43	Russian	forty three	сорок три	sorok+trʲi	s o r o k + t rʲ i	12 5	forty three	Mulisch1993
44	Russian	forty four	сорок четыре	sorok+tʃʲetɨrʲe	s o r o k + tʃʲ e t ɨ rʲ e	12 13	forty four	Mulisch1993
45	Russian	forty five	сорок пять	sorok+pʲatʲ	s o r o k + pʲ a tʲ	12 7	forty five	Mulisch1993
46	Russian	forty six	сорок шесть	sorok+ʃʲestʲ	s o r o k + ʃʲ e s tʲ	12 8	forty six	Mulisch1993
47	Russian	forty seven	сорок семь	sorok+sʲemʲ	s o r o k + sʲ e mʲ	12 10	forty seven	Mulisch1993
48	Russian	forty eight	сорок восемь	sorok+vosʲemʲ	s o r o k + v o sʲ e mʲ	12 11	forty eight	Mulisch1993
49	Russian	forty nine	сорок девять	sorok+dʲevʲatʲ	s o r o k + dʲ e vʲ a tʲ	12 19	forty nine	Mulisch1993
50	Russian	fifty	пятьдесят	pʲatʲdʲesʲatʲ	pʲ a tʲ + dʲ e sʲ a tʲ	7 2	five ten	Mulisch1993
51	Russian	fifty one	пятьдесят один	pʲatʲdʲesʲatʲ+odʲin	pʲ a tʲ + dʲ e sʲ a tʲ + o dʲ i n	7 2 9	five ten one	Mulisch1993
52	Russian	fifty two	пятьдесят два	pʲatʲdʲesʲatʲ+dva	pʲ a tʲ + dʲ e sʲ a tʲ + d v a	7 2 4	five ten two	Mulisch1993
53	Russian	fifty three	пятьдесят три	pʲatʲdʲesʲatʲ+trʲi	pʲ a tʲ + dʲ e sʲ a tʲ + t rʲ i	7 2 5	five ten three	Mulisch1993
54	Russian	fifty four	пятьдесят четыре	pʲatʲdʲesʲatʲ+tʃʲetɨrʲe	pʲ a tʲ + dʲ e sʲ a tʲ + tʃʲ e t ɨ rʲ e	7 2 13	five ten four	Mulisch1993
55	Russian	fifty five	пятьдесят пять	pʲatʲdʲesʲatʲ+pʲatʲ	pʲ a tʲ + dʲ e sʲ a tʲ + pʲ a tʲ	7 2 7	five ten five	Mulisch1993
56	Russian	fifty six	пятьдесят шесть	pʲatʲdʲesʲatʲ+ʃʲestʲ	pʲ a tʲ + dʲ e sʲ a tʲ + ʃʲ e s tʲ	7 2 8	five ten six	Mulisch1993
57	Russian	fifty seven	пятьдесят семь	pʲatʲdʲesʲatʲ+sʲemʲ	pʲ a tʲ + dʲ e sʲ a tʲ + sʲ e mʲ	7 2 10	five ten seven	Mulisch1993
58	Russian	fifty eight	пятьдесят восемь	pʲatʲdʲesʲatʲ+vosʲemʲ	pʲ a tʲ + dʲ e sʲ a tʲ + v o sʲ e mʲ	7 2 11	five ten eight	Mulisch1993
59	Russian	fifty nine	пятьдесят девять	pʲatʲdʲesʲatʲ+dʲevʲatʲ	pʲ a tʲ + dʲ e sʲ a tʲ + dʲ e vʲ a tʲ	7 2 19	five ten nine	Mulisch1993
