ID	DOCULECT	CONCEPT	FORM	TOKENS	MORPHEMES	ALIGNMENT	COGIDS	NOTE	SOURCE
1	Georgian	one	ert-i	e ɾ tʰ + i	one nominative	e ɾ tʰ + i	8 7		wiktionary
2	Georgian	two	or-i	o ɾ + i	two nominative	o ɾ + i	15 7		wiktionary
3	Georgian	three	sam-i	s a m + i	three nominative	s a m + i	13 7		wiktionary
4	Georgian	four	otx-i	o tʰ χ + i	four nominative	o tʰ χ + i	5 7		wiktionary
5	Georgian	five	xut-i	χ u tʰ + i	five nominative	χ u tʰ + i	4 7		wiktionary
6	Georgian	six	ekvs-i	e kʰʷ s + i	six nominative	e kʰʷ s + i	10 7		wiktionary
7	Georgian	seven	švid-i	ʃʷ i d + i	seven nominative	ʃʷ i d + i	9 7		wiktionary
8	Georgian	eight	rva	ɾʷ a	eight	ɾʷ a + 	3		wiktionary
9	Georgian	nine	cxra	tsʰ χ ɾ a	nine	tsʰ χ ɾ a + 	6		wiktionary
10	Georgian	ten	at-i	a tʰ + i	ten nominative	a tʰ + i	11 7		wiktionary
11	Georgian	eleven	t-ert-met’-i	tʰ + e ɾ tʰ + m e tʼ + i	0 one ten2 nominative	tʰ + e ɾ tʰ + m e tʼ + i	1 8 12 7	Glossing conventions from Comrie 2021 https://lingweb.eva.mpg.de/channumerals/TypNum_Latest_21ho.pdf	wiktionary
12	Georgian	twelve	t-or-met’-i	tʰ + o ɾ + m e tʼ + i	0 two ten2 nominative	tʰ + o ɾ + m e tʼ + i	1 15 12 7		wiktionary
13	Georgian	thirteen	t-sam-met’-i	tsʰ/tʰ + -/s a -/m + m e tʼ + i	0 three ten2 nominative	t + sʰ a + m e tʼ + i	1 13 12 7		wiktionary
14	Georgian	fourteen	t-otx-met’-i	tʰ + o tʰ χ + m e tʼ + i	0 four ten2 nominative	tʰ + o tʰ χ + m e tʼ + i	1 5 12 7		wiktionary
15	Georgian	fifteen	t-xut-met’-i	tʰ + χ u tʰ + m e tʼ + i	0 five ten2 nominative	tʰ + χ u tʰ + m e tʼ + i	1 4 12 7		wiktionary
16	Georgian	sixteen	t-ekvs-met’-i	tʰ + e kʰʷ s + m e tʼ + i	0 six ten2 nominative	tʰ + e kʰʷ s + m e tʼ + i	1 10 12 7		wiktionary
17	Georgian	seventeen	t-švid-met’-i	tʃʰʷ/tʰ + -/ʃʷ i d + m e tʼ + i	0 seven ten2 nominative	t + ʃʰʷ i d + m e tʼ + i	1 9 12 7		wiktionary
18	Georgian	eighteen	t-vra-met’-i	tʰ + ʷɾ/ɾʷ a + m e tʼ + i	0 eight ten2 nominative	tʰ + ʷ ɾ a + m e tʼ + i	1 3 12 7		wiktionary
19	Georgian	nineteen	[t]-cxra-met’-i	tsʰ/tʰ + -/tsʰ χ ɾ a + m e tʼ + i	0 nine ten2 nominative	t + sʰ χ ɾ a + m e tʼ + i	1 6 12 7		wiktionary
20	Georgian	twenty	oc-i	o tsʰ + i	twenty nominative	o tsʰ + i	14 7		wiktionary
21	Georgian	twenty one	oc-da-ert-i	o tsʰ + d a + e ɾ tʰ + i	twenty and one nominative	o tsʰ + d a + e ɾ tʰ + i	14 2 8 7		wiktionary
22	Georgian	twenty two	oc-da-or-i	o tsʰ + d a + o ɾ + i	twenty and two nominative	o tsʰ + d a + o ɾ + i	14 2 15 7		wiktionary
23	Georgian	twenty three	oc-da-sam-i	o tsʰ + d a + s a m + i	twenty and three nominative	o tsʰ + d a + s a m + i	14 2 13 7		wiktionary
24	Georgian	twenty four	oc-da-otx-i	o tsʰ + d a + o tʰ χ + i	twenty and four nominative	o tsʰ + d a + o tʰ χ + i	14 2 5 7		wiktionary
