ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	MORPHEMES	ALIGNMENT	COGIDS	NOTE	SOURCE
1	Lishana_Deni	one	χa	χa	χ a	one	χ a	1		Mutzafi2008LishanaDeni
2	Lishana_Deni	two	tre	tre	t r e	two	t r e	2		Mutzafi2008LishanaDeni
3	Lishana_Deni	three	tˤlaːha	tˤlaːha	tˤ l aː h a	three	tˤ l aː h a	3		Mutzafi2008LishanaDeni
4	Lishana_Deni	four	ʔarba	ʔarba	ʔ a r b a	four	ʔ a r b a	4		Mutzafi2008LishanaDeni
5	Lishana_Deni	five	χamʃa	χamʃa	χ a m ʃ a	five	χ a m ʃ a	5		Mutzafi2008LishanaDeni
6	Lishana_Deni	six	ʔəʃta	ʔəʃta	ʔ ə ʃ t a	six	ʔ ə ʃ t a	6		Mutzafi2008LishanaDeni
7	Lishana_Deni	seven	ʃoʔa	ʃoʔa	ʃ o ʔ a	seven	ʃ o ʔ a	7		Mutzafi2008LishanaDeni
8	Lishana_Deni	eight	tmanja	tmanja	t m a n j a	eight	t m a n j a	8		Mutzafi2008LishanaDeni
9	Lishana_Deni	nine	ʔəɕˤʔa	ʔəɕˤʔa	ʔ ə ɕˤ ʔ a	nine	ʔ ə ɕˤ ʔ a	9		Mutzafi2008LishanaDeni
10	Lishana_Deni	ten	ʔəsˤrˤa	ʔəsˤrˤa	ʔ ə sˤ rˤ a	ten	ʔ ə sˤ rˤ a	10		Mutzafi2008LishanaDeni
11	Lishana_Deni	eleven	χadeʔəssar	χadeʔəssar	χ a d/- e/- + ʔ ə sː/sˤ a/- r/rˤ -/a	one ten	χ a d/- e/- + ʔ ə sː/sˤ a/- r/rˤ -/a	1 10		Mutzafi2008LishanaDeni
12	Lishana_Deni	twelve	treʔəssar	treʔəssar	t r e + ʔ ə sː/sˤ a/- r/rˤ -/a	two ten	t r e + ʔ ə sː/sˤ a/- r/rˤ -/a	2 10		Mutzafi2008LishanaDeni
13	Lishana_Deni	thirteen	təltaʔəssar	təltaʔəssar	t/tˤ ə/- l -/aː t/h a + ʔ ə sː/sˤ a/- r/rˤ -/a	three ten	t/tˤ ə/- l -/aː t/h a + ʔ ə sː/sˤ a/- r/rˤ -/a	3 10		Mutzafi2008LishanaDeni
14	Lishana_Deni	fourteen	ʔarbaʔəssar	ʔarbaʔəssar	ʔ a r b a + ʔ ə sː/sˤ a/- r/rˤ -/a	four ten	ʔ a r b a + ʔ ə sː/sˤ a/- r/rˤ -/a	4 10		Mutzafi2008LishanaDeni
15	Lishana_Deni	fifteen	χamʃaʔəssar	χamʃaʔəssar	χ a m ʃ a + ʔ ə sː/sˤ a/- r/rˤ -/a	five ten	χ a m ʃ a + ʔ ə sː/sˤ a/- r/rˤ -/a	5 10		Mutzafi2008LishanaDeni
16	Lishana_Deni	sixteen	ʔəʃtaʔəssar	ʔəʃtaʔəssar	ʔ ə ʃ t a + ʔ ə sː/sˤ a/- r/rˤ -/a	six ten	ʔ ə ʃ t a + ʔ ə sː/sˤ a/- r/rˤ -/a	6 10		Mutzafi2008LishanaDeni
17	Lishana_Deni	seventeen	ʃuwaʔəssar	ʃuwaʔəssar	ʃ u/o w/ʔ a + ʔ ə sː/sˤ a/- r/rˤ -/a	seven ten	ʃ u/o w/ʔ a + ʔ ə sː/sˤ a/- r/rˤ -/a	7 10		Mutzafi2008LishanaDeni
18	Lishana_Deni	seventeen	ʔəʃwaʔəssar	ʔəʃwaʔəssar	ʔ/- ə/- ʃ w/o -/ʔ a + ʔ ə sː/sˤ a/- r/rˤ -/a	seven ten	ʔ/- ə/- ʃ w/o -/ʔ a + ʔ ə sː/sˤ a/- r/rˤ -/a	7 10		Mutzafi2008LishanaDeni
19	Lishana_Deni	eighteen	tˤmˤaneʔəssar	tˤmˤaneʔəssar	tˤ/t mˤ/m a n e/j -/a + ʔ ə sː/sˤ a/- r/rˤ -/a	eight ten	tˤ/t mˤ/m a n e/j -/a + ʔ ə sː/sˤ a/- r/rˤ -/a	8 10		Mutzafi2008LishanaDeni
20	Lishana_Deni	nineteen	ʔəɕɕaʔəssar	ʔəɕɕaʔəssar	ʔ ə ɕ/ɕˤ ɕ/ʔ a + ʔ ə sː/sˤ a/- r/rˤ -/a	nine ten	ʔ ə ɕ/ɕˤ ɕ/ʔ a + ʔ ə sː/sˤ a/- r/rˤ -/a	9 10		Mutzafi2008LishanaDeni
21	Lishana_Deni	twenty	ʔəsri	ʔəsri	ʔ ə s/sˤ r/rˤ -/a + i	ten ty	ʔ ə s/sˤ r/rˤ -/a + i	10 11	older plural suffix /in/, now only found in numerals	Mutzafi2008LishanaDeni
22	Lishana_Deni	twenty one	ʔəsri ʔu χa	ʔəsriʔuχa	ʔ ə s/sˤ r/rˤ -/a + i + ʔ u + χ a	ten ty and one	ʔ ə s/sˤ r/rˤ -/a + i + ʔ u + χ a	10 11 12 1		Mutzafi2008LishanaDeni
23	Lishana_Deni	twenty two	ʔəsri ʔu tre	ʔəsriʔutre	ʔ ə s/sˤ r/rˤ -/a + i + ʔ u + t r e	ten ty and two	ʔ ə s/sˤ r/rˤ -/a + i + ʔ u + t r e	10 11 12 2		Mutzafi2008LishanaDeni
24	Lishana_Deni	twenty three	ʔəsri ʔu tˤlaːha	ʔəsriʔutˤlaːha	ʔ ə s/sˤ r/rˤ -/a + i + ʔ u + tˤ l aː h a	ten ty and three	ʔ ə s/sˤ r/rˤ -/a + i + ʔ u + tˤ l aː h a	10 11 12 3		Mutzafi2008LishanaDeni
25	Lishana_Deni	twenty four	ʔəsri ʔu ʔarba	ʔəsriʔuʔarba	ʔ ə s/sˤ r/rˤ -/a + i + ʔ u + ʔ a r b a	ten ty and four	ʔ ə s/sˤ r/rˤ -/a + i + ʔ u + ʔ a r b a	10 11 12 4		Mutzafi2008LishanaDeni
26	Lishana_Deni	twenty five	ʔəsri ʔu χamʃa	ʔəsriʔuχamʃa	ʔ ə s/sˤ r/rˤ -/a + i + ʔ u + χ a m ʃ a	ten ty and five	ʔ ə s/sˤ r/rˤ -/a + i + ʔ u + χ a m ʃ a	10 11 12 5		Mutzafi2008LishanaDeni
27	Lishana_Deni	twenty six	ʔəsri ʔu ʔəʃta	ʔəsriʔuʔəʃta	ʔ ə s/sˤ r/rˤ -/a + i + ʔ u + ʔ ə ʃ t a	ten ty and six	ʔ ə s/sˤ r/rˤ -/a + i + ʔ u + ʔ ə ʃ t a	10 11 12 6		Mutzafi2008LishanaDeni
28	Lishana_Deni	twenty seven	ʔəsri ʔu ʃoʔa	ʔəsriʔuʃoʔa	ʔ ə s/sˤ r/rˤ -/a + i + ʔ u + ʃ o ʔ a	ten ty and seven	ʔ ə s/sˤ r/rˤ -/a + i + ʔ u + ʃ o ʔ a	10 11 12 7		Mutzafi2008LishanaDeni
29	Lishana_Deni	twenty eight	ʔəsri ʔu tmanja	ʔəsriʔutmanja	ʔ ə s/sˤ r/rˤ -/a + i + ʔ u + t m a n j a	ten ty and eight	ʔ ə s/sˤ r/rˤ -/a + i + ʔ u + t m a n j a	10 11 12 8		Mutzafi2008LishanaDeni
30	Lishana_Deni	twenty nine	ʔəsri ʔu ʔəɕˤʔa	ʔəsriʔuʔəɕˤʔa	ʔ ə s/sˤ r/rˤ -/a + i + ʔ u + ʔ ə ɕˤ ʔ a	ten ty and nine	ʔ ə s/sˤ r/rˤ -/a + i + ʔ u + ʔ ə ɕˤ ʔ a	10 11 12 9		Mutzafi2008LishanaDeni
31	Lishana_Deni	thirty	tˤlaːθi	tˤlaːθi	tˤ l aː θ/h -/a + i	three ty	tˤ l aː θ/h -/a + i	3 11		Mutzafi2008LishanaDeni
32	Lishana_Deni	thirty one	tˤlaːθi ʔu χa	tˤlaːθiʔuχa	tˤ l aː θ/h -/a + i + ʔ u + χ a	three ty and one	tˤ l aː θ/h -/a + i + ʔ u + χ a	3 11 12 1		Mutzafi2008LishanaDeni
