ID	DOCULECT	CONCEPT	FORM	TOKENS	MORPHEMES	ALIGNMENT	COGIDS	NOTE	SOURCE
1	Mikmaq	one	newt	n e w t	one		1		MikmaqOnline
2	Mikmaq	two	ta'pu	t aː b u	two		2		MikmaqOnline
3	Mikmaq	three	si'st	s iː s t	three		3		MikmaqOnline
4	Mikmaq	four	ne'w	n eː w	four		4		MikmaqOnline
5	Mikmaq	five	na'n	n aː n	five		5		MikmaqOnline
6	Mikmaq	six	as'gom	a s ə ɡ o m	six		6		MikmaqOnline
7	Mikmaq	seven	lluigneg	ə lː u i ɡ ə n e k	seven		7		MikmaqOnline
8	Mikmaq	eight	ugumuljin	u ɡ u m u l tʃ i n	eight		8		MikmaqOnline
9	Mikmaq	nine	pesgunateg	p e s k u n a d e k	nine		9		MikmaqOnline
10	Mikmaq	ten	newtisga'q	n e w d/t + i s k aː x	one -ty		1 10		MikmaqOnline
11	Mikmaq	eleven	newtisga'q jel newt	n e w d/t + i s k aː x + tʃ e l + n e w t	one -ty and one		1 10 11 1		MikmaqOnline
12	Mikmaq	twelve	newtisga'q jel ta'pu	n e w d/t + i s k aː x + tʃ e l + t aː b u	one -ty and two		1 10 11 2		MikmaqOnline
13	Mikmaq	thirteen	newtisga'q jel si'st	n e w d/t + i s k aː x + tʃ e l + s iː s t	one -ty and three		1 10 11 3		MikmaqOnline
14	Mikmaq	fourteen	newtisga'q jel ne'w	n e w d/t + i s k aː x + tʃ e l + n eː w	one -ty and four		1 10 11 4		MikmaqOnline
15	Mikmaq	fifteen	newtisga'q jel na'n	n e w d/t + i s k aː x + tʃ e l + n aː n	one -ty and five		1 10 11 5		MikmaqOnline
16	Mikmaq	sixteen	newtisga'q jel as'gom	n e w d/t + i s k aː x + tʃ e l + a s ə ɡ o m	one -ty and six		1 10 11 6		MikmaqOnline
17	Mikmaq	seventeen	newtisga'q jel lluigneg	n e w d/t + i s k aː x + tʃ e l + ə lː u i ɡ ə n e k	one -ty and seven		1 10 11 7		MikmaqOnline
18	Mikmaq	eighteen	newtisga'q jel ugumuljin	n e w d/t + i s k aː x + tʃ e l + u ɡ u m u l tʃ i n	one -ty and eight		1 10 11 8		MikmaqOnline
19	Mikmaq	nineteen	newtisga'q jel pesgunateg	n e w d/t + i s k aː x + tʃ e l + p e s k u n a d e k	one -ty and nine		1 10 11 9		MikmaqOnline
20	Mikmaq	twenty	tapuisga'q	t a/aː b u + i s k aː x	two -ty		2 10		MikmaqOnline
21	Mikmaq	twenty one	tapuisga'q jel newt	t a/aː b u + i s k aː x + tʃ e l + n e w t	two -ty and one		2 10 11 1		MikmaqOnline
22	Mikmaq	twenty two	tapuisga'q jel ta'pu	t a/aː b u + i s k aː x + tʃ e l + t aː b u	two -ty and two		2 10 11 2		MikmaqOnline
23	Mikmaq	twenty three	tapuisga'q jel si'st	t a/aː b u + i s k aː x + tʃ e l + s iː s t	two -ty and three		2 10 11 3		MikmaqOnline
24	Mikmaq	twenty four	tapuisga'q jel ne'w	t a/aː b u + i s k aː x + tʃ e l + n eː w	two -ty and four		2 10 11 4		MikmaqOnline
25	Mikmaq	twenty five	tapuisga'q jel na'n	t a/aː b u + i s k aː x + tʃ e l + n aː n	two -ty and five		2 10 11 5		MikmaqOnline
26	Mikmaq	twenty six	tapuisga'q jel as'gom	t a/aː b u + i s k aː x + tʃ e l + a s ə ɡ o m	two -ty and six		2 10 11 6		MikmaqOnline
27	Mikmaq	twenty seven	tapuisga'q jel lluigneg	t a/aː b u + i s k aː x + tʃ e l + ə lː u i ɡ ə n e k	two -ty and seven		2 10 11 7		MikmaqOnline
