ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	MORPHEMES	ALIGNMENT	COGIDS	NOTE	SOURCE
22	hebr1245	eleven	אחת עשרה	aχatesʁe	a/e χ a t/d + e s -/e ʁ + e/-	one ten suff_fem_sg	a/e χ a t/d + e s -/e ʁ + e/-	1 10 12		Etzion2020ModernHebrew
23	hebr1245	twelve	שנים עשר	ʃnemasaʁ	ʃ n -/a e/j -/i m + a/e s a/e ʁ	two ten	ʃ n -/a e/j -/i m + a/e s a/e ʁ	2 10		Etzion2020ModernHebrew
24	hebr1245	twelve	שתים עשרה	ʃtemesʁe	ʃ t/n -/a e/j -/i m + e s -/e ʁ + e/-	two ten suff_fem_sg	ʃ t/n -/a e/j -/i m + e s -/e ʁ + e/-	2 10 12		Etzion2020ModernHebrew
25	hebr1245	thirteen	שלושה עשר	ʃloʃaasaʁ	ʃ -/a l o ʃ + a/- + a/e s a/e ʁ	three suff_masc_sg ten	ʃ -/a l o ʃ + a/- + a/e s a/e ʁ	3 11 10		Etzion2020ModernHebrew
26	hebr1245	thirteen	שלוש עשרה	ʃloʃesʁe	ʃ -/a l o ʃ + e s -/e ʁ + e/-	three ten suff_fem_sg	ʃ -/a l o ʃ + e s -/e ʁ + e/-	3 10 12		Etzion2020ModernHebrew
27	hebr1245	fourteen	ארבעה עשר	aʁbaaasaʁ	a ʁ b a + a/- + a/e s a/e ʁ	four suff_masc_sg ten	a ʁ b a + a/- + a/e s a/e ʁ	4 11 10		Etzion2020ModernHebrew
28	hebr1245	fourteen	ארבע עשרה	aʁbaesʁe	a ʁ b a + e s -/e ʁ + e/-	four ten suff_fem_sg	a ʁ b a + e s -/e ʁ + e/-	4 10 12		Etzion2020ModernHebrew
29	hebr1245	fifteen	חמישה עשר	χamiʃaasaʁ	χ a m i/e ʃ + a/- + a/e s a/e ʁ	five suff_masc_sg ten	χ a m i/e ʃ + a/- + a/e s a/e ʁ	5 11 10		Etzion2020ModernHebrew
30	hebr1245	fifteen	חמש עשרה	χameʃesʁe	χ a m e ʃ + e s -/e ʁ + e/-	five ten suff_fem_sg	χ a m e ʃ + e s -/e ʁ + e/-	5 10 12		Etzion2020ModernHebrew
31	hebr1245	sixteen	שישה עשר	ʃiʃaasaʁ	ʃ i/e ʃ + a/- + a/e s a/e ʁ	six suff_masc_sg ten	ʃ i/e ʃ + a/- + a/e s a/e ʁ	6 11 10		Etzion2020ModernHebrew
32	hebr1245	sixteen	שש עשרה	ʃeʃesʁe	ʃ e ʃ + e s -/e ʁ + e/-	six ten suff_fem_sg	ʃ e ʃ + e s -/e ʁ + e/-	6 10 12		Etzion2020ModernHebrew
33	hebr1245	seventeen	שבעה עשר	ʃivaasaʁ	ʃ i/e v -/a + a/- + a/e s a/e ʁ	seven suff_masc_sg ten	ʃ i/e v -/a + a/- + a/e s a/e ʁ	7 11 10		Etzion2020ModernHebrew
34	hebr1245	seventeen	שבע עשרה	ʃvaesʁe	ʃ -/e v a + e s -/e ʁ + e/-	seven ten suff_fem_sg	ʃ -/e v a + e s -/e ʁ + e/-	7 10 12		Etzion2020ModernHebrew
35	hebr1245	eighteen	שמונה עשר	ʃmonaasaʁ	ʃ m o n -/e + a/- + a/e s a/e ʁ	eight suff_masc_sg ten	ʃ m o n -/e + a/- + a/e s a/e ʁ	8 11 10		Etzion2020ModernHebrew
36	hebr1245	eighteen	שמונה עשרה	ʃmoneesʁe	ʃ m o n e + e s -/e ʁ + e/-	eight ten suff_fem_sg	ʃ m o n e + e s -/e ʁ + e/-	8 10 12		Etzion2020ModernHebrew
37	hebr1245	nineteen	תשעה עשר	tiʃaasaʁ	t i/e ʃ -/a + a/- + a/e s a/e ʁ	nine suff_masc_sg ten	t i/e ʃ -/a + a/- + a/e s a/e ʁ	9 11 10		Etzion2020ModernHebrew
38	hebr1245	nineteen	תשע עשרה	teʃaesʁe	t e ʃ a + e s -/e ʁ + e/-	nine ten suff_fem_sg	t e ʃ a + e s -/e ʁ + e/-	9 10 12		Etzion2020ModernHebrew
39	hebr1245	twenty	עשרים	esʁim	e s -/e ʁ + i m	ten suff_pl	e s -/e ʁ + i m	10 13		Etzion2020ModernHebrew
40	hebr1245	twenty one	עשרים ואחד	esʁimveeχad	e s -/e ʁ + i m + v e + e χ a d	ten suff_pl and one	e s -/e ʁ + i m + v e + e χ a d	10 13 15 1		Etzion2020ModernHebrew
41	hebr1245	twenty one	עשרים ואחת	esʁimveaχat	e s -/e ʁ + i m + v e + a/e χ a t/d	ten suff_pl and one	e s -/e ʁ + i m + v e + a/e χ a t/d	10 13 15 1		Etzion2020ModernHebrew
42	hebr1245	twenty two	עשרים ושניים	esʁimuʃnajim	e s -/e ʁ + i m + u/v -/e + ʃ n a j i m	ten suff_pl and two	e s -/e ʁ + i m + u/v -/e + ʃ n a j i m	10 13 15 2		Etzion2020ModernHebrew
43	hebr1245	twenty two	עשרים ושתיים	esʁimuʃtajim	e s -/e ʁ + i m + u/v -/e + ʃ t/n a j i m	ten suff_pl and two	e s -/e ʁ + i m + u/v -/e + ʃ t/n a j i m	10 13 15 2		Etzion2020ModernHebrew
44	hebr1245	twenty three	עשרים ושלושה	esʁimuʃloʃa	e s -/e ʁ + i m + u/v -/e + ʃ -/a l o ʃ + a/-	ten suff_pl and three suff_masc_sg	e s -/e ʁ + i m + u/v -/e + ʃ -/a l o ʃ + a/-	10 13 15 3 11		Etzion2020ModernHebrew
45	hebr1245	twenty three	עשרים ושלוש	esʁimveʃaloʃ	e s -/e ʁ + i m + v e + ʃ a l o ʃ	ten suff_pl and three	e s -/e ʁ + i m + v e + ʃ a l o ʃ	10 13 15 3		Etzion2020ModernHebrew
46	hebr1245	twenty four	עשרים וארבעה	esʁimveaʁbaa	e s -/e ʁ + i m + v e + a ʁ b a + a/-	ten suff_pl and four suff_masc_sg	e s -/e ʁ + i m + v e + a ʁ b a + a/-	10 13 15 4 11		Etzion2020ModernHebrew
47	hebr1245	twenty four	עשרים וארבע	esʁimveaʁba	e s -/e ʁ + i m + v e + a ʁ b a	ten suff_pl and four	e s -/e ʁ + i m + v e + a ʁ b a	10 13 15 4		Etzion2020ModernHebrew
48	hebr1245	twenty five	עשרים וחמישה	esʁimveχamiʃa	e s -/e ʁ + i m + v e + χ a m i/e ʃ + a/-	ten suff_pl and five suff_masc_sg	e s -/e ʁ + i m + v e + χ a m i/e ʃ + a/-	10 13 15 5 11		Etzion2020ModernHebrew
49	hebr1245	twenty five	עשרים וחמש	esʁimveχameʃ	e s -/e ʁ + i m + v e + χ a m e ʃ	ten suff_pl and five	e s -/e ʁ + i m + v e + χ a m e ʃ	10 13 15 5		Etzion2020ModernHebrew
