ID	DOCULECT	CONCEPT	FORM	TOKENS	MORPHEMES	COGIDS	SOURCE	NOTE	ALIGNMENT
35	Mandarin	thirty five	sān shí wǔ	s a n ⁵⁵ + ʂ ʅ ³⁵ + u ²¹³	three ten five	3 10 5	Mandarin		s a n ⁵⁵ + ʂ ʅ ³⁵ + u ²¹³
36	Mandarin	thirty six	sān shí liù	s a n ⁵⁵ + ʂ ʅ ³⁵ + l j ou̯ ⁵¹	three ten six	3 10 6	Mandarin		s a n ⁵⁵ + ʂ ʅ ³⁵ + l j ou̯ ⁵¹
37	Mandarin	thirty seven	sān shí qī	s a n ⁵⁵ + ʂ ʅ ³⁵ + tɕʰ i ⁵⁵	three ten seven	3 10 7	Mandarin		s a n ⁵⁵ + ʂ ʅ ³⁵ + tɕʰ i ⁵⁵
38	Mandarin	thirty eight	sān shí bā	s a n ⁵⁵ + ʂ ʅ ³⁵ + p a ⁵⁵	three ten eight	3 10 8	Mandarin		s a n ⁵⁵ + ʂ ʅ ³⁵ + p a ⁵⁵
39	Mandarin	thirty nine	sān shí jiǔ	s a n ⁵⁵ + ʂ ʅ ³⁵ + tɕ j ou̯ ²¹³	three ten nine	3 10 9	Mandarin		s a n ⁵⁵ + ʂ ʅ ³⁵ + tɕ j ou̯ ²¹³
40	Mandarin	forty	sì shí	s ɿ ⁵¹ + ʂ ʅ ³⁵	four ten	4 10	Mandarin		s ɿ ⁵¹ + ʂ ʅ ³⁵
41	Mandarin	forty one	sì shí yī	s ɿ ⁵¹ + ʂ ʅ ³⁵ + i ⁵⁵	four ten one	4 10 1	Mandarin		s ɿ ⁵¹ + ʂ ʅ ³⁵ + i ⁵⁵
42	Mandarin	forty two	sì shí èr	s ɿ ⁵¹ + ʂ ʅ ³⁵ + ɚ ⁵¹	four ten two	4 10 2	Mandarin		s ɿ ⁵¹ + ʂ ʅ ³⁵ + ɚ ⁵¹
43	Mandarin	forty three	sì shí sān	s ɿ ⁵¹ + ʂ ʅ ³⁵ + s a n ⁵⁵	four ten three	4 10 3	Mandarin		s ɿ ⁵¹ + ʂ ʅ ³⁵ + s a n ⁵⁵
44	Mandarin	forty four	sì shí sì	s ɿ ⁵¹ + ʂ ʅ ³⁵ + s ɿ ⁵¹	four ten four	4 10 4	Mandarin		s ɿ ⁵¹ + ʂ ʅ ³⁵ + s ɿ ⁵¹
45	Mandarin	forty five	sì shí wǔ	s ɿ ⁵¹ + ʂ ʅ ³⁵ + u ²¹³	four ten five	4 10 5	Mandarin		s ɿ ⁵¹ + ʂ ʅ ³⁵ + u ²¹³
46	Mandarin	forty six	sì shí liù	s ɿ ⁵¹ + ʂ ʅ ³⁵ + l j ou̯ ⁵¹	four ten six	4 10 6	Mandarin		s ɿ ⁵¹ + ʂ ʅ ³⁵ + l j ou̯ ⁵¹
47	Mandarin	forty seven	sì shí qī	s ɿ ⁵¹ + ʂ ʅ ³⁵ + tɕʰ i ⁵⁵	four ten seven	4 10 7	Mandarin		s ɿ ⁵¹ + ʂ ʅ ³⁵ + tɕʰ i ⁵⁵
48	Mandarin	forty eight	sì shí bā	s ɿ ⁵¹ + ʂ ʅ ³⁵ + p a ⁵⁵	four ten eight	4 10 8	Mandarin		s ɿ ⁵¹ + ʂ ʅ ³⁵ + p a ⁵⁵
49	Mandarin	forty nine	sì shí jiǔ	s ɿ ⁵¹ + ʂ ʅ ³⁵ + tɕ j ou̯ ²¹³	four ten nine	4 10 9	Mandarin		s ɿ ⁵¹ + ʂ ʅ ³⁵ + tɕ j ou̯ ²¹³
50	Mandarin	fifty	wǔ shí	u ²¹³ + ʂ ʅ ³⁵	five ten	5 10	Mandarin		u ²¹³ + ʂ ʅ ³⁵
51	Mandarin	fifty one	wǔ shí yī	u ²¹³ + ʂ ʅ ³⁵ + i ⁵⁵	five ten one	5 10 1	Mandarin		u ²¹³ + ʂ ʅ ³⁵ + i ⁵⁵
52	Mandarin	fifty two	wǔ shí èr	u ²¹³ + ʂ ʅ ³⁵ + ɚ ⁵¹	five ten two	5 10 2	Mandarin		u ²¹³ + ʂ ʅ ³⁵ + ɚ ⁵¹
53	Mandarin	fifty three	wǔ shí sān	u ²¹³ + ʂ ʅ ³⁵ + s a n ⁵⁵	five ten three	5 10 3	Mandarin		u ²¹³ + ʂ ʅ ³⁵ + s a n ⁵⁵
