ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	COGIDS	MORPHEMES	SOURCE	NOTES
1	Chiquitano	one	ta	ta	t a	10	one1	Chiquitano2[6]	These are the "new" numerals of the Lomeriano variety of Chiquitano or Bésɨro, which is the variety that is being standardized.
2	Chiquitano	one	taman	taman	t a m a n	12	one2	Chiquitano1[2] Chiquitano2[6]	
3	Chiquitano	two	to	to	t o	9	two	Chiquitano1[2] Chiquitano2[6]	
4	Chiquitano	three	ne	ne	n e	6	three	Chiquitano1[2] Chiquitano2[6]	
5	Chiquitano	four	nu	nu	n u	7	four	Chiquitano1[2] Chiquitano2[6]	
6	Chiquitano	five	ma	ma	m a	4	five	Chiquitano1[2] Chiquitano2[6]	
7	Chiquitano	six	pa	pa	p a	8	six	Chiquitano1[2] Chiquitano2[6]	
8	Chiquitano	seven	kɨ	kɨ	k ɨ	2	seven	Chiquitano1[2] Chiquitano2[6]	
9	Chiquitano	eight	mu	mu	m u	5	eight	Chiquitano1[2] Chiquitano2[6]	
10	Chiquitano	nine	ku	ku	k u	3	nine	Chiquitano1[2] Chiquitano2[6]	
11	Chiquitano	ten	tu	tu	t u	1	ten	Chiquitano1[4] Chiquitano2[6]	
12	Chiquitano	eleven	tu tan	tu tan	t u + t a -/m -/a n	1 12	ten one2	Chiquitano2[6]	
13	Chiquitano	eleven	tuta	tuta	t u + t a	1 10	ten one1	Chiquitano1[4]	
14	Chiquitano	twelve	tuto	tuto	t u + t o	1 9	ten two	Chiquitano1[4] Chiquitano2[6]	
15	Chiquitano	thirteen	tune	tune	t u + n e	1 6	ten three	Chiquitano1[4] Chiquitano2[6]	
16	Chiquitano	fourteen	tunu	tunu	t u + n u	1 7	ten four	Chiquitano1[4] Chiquitano2[6]	
17	Chiquitano	fifteen	tuma	tuma	t u + m a	1 4	ten five	Chiquitano1[4] Chiquitano2[6]	
18	Chiquitano	sixteen	tupa	tupa	t u + p a	1 8	ten six	Chiquitano1[4] Chiquitano2[6]	
19	Chiquitano	seventeen	tukɨ	tukɨ	t u + k ɨ	1 2	ten seven	Chiquitano1[4] Chiquitano2[6]	
20	Chiquitano	eighteen	tumu	tumu	t u + m u	1 5	ten eight	Chiquitano1[4] Chiquitano2[6]	
21	Chiquitano	nineteen	tuku	tuku	t u + k u	1 3	ten nine	Chiquitano1[4] Chiquitano2[6]	
22	Chiquitano	twenty	totu	totu	t o + t u	9 1	two ten	Chiquitano1[4] Chiquitano2[6]	
23	Chiquitano	twenty one	totuta	totuta	t o + t u + t a	9 1 10	two ten one1	Chiquitano1[4] Chiquitano2[6]	
24	Chiquitano	twenty two	totuto	totuto	t o + t u + t o	9 1 9	two ten two	Chiquitano1[4] Chiquitano2[6]	
25	Chiquitano	twenty three	totune	totune	t o + t u + n e	9 1 6	two ten three	Chiquitano1[4] Chiquitano2[6]	
26	Chiquitano	twenty four	totunu	totunu	t o + t u + n u	9 1 7	two ten four	Chiquitano1[4] Chiquitano2[6]	
27	Chiquitano	twenty five	totuma	totuma	t o + t u + m a	9 1 4	two ten five	Chiquitano1[4] Chiquitano2[6]	
28	Chiquitano	twenty six	totupa	totupa	t o + t u + p a	9 1 8	two ten six	Chiquitano1[4] Chiquitano2[6]	
29	Chiquitano	twenty seven	totukɨ	totukɨ	t o + t u + k ɨ	9 1 2	two ten seven	Chiquitano1[4] Chiquitano2[6]	
30	Chiquitano	twenty eight	totumu	totumu	t o + t u + m u	9 1 5	two ten eight	Chiquitano1[4] Chiquitano2[6]	
31	Chiquitano	twenty nine	totuku	totuku	t o + t u + k u	9 1 3	two ten nine	Chiquitano1[4] Chiquitano2[6]	
32	Chiquitano	thirty	netu	netu	n e + t u	6 1	three ten	Chiquitano1[4] Chiquitano2[6]	
33	Chiquitano	thirty one	netuta	netuta	n e + t u + t a	6 1 10	three ten one1	Chiquitano1[6] Chiquitano2[6]	
34	Chiquitano	thirty two	netuto	netuto	n e + t u + t o	6 1 9	three ten two	Chiquitano1[6] Chiquitano2[6]	
35	Chiquitano	thirty three	netune	netune	n e + t u + n e	6 1 6	three ten three	Chiquitano1[6] Chiquitano2[6]	
36	Chiquitano	thirty four	netunu	netunu	n e + t u + n u	6 1 7	three ten four	Chiquitano1[6] Chiquitano2[6]	
37	Chiquitano	thirty five	netuma	netuma	n e + t u + m a	6 1 4	three ten five	Chiquitano1[6] Chiquitano2[6]	
38	Chiquitano	thirty six	netupa	netupa	n e + t u + p a	6 1 8	three ten six	Chiquitano1[6] Chiquitano2[6]	
39	Chiquitano	thirty seven	netukɨ	netukɨ	n e + t u + k ɨ	6 1 2	three ten seven	Chiquitano1[6] Chiquitano2[6]	
40	Chiquitano	thirty eight	netumu	netumu	n e + t u + m u	6 1 5	three ten eight	Chiquitano1[6] Chiquitano2[6]	
41	Chiquitano	thirty nine	netuku	netuku	n e + t u + k u	6 1 3	three ten nine	Chiquitano1[6] Chiquitano2[6]	
42	Chiquitano	forty	nutu	nutu	n u + t u	7 1	four ten	Chiquitano1[4] Chiquitano2[6]	
43	Chiquitano	forty one	nututa	nututa	n u + t u + t a	7 1 10	four ten one1	Chiquitano1[6] Chiquitano2[6]	
44	Chiquitano	forty two	nututo	nututo	n u + t u + t o	7 1 9	four ten two	Chiquitano1[6] Chiquitano2[6]	
45	Chiquitano	forty three	nutune	nutune	n u + t u + n e	7 1 6	four ten three	Chiquitano1[6] Chiquitano2[6]	
46	Chiquitano	forty four	nutunu	nutunu	n u + t u + n u	7 1 7	four ten four	Chiquitano2[6]	
47	Chiquitano	forty five	nutuma	nutuma	n u + t u + m a	7 1 4	four ten five	Chiquitano2[6]	
48	Chiquitano	forty six	nutupa	nutupa	n u + t u + p a	7 1 8	four ten six	Chiquitano2[6]	
49	Chiquitano	forty seven	nutukɨ	nutukɨ	n u + t u + k ɨ	7 1 2	four ten seven	Chiquitano2[6]	
50	Chiquitano	forty eight	nutumu	nutumu	n u + t u + m u	7 1 5	four ten eight	Chiquitano2[6]	
51	Chiquitano	forty nine	nutuku	nutuku	n u + t u + k u	7 1 3	four ten nine	Chiquitano2[6]	
52	Chiquitano	fifty	matu	matu	m a + t u	4 1	five ten	Chiquitano1[4] Chiquitano2[6]	
53	Chiquitano	fifty one	matuta	matuta	m a + t u + t a	4 1 10	five ten one1	Chiquitano2[6]	
54	Chiquitano	fifty two	matuto	matuto	m a + t u + t o	4 1 9	five ten two	Chiquitano2[6]	
55	Chiquitano	fifty three	matune	matune	m a + t u + n e	4 1 6	five ten three	Chiquitano2[6]	
56	Chiquitano	fifty four	matunu	matunu	m a + t u + n u	4 1 7	five ten four	Chiquitano2[6]	
57	Chiquitano	fifty five	matuma	matuma	m a + t u + m a	4 1 4	five ten five	Chiquitano2[6]	
58	Chiquitano	fifty six	matupa	matupa	m a + t u + p a	4 1 8	five ten six	Chiquitano2[6]	
