ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	COGIDS	MORPHEMES	NOTES	SOURCE
79	Aymara	seventy nine	paqallqu tunka llätunkani	paqaʎqu tunka ʎaːtunkani	p a q a ʎ q u + t u n k a + ʎ aː t u n k a + n i	10 5 9 13	seven ten nine ENUMERATOR		Aymara3
80	Aymara	eighty	kimsaqallqu tunka	kimsaqaʎqu tunka	k i m s a q a ʎ q u + t u n k a	14 5	eight ten		Aymara3
81	Aymara	eighty one	kimsaqallqu tunka mayani	kimsaqaʎqu tunka majani	k i m s a q a ʎ q u + t u n k a + m a j a + n i	14 5 2 13	eight ten one ENUMERATOR	NULL	Aymara3
82	Aymara	eighty two	kimsaqallqu tunka payani	kimsaqaʎqu tunka pajani	k i m s a q a ʎ q u + t u n k a + p a j a + n i	14 5 3 13	eight ten two ENUMERATOR		Aymara3
83	Aymara	eighty three	kimsaqallqu tunka kimsani	kimsaqaʎqu tunka kimsani	k i m s a q a ʎ q u + t u n k a + k i m s a + n i	14 5 1 13	eight ten three ENUMERATOR		Aymara3
84	Aymara	eighty four	kimsaqallqu tunka pusini	kimsaqaʎqu tunka pusini	k i m s a q a ʎ q u + t u n k a + p u s i + n i	14 5 8 13	eight ten four ENUMERATOR		Aymara3
85	Aymara	eighty five	kimsaqallqu tunka phisqani	kimsaqaʎqu tunka pʰisqani	k i m s a q a ʎ q u + t u n k a + pʰ i s q a + n i	14 5 4 13	eight ten five ENUMERATOR		Aymara3
86	Aymara	eighty six	kimsaqallqu tunka suxtani	kimsaqaʎqu tunka suχtani	k i m s a q a ʎ q u + t u n k a + s u χ t a + n i	14 5 7 13	eight ten six ENUMERATOR		Aymara3
87	Aymara	eighty seven	kimsaqallqu tunka paqallquni	kimsaqaʎqu tunka paqaʎquni	k i m s a q a ʎ q u + t u n k a + p a q a ʎ q u + n i	14 5 10 13	eight ten seven ENUMERATOR		Aymara3
88	Aymara	eighty eight	kimsaqallqu tunka kimsaqallquni	kimsaqaʎqu tunka kimsaqaʎquni	k i m s a q a ʎ q u + t u n k a + k i m s a q a ʎ q u + n i	14 5 14 13	eight ten eight ENUMERATOR		Aymara3
89	Aymara	eighty nine	kimsaqallqu tunka llätunkani	kimsaqaʎqu tunka ʎaːtunkani	k i m s a q a ʎ q u + t u n k a + ʎ aː t u n k a + n i	14 5 9 13	eight ten nine ENUMERATOR		Aymara3
90	Aymara	ninety	llätunka tunka	ʎaːtunka tunka	ʎ aː t u n k a + t u n k a	9 5	nine ten		Aymara3
91	Aymara	ninety one	llätunka tunka mayani	ʎaːtunka tunka majani	ʎ aː t u n k a + t u n k a + m a j a + n i	9 5 2 13	nine ten one ENUMERATOR	NULL	Aymara3
92	Aymara	ninety two	llätunka tunka payani	ʎaːtunka tunka pajani	ʎ aː t u n k a + t u n k a + p a j a + n i	9 5 3 13	nine ten two ENUMERATOR		Aymara3
93	Aymara	ninety three	llätunka tunka kimsani	ʎaːtunka tunka kimsani	ʎ aː t u n k a + t u n k a + k i m s a + n i	9 5 1 13	nine ten three ENUMERATOR		Aymara3
94	Aymara	ninety four	llätunka tunka pusini	ʎaːtunka tunka pusini	ʎ aː t u n k a + t u n k a + p u s i + n i	9 5 8 13	nine ten four ENUMERATOR		Aymara3
95	Aymara	ninety five	llätunka tunka phisqani	ʎaːtunka tunka pʰisqani	ʎ aː t u n k a + t u n k a + pʰ i s q a + n i	9 5 4 13	nine ten five ENUMERATOR		Aymara3
96	Aymara	ninety six	llätunka tunka suxtani	ʎaːtunka tunka suχtani	ʎ aː t u n k a + t u n k a + s u χ t a + n i	9 5 7 13	nine ten six ENUMERATOR		Aymara3
97	Aymara	ninety seven	llätunka tunka paqallquni	ʎaːtunka tunka paqaʎquni	ʎ aː t u n k a + t u n k a + p a q a ʎ q u + n i	9 5 10 13	nine ten seven ENUMERATOR		Aymara3
98	Aymara	ninety eight	llätunka tunka kimsaqallquni	ʎaːtunka tunka kimsaqaʎquni	ʎ aː t u n k a + t u n k a + k i m s a q a ʎ q u + n i	9 5 14 13	nine ten eight ENUMERATOR		Aymara3
99	Aymara	ninety nine	llätunka tunka llätunkani	ʎaːtunka tunka ʎaːtunkani	ʎ aː t u n k a + t u n k a + ʎ aː t u n k a + n i	9 5 9 13	nine ten nine ENUMERATOR	NULL	Aymara3
