ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	COGIDS	MORPHEMES	SOURCE	NOTES
1	Cavinena	one	peadya	peaɟa	p e a ɟ a	4	one	Cavineña1[492] Cavineña2	"""Only the numerals for ‘one’ and ‘two’ are originally from Cavineña. The remaining numerals, from ‘three’ to ‘ten’, have been borrowed from Aymara."" (Cavineña1[492])"
2	Cavinena	two	beta	beta	b e t a	1	two1	Cavineña1[492] Cavineña2
3	Cavinena	three	kimisha	kimiɕa	k i m i ɕ a	8	three	Cavineña1[492] Cavineña2	
4	Cavinena	four	pushi	pʊɕi	p ʊ ɕ i	11	four	Cavineña1[492] Cavineña2	
5	Cavinena	five	pishika	piɕika	p i ɕ i k a	10	five1	Cavineña1[492] Cavineña2
6	Cavinena	six	shukuta	ɕʊkʊta	ɕ ʊ k ʊ t a	2	six	Cavineña1[492] Cavineña2	
7	Cavinena	seven	pakaruku	pakarʊkʊ	p a + k a r ʊ k ʊ	5 7	two2 five2	Cavineña1[492] Cavineña2	pa stems from Aymara paja 'two' > pa
8	Cavinena	eight	kimisakaruku	kimisakarʊkʊ	k i m i s/ɕ a + k a r ʊ k ʊ	8 7	three five2	Cavineña1[492] Cavineña2	karʊkʊ stems from Aymara qaʎqu, a bound morpheme meaning 'five'
9	Cavinena	nine	puskuruku	pʊskʊrʊkʊ	p ʊ s/ɕ -/i + k ʊ/a r ʊ k ʊ	11 7	four five2	Cavineña1[492] Cavineña2
10	Cavinena	ten	tunka	tʊŋka	t ʊ ŋ k a	12	ten	Cavineña1[492] Cavineña2	
11	Cavinena	eleven	peadya tunka peadya earakana	peaɟa tʊŋka peaɟa earakana	p e a ɟ a + t ʊ ŋ k a + p e a ɟ a + e a r a k a n a	4 12 4 6	one ten one unit	Cavineña1[496] Cavineña2	As pointed out by Cavineña1[496] the translation of earakana as 'unit' is tentative
12	Cavinena	twelve	peadya tunka beta earakana	peaɟa tʊŋka beta earakana	p e a ɟ a + t ʊ ŋ k a + b e t a + e a r a k a n a	4 12 1 6	one ten two1 unit	Cavineña1[496] Cavineña2
13	Cavinena	thirteen	peadya tunka kimisha earakana	peaɟa tʊŋka kimiɕa earakana	p e a ɟ a + t ʊ ŋ k a + k i m i ɕ a + e a r a k a n a	4 12 8 6	one ten three unit	Cavineña1[496] Cavineña2	
14	Cavinena	fourteen	peadya tunka pushi earakana	peaɟa tʊŋka pʊɕi earakana	p e a ɟ a + t ʊ ŋ k a + p ʊ ɕ i + e a r a k a n a	4 12 11 6	one ten four unit	Cavineña1[496] Cavineña2	
15	Cavinena	fifteen	peadya tunka pishika earakana	peaɟa tʊŋka piɕika earakana	p e a ɟ a + t ʊ ŋ k a + p i ɕ i k a + e a r a k a n a	4 12 10 6	one ten five1 unit	Cavineña1[496] Cavineña2
16	Cavinena	sixteen	peadya tunka shukuta earakana	peaɟa tʊŋka ɕʊkʊta earakana	p e a ɟ a + t ʊ ŋ k a + ɕ ʊ k ʊ t a + e a r a k a n a	4 12 2 6	one ten six unit	Cavineña1[496] Cavineña2	
17	Cavinena	seventeen	peadya tunka pakaruku earakana	peaɟa tʊŋka pakarʊkʊ earakana	p e a ɟ a + t ʊ ŋ k a + p a + k a r ʊ k ʊ + e a r a k a n a	4 12 5 7 6	one ten two2 five2 unit	Cavineña1[496] Cavineña2
18	Cavinena	eighteen	peadya tunka kimisakaruku earakana	peaɟa tʊŋka kimisakarʊkʊ earakana	p e a ɟ a + t ʊ ŋ k a + k i m i s/ɕ a + k a r ʊ k ʊ + e a r a k a n a	4 12 8 7 6	one ten three five2 unit	Cavineña1[496] Cavineña2
19	Cavinena	nineteen	peadya tunka puskuruku earakana	peaɟa tʊŋka pʊskʊrʊkʊ earakana	p e a ɟ a + t ʊ ŋ k a + p ʊ s/ɕ -/i + k ʊ/a r ʊ k ʊ + e a r a k a n a	4 12 11 7 6	one ten four five2 unit	Cavineña1[496] Cavineña2
20	Cavinena	twenty	beta tunka	beta tʊŋka	b e t a + t ʊ ŋ k a	1 12	two1 ten	Cavineña1[496] Cavineña2
21	Cavinena	twenty one	beta tunka peadya earakana	beta tʊŋka peaɟa earakana	b e t a + t ʊ ŋ k a + p e a ɟ a + e a r a k a n a	1 12 4 6	two1 ten one unit	Cavineña1[496] Cavineña2
22	Cavinena	twenty two	beta tunka beta earakana	beta tʊŋka beta earakana	b e t a + t ʊ ŋ k a + b e t a + e a r a k a n a	1 12 1 6	two1 ten two1 unit	Cavineña1[496] Cavineña2
23	Cavinena	twenty three	beta tunka kimisha earakana	beta tʊŋka kimiɕa earakana	b e t a + t ʊ ŋ k a + k i m i ɕ a + e a r a k a n a	1 12 8 6	two1 ten three unit	Cavineña1[496] Cavineña2
24	Cavinena	twenty four	beta tunka pushi earakana	beta tʊŋka pʊɕi earakana	b e t a + t ʊ ŋ k a + p ʊ ɕ i + e a r a k a n a	1 12 11 6	two1 ten four unit	Cavineña1[496] Cavineña2
25	Cavinena	twenty five	beta tunka pishika earakana	beta tʊŋka piɕika earakana	b e t a + t ʊ ŋ k a + p i ɕ i k a + e a r a k a n a	1 12 10 6	two1 ten five1 unit	Cavineña1[496] Cavineña2
26	Cavinena	twenty six	beta tunka shukuta earakana	beta tʊŋka ɕʊkʊta earakana	b e t a + t ʊ ŋ k a + ɕ ʊ k ʊ t a + e a r a k a n a	1 12 2 6	two1 ten six unit	Cavineña1[496] Cavineña2
27	Cavinena	twenty seven	beta tunka pakaruku earakana	beta tʊŋka pakarʊkʊ earakana	b e t a + t ʊ ŋ k a + p a + k a r ʊ k ʊ + e a r a k a n a	1 12 5 7 6	two1 ten two2 five2 unit	Cavineña1[496] Cavineña2
28	Cavinena	twenty eight	beta tunka kimisakaruku earakana	beta tʊŋka kimisakarʊkʊ earakana	b e t a + t ʊ ŋ k a + k i m i s/ɕ a + k a r ʊ k ʊ + e a r a k a n a	1 12 8 7 6	two1 ten three five2 unit	Cavineña1[496] Cavineña2
29	Cavinena	twenty nine	beta tunka puskuruku earakana	beta tʊŋka pʊskʊrʊkʊ earakana	b e t a + t ʊ ŋ k a + p ʊ s/ɕ -/i + k ʊ/a r ʊ k ʊ + e a r a k a n a	1 12 11 7 6	two1 ten four five2 unit	Cavineña1[496] Cavineña2
30	Cavinena	thirty	kimisha tunka	kimiɕa tʊŋka	k i m i ɕ a + t ʊ ŋ k a	8 12	three ten	Cavineña1[496] Cavineña2	
31	Cavinena	thirty one	kimisha tunka peadya earakana	kimiɕa tʊŋka peaɟa earakana	k i m i ɕ a + t ʊ ŋ k a + p e a ɟ a + e a r a k a n a	8 12 4 6	three ten one unit	Cavineña1[496] Cavineña2	
32	Cavinena	thirty two	kimisha tunka beta earakana	kimiɕa tʊŋka beta earakana	k i m i ɕ a + t ʊ ŋ k a + b e t a + e a r a k a n a	8 12 1 6	three ten two1 unit	Cavineña1[496] Cavineña2
33	Cavinena	thirty three	kimisha tunka kimisha earakana	kimiɕa tʊŋka kimiɕa earakana	k i m i ɕ a + t ʊ ŋ k a + k i m i ɕ a + e a r a k a n a	8 12 8 6	three ten three unit	Cavineña1[496] Cavineña2	
34	Cavinena	thirty four	kimisha tunka pushi earakana	kimiɕa tʊŋka pʊɕi earakana	k i m i ɕ a + t ʊ ŋ k a + p ʊ ɕ i + e a r a k a n a	8 12 11 6	three ten four unit	Cavineña1[496] Cavineña2	
35	Cavinena	thirty five	kimisha tunka pishika earakana	kimiɕa tʊŋka piɕika earakana	k i m i ɕ a + t ʊ ŋ k a + p i ɕ i k a + e a r a k a n a	8 12 10 6	three ten five1 unit	Cavineña1[496] Cavineña2
36	Cavinena	thirty six	kimisha tunka shukuta earakana	kimiɕa tʊŋka ɕʊkʊta earakana	k i m i ɕ a + t ʊ ŋ k a + ɕ ʊ k ʊ t a + e a r a k a n a	8 12 2 6	three ten six unit	Cavineña1[496] Cavineña2	
37	Cavinena	thirty seven	kimisha tunka pakaruku earakana	kimiɕa tʊŋka pakarʊkʊ earakana	k i m i ɕ a + t ʊ ŋ k a + p a + k a r ʊ k ʊ + e a r a k a n a	8 12 5 7 6	three ten two2 five2 unit	Cavineña1[496] Cavineña2
38	Cavinena	thirty eight	kimisha tunka kimisakaruku earakana	kimiɕa tʊŋka kimisakarʊkʊ earakana	k i m i ɕ a + t ʊ ŋ k a + k i m i s/ɕ a + k a r ʊ k ʊ + e a r a k a n a	8 12 8 7 6	three ten three five2 unit	Cavineña1[496] Cavineña2
39	Cavinena	thirty nine	kimisha tunka puskuruku earakana	kimiɕa tʊŋka pʊskʊrʊkʊ earakana	k i m i ɕ a + t ʊ ŋ k a + p ʊ s/ɕ -/i + k ʊ/a r ʊ k ʊ + e a r a k a n a	8 12 11 7 6	three ten four five2 unit	Cavineña1[496] Cavineña2
40	Cavinena	forty	pushi tunka	pʊɕi tʊŋka	p ʊ ɕ i + t ʊ ŋ k a	11 12	four ten	Cavineña1[496] Cavineña2	
