ID	DOCULECT	CONCEPT	FORM	TOKENS	MORPHEMES	ALIGNMENT	COGIDS	NOTE	SOURCE
1	Dhivehi	one	ek̊	e k̊	one	e k̊	24		GnanadesikanDhivehi2017
2	Dhivehi	two	de	d e	two	d e	51		GnanadesikanDhivehi2017
3	Dhivehi	three	tin̊	t i n̊	three	t i n̊	45		GnanadesikanDhivehi2017
4	Dhivehi	four	hataru	h a t a r u	four	h a t a r u	14		GnanadesikanDhivehi2017
5	Dhivehi	five	fas	f a s	five	f a s	8		GnanadesikanDhivehi2017
6	Dhivehi	six	ha	h a	six	h a	35		GnanadesikanDhivehi2017
7	Dhivehi	seven	hat̊	h a t̊	seven	h a t̊	29		GnanadesikanDhivehi2017
8	Dhivehi	eight	aṣ̊	a ʂ̊	eight	a ʂ̊	1		GnanadesikanDhivehi2017
9	Dhivehi	nine	nuva	n u ʋ a	nine	n u ʋ a	20		GnanadesikanDhivehi2017
10	Dhivehi	ten	diha	d i h a	ten	d i h a	40		GnanadesikanDhivehi2017
11	Dhivehi	eleven	egāra	e g aː + r a	one5 ten2	e g aː + r a	28 41		GnanadesikanDhivehi2017
12	Dhivehi	twelve	bāra	b aː + r a	two2 ten2	b aː + r a	52 41		GnanadesikanDhivehi2017
13	Dhivehi	thirteen	tēra	t eː + r a	three2 ten2	t eː + r a	46 41		GnanadesikanDhivehi2017
14	Dhivehi	fourteen	sāda	s aː + d a	four3 ten3	s aː + d a	16 42		GnanadesikanDhivehi2017
15	Dhivehi	fifteen	fanara	f a n a + r a	five3 ten2	f a n a + r a	10 41		GnanadesikanDhivehi2017
16	Dhivehi	sixteen	sōḷa	s oː + ɭ a	six2 ten4	s oː + ɭ a	36 43		GnanadesikanDhivehi2017
17	Dhivehi	seventeen	satāra	s a t aː + r a	seven3 ten2	s a t aː + r a	31 41		GnanadesikanDhivehi2017
18	Dhivehi	eighteen	aṣāra	a ʂ aː + r a	eight3 ten2	a ʂ aː + r a	3 41		GnanadesikanDhivehi2017
19	Dhivehi	nineteen	onavihi	o n a + ʋ i h i	minus twenty	o n a + ʋ i h i	19 48		GnanadesikanDhivehi2017
20	Dhivehi	twenty	vihi	ʋ i h i	twenty	ʋ i h i	48		GnanadesikanDhivehi2017
21	Dhivehi	twenty one	ekāvīs	e k aː + ʋ iː s	one3 twenty2	e k aː + ʋ iː s	26 49		GnanadesikanDhivehi2017
22	Dhivehi	twenty two	bāvīs	b aː + ʋ iː s	two2 twenty2	b aː + ʋ iː s	52 49		GnanadesikanDhivehi2017
23	Dhivehi	twenty three	tēvīs	t eː + ʋ iː s	three2 twenty2	t eː + ʋ iː s	46 49		GnanadesikanDhivehi2017
24	Dhivehi	twenty four	sauvīs	s a u + ʋ iː s	four4 twenty2	s a u + ʋ iː s	17 49		GnanadesikanDhivehi2017
25	Dhivehi	twenty five	fansavīs	f a n s a + ʋ iː s	five2 twenty2	f a n s a + ʋ iː s	9 49		GnanadesikanDhivehi2017
26	Dhivehi	twenty six	sabbīs	s a b + b iː s	six3 twenty3	s a b + b iː s	37 50		GnanadesikanDhivehi2017
27	Dhivehi	twenty seven	hatāvīs	h a t aː + ʋ iː s	seven5 twenty2	h a t aː + ʋ iː s	33 49		GnanadesikanDhivehi2017
28	Dhivehi	twenty eight	aṣāvīs	a ʂ aː + ʋ iː s	eight3 twenty2	a ʂ aː + ʋ iː s	3 49		GnanadesikanDhivehi2017
29	Dhivehi	twenty nine	onatirīs	o n a + t i r iː s	minus thirty2	o n a + t i r iː s	19 44		GnanadesikanDhivehi2017
30	Dhivehi	thirty	tirīs	t i r iː s	thirty2	t i r iː s	44		GnanadesikanDhivehi2017
31	Dhivehi	thirty one	ettirīs	e + tː/t i r iː s	one2 thirty2	e + t t i r iː s	25 44		GnanadesikanDhivehi2017
32	Dhivehi	thirty two	battirīs	b a + tː/t i r iː s	two4 thirty2	b a + t t i r iː s	53 44		GnanadesikanDhivehi2017
33	Dhivehi	thirty three	tettirīs	t e + tː/t i r iː s	three3 thirty2	t e + t t i r iː s	47 44		GnanadesikanDhivehi2017
34	Dhivehi	thirty four	sauratirīs	s a u r a + t i r iː s	four2 thirty2	s a u r a + t i r iː s	15 44		GnanadesikanDhivehi2017
35	Dhivehi	thirty five	fansatirīs	f a n s a + t i r iː s	five2 thirty2	f a n s a + t i r iː s	9 44		GnanadesikanDhivehi2017
36	Dhivehi	thirty six	satirīs	s a + t i r iː s	six4 thirty2	s a + t i r iː s	38 44		GnanadesikanDhivehi2017
37	Dhivehi	thirty seven	satutirīs	s a t u + t i r iː s	seven2 thirty2	s a t u + t i r iː s	30 44		GnanadesikanDhivehi2017
38	Dhivehi	thirty eight	aṣutirīs	a ʂ u + t i r iː s	eight2 thirty2	a ʂ u + t i r iː s	2 44		GnanadesikanDhivehi2017
39	Dhivehi	thirty nine	onasāḷīs	o n a + s aː ɭ iː s	minus forty3	o n a + s aː ɭ iː s	19 12		GnanadesikanDhivehi2017
40	Dhivehi	forty	sāḷīs	s aː ɭ iː s	forty3	s aː ɭ iː s	12		GnanadesikanDhivehi2017
41	Dhivehi	forty one	ekāḷīs	e k + aː ɭ iː s	one4 forty2	e k + aː ɭ iː s	27 11		GnanadesikanDhivehi2017
42	Dhivehi	forty two	bayāḷīs	b a + j aː ɭ iː s	two4 forty4	b a + j aː ɭ iː s	53 13	Gnanadesikan (p. 107) gives non-retroflex romanized form, but see https://en.wiktionary.org/wiki/%DE%84%DE%A6%DE%94%DE%A7%DE%85%DE%A9%DE%90%DE%B0#Dhivehi	GnanadesikanDhivehi2017
43	Dhivehi	forty three	teyāḷīs	t e + j aː ɭ iː s	three3 forty4	t e + j aː ɭ iː s	47 13		GnanadesikanDhivehi2017
44	Dhivehi	forty four	saurayāḷīs	s a u r a + j aː ɭ iː s	four2 forty4	s a u r a + j aː ɭ iː s	15 13		GnanadesikanDhivehi2017
45	Dhivehi	forty five	fansayāḷīs	f a n s a + j aː ɭ iː s	five2 forty4	f a n s a + j aː ɭ iː s	9 13		GnanadesikanDhivehi2017
46	Dhivehi	forty six	sayāḷīs	s a + j aː ɭ iː s	six4 forty4	s a + j aː ɭ iː s	38 13		GnanadesikanDhivehi2017
47	Dhivehi	forty seven	satāḷīs	s a t + aː ɭ iː s	seven4 forty2	s a t + aː ɭ iː s	32 11		GnanadesikanDhivehi2017
48	Dhivehi	forty eight	aṣāḷīs	a ʂ + aː ɭ iː s	eight4 forty2	a ʂ + aː ɭ iː s	4 11		GnanadesikanDhivehi2017
49	Dhivehi	forty nine	onafansās	o n a + f a n s aː s	minus fifty	o n a + f a n s aː s	19 6		GnanadesikanDhivehi2017
50	Dhivehi	fifty	fansās	f a n s aː s	fifty	f a n s aː s	6		GnanadesikanDhivehi2017
51	Dhivehi	fifty one	ekāvanna	e k aː + ʋ a nː a	one3 fifty2	e k aː + ʋ a nː a	26 7		GnanadesikanDhivehi2017
52	Dhivehi	fifty two	bāvanna	b aː + ʋ a nː a	two2 fifty2	b aː + ʋ a nː a	52 7		GnanadesikanDhivehi2017
53	Dhivehi	fifty three	tēvanna	t eː + ʋ a nː a	three2 fifty2	t eː + ʋ a nː a	46 7		GnanadesikanDhivehi2017
54	Dhivehi	fifty four	sauravanna	s a u r a + ʋ a nː a	four2 fifty2	s a u r a + ʋ a nː a	15 7		GnanadesikanDhivehi2017
55	Dhivehi	fifty five	fansavanna	f a n s a + ʋ a nː a	five2 fifty2	f a n s a + ʋ a nː a	9 7		GnanadesikanDhivehi2017
56	Dhivehi	fifty six	savanna	s a + ʋ a nː a	six4 fifty2	s a + ʋ a nː a	38 7		GnanadesikanDhivehi2017
57	Dhivehi	fifty seven	satuvanna	s a t u + ʋ a nː a	seven2 fifty2	s a t u + ʋ a nː a	30 7		GnanadesikanDhivehi2017
58	Dhivehi	fifty eight	aṣuvanna	a ʂ u + ʋ a nː a	eight2 fifty2	a ʂ u + ʋ a nː a	2 7		GnanadesikanDhivehi2017
59	Dhivehi	fifty nine	onahaṭṭi	o n a + h a ʈː i	minus sixty	o n a + h a ʈː i	19 39		GnanadesikanDhivehi2017
