ID	DOCULECT	CONCEPT	FORM	TOKENS	MORPHEMES	ALIGNMENT	COGIDS	NOTE	SOURCE
45	Barwar_Neo-Aramaic	thirty five	ṭḷáθi-w-xámša	tˤ lˤ a θ -/a + i + w + x a m ʃ a	three ty and five		5 21 22 9		Khan2008
46	Barwar_Neo-Aramaic	thirty six	ṭḷáθi-w-’ǝ́šta	tˤ lˤ a θ -/a + i + w + ʔ ǝ ʃ t a	three ty and six		5 21 22 11		Khan2008
47	Barwar_Neo-Aramaic	thirty seven	ṭḷáθi-w-šáwwa	tˤ lˤ a θ -/a + i + w + ʃ a wː a	three ty and seven		5 21 22 13		Khan2008
48	Barwar_Neo-Aramaic	thirty eight	ṭḷáθi-w-tmánya	tˤ lˤ a θ -/a + i + w + t m a n j a	three ty and eight		5 21 22 16		Khan2008
49	Barwar_Neo-Aramaic	thirty nine	ṭḷáθi-w-’ǝč̣č̣a	tˤ lˤ a θ -/a + i + w + ʔ ǝ ʧˤː a	three ty and nine		5 21 22 17		Khan2008
50	Barwar_Neo-Aramaic	forty	’árbi	ʔ a r b -/a + i	four ty		8 21		Khan2008
51	Barwar_Neo-Aramaic	forty one	’árbi-w-xa	ʔ a r b -/a + i + w + x a -/d	four ty and one		8 21 22 1		Khan2008
52	Barwar_Neo-Aramaic	forty two	’árbi-w-tre	ʔ a r b -/a + i + w + t r e	four ty and two		8 21 22 3		Khan2008
53	Barwar_Neo-Aramaic	forty three	’árbi-w-ṭḷáθa	ʔ a r b -/a + i + w + tˤ lˤ a θ a	four ty and three		8 21 22 5		Khan2008
54	Barwar_Neo-Aramaic	forty four	’árbi-w-’árba	ʔ a r b -/a + i + w + ʔ a r b a	four ty and four		8 21 22 8		Khan2008
55	Barwar_Neo-Aramaic	forty five	’árbi-w-xámša	ʔ a r b -/a + i + w + x a m ʃ a	four ty and five		8 21 22 9		Khan2008
56	Barwar_Neo-Aramaic	forty six	’árbi-w-’ǝ́šta	ʔ a r b -/a + i + w + ʔ ǝ ʃ t a	four ty and six		8 21 22 11		Khan2008
57	Barwar_Neo-Aramaic	forty seven	’árbi-w-šáwwa	ʔ a r b -/a + i + w + ʃ a wː a	four ty and seven		8 21 22 13		Khan2008
58	Barwar_Neo-Aramaic	forty eight	’árbi-w-tmánya	ʔ a r b -/a + i + w + t m a n j a	four ty and eight		8 21 22 16		Khan2008
59	Barwar_Neo-Aramaic	forty nine	’árbi-w-’ǝč̣č̣a	ʔ a r b -/a + i + w + ʔ ǝ ʧˤː a	four ty and nine		8 21 22 17		Khan2008
60	Barwar_Neo-Aramaic	fifty	xámši	x a m ʃ -/a + i	five ty		9 21		Khan2008
61	Barwar_Neo-Aramaic	fifty one	xámši-w-xa	x a m ʃ -/a + i + w + x a -/d	five ty and one		9 21 22 1		Khan2008
62	Barwar_Neo-Aramaic	fifty two	xámši-w-tre	x a m ʃ -/a + i + w + t r e	five ty and two		9 21 22 3		Khan2008
63	Barwar_Neo-Aramaic	fifty three	xámši-w-ṭḷáθa	x a m ʃ -/a + i + w + tˤ lˤ a θ a	five ty and three		9 21 22 5		Khan2008
64	Barwar_Neo-Aramaic	fifty four	xámši-w-’árba	x a m ʃ -/a + i + w + ʔ a r b a	five ty and four		9 21 22 8		Khan2008
65	Barwar_Neo-Aramaic	fifty five	xámši-w-xámša	x a m ʃ -/a + i + w + x a m ʃ a	five ty and five		9 21 22 9		Khan2008
66	Barwar_Neo-Aramaic	fifty six	xámši-w-’ǝ́šta	x a m ʃ -/a + i + w + ʔ ǝ ʃ t a	five ty and six		9 21 22 11		Khan2008
67	Barwar_Neo-Aramaic	fifty seven	xámši-w-šáwwa	x a m ʃ -/a + i + w + ʃ a wː a	five ty and seven		9 21 22 13		Khan2008
68	Barwar_Neo-Aramaic	fifty eight	xámši-w-tmánya	x a m ʃ -/a + i + w + t m a n j a	five ty and eight		9 21 22 16		Khan2008
69	Barwar_Neo-Aramaic	fifty nine	xámši-w-’ǝč̣č̣a	x a m ʃ -/a + i + w + ʔ ǝ ʧˤː a	five ty and nine		9 21 22 17		Khan2008
70	Barwar_Neo-Aramaic	sixty	’ǝ́šti	ʔ ǝ ʃ t -/a + i	six ty		11 21		Khan2008
71	Barwar_Neo-Aramaic	sixty one	’ǝ́šti-w-xa	ʔ ǝ ʃ t -/a + i + w + x a -/d	six ty and one		11 21 22 1		Khan2008
72	Barwar_Neo-Aramaic	sixty two	’ǝ́šti-w-tre	ʔ ǝ ʃ t -/a + i + w + t r e	six ty and two		11 21 22 3		Khan2008
73	Barwar_Neo-Aramaic	sixty three	’ǝ́šti-w-ṭḷáθa	ʔ ǝ ʃ t -/a + i + w + tˤ lˤ a θ a	six ty and three		11 21 22 5		Khan2008
74	Barwar_Neo-Aramaic	sixty four	’ǝ́šti-w-’árba	ʔ ǝ ʃ t -/a + i + w + ʔ a r b a	six ty and four		11 21 22 8		Khan2008
75	Barwar_Neo-Aramaic	sixty five	’ǝ́šti-w-xámša	ʔ ǝ ʃ t -/a + i + w + x a m ʃ a	six ty and five		11 21 22 9		Khan2008
76	Barwar_Neo-Aramaic	sixty six	’ǝ́šti-w-’ǝ́šta	ʔ ǝ ʃ t -/a + i + w + ʔ ǝ ʃ t a	six ty and six		11 21 22 11		Khan2008
77	Barwar_Neo-Aramaic	sixty seven	’ǝ́šti-w-šáwwa	ʔ ǝ ʃ t -/a + i + w + ʃ a wː a	six ty and seven		11 21 22 13		Khan2008
78	Barwar_Neo-Aramaic	sixty eight	’ǝ́šti-w-tmánya	ʔ ǝ ʃ t -/a + i + w + t m a n j a	six ty and eight		11 21 22 16		Khan2008
79	Barwar_Neo-Aramaic	sixty nine	’ǝ́šti-w-’ǝč̣č̣a	ʔ ǝ ʃ t -/a + i + w + ʔ ǝ ʧˤː a	six ty and nine		11 21 22 17		Khan2008
80	Barwar_Neo-Aramaic	seventy	šáwwi	ʃ a wː -/a + i	seven ty		13 21		Khan2008
81	Barwar_Neo-Aramaic	seventy one	šáwwi-w-xa	ʃ a wː -/a + i + w + x a -/d	seven ty and one		13 21 22 1		Khan2008
82	Barwar_Neo-Aramaic	seventy two	šáwwi-w-tre	ʃ a wː -/a + i + w + t r e	seven ty and two		13 21 22 3		Khan2008
83	Barwar_Neo-Aramaic	seventy three	šáwwi-w-ṭḷáθa	ʃ a wː -/a + i + w + tˤ lˤ a θ a	seven ty and three		13 21 22 5		Khan2008
84	Barwar_Neo-Aramaic	seventy four	šáwwi-w-’árba	ʃ a wː -/a + i + w + ʔ a r b a	seven ty and four		13 21 22 8		Khan2008
85	Barwar_Neo-Aramaic	seventy five	šáwwi-w-xámša	ʃ a wː -/a + i + w + x a m ʃ a	seven ty and five		13 21 22 9		Khan2008
86	Barwar_Neo-Aramaic	seventy six	šáwwi-w-’ǝ́šta	ʃ a wː -/a + i + w + ʔ ǝ ʃ t a	seven ty and six		13 21 22 11		Khan2008
87	Barwar_Neo-Aramaic	seventy seven	šáwwi-w-šáwwa	ʃ a wː -/a + i + w + ʃ a wː a	seven ty and seven		13 21 22 13		Khan2008
88	Barwar_Neo-Aramaic	seventy eight	šáwwi-w-tmánya	ʃ a wː -/a + i + w + t m a n j a	seven ty and eight		13 21 22 16		Khan2008
89	Barwar_Neo-Aramaic	seventy nine	šáwwi-w-’ǝč̣č̣a	ʃ a wː -/a + i + w + ʔ ǝ ʧˤː a	seven ty and nine		13 21 22 17		Khan2008
90	Barwar_Neo-Aramaic	eighty	tmáni	t m a n -/j -/a + i	eight ty		16 21		Khan2008
91	Barwar_Neo-Aramaic	eighty one	tmáni-w-xa	t m a n -/j -/a + i + w + x a -/d	eight ty and one		16 21 22 1		Khan2008
92	Barwar_Neo-Aramaic	eighty two	tmáni-w-tre	t m a n -/j -/a + i + w + t r e	eight ty and two		16 21 22 3		Khan2008
