ID	DOCULECT	CONCEPT	VALUE	FORM	LOCAL_ID	TOKENS	MORPHEMES	COGIDS	ALIGNMENT	NOTE	SOURCE
19	Latin	nineteen	undeviginti	ʊndeːwiːɡɪntiː		ʊ/uː n + d eː + w iː g ɪ n t iː	one from twenty	2 10 6	ʊ/uː n + d eː + w iː g ɪ n t iː	None	Dellert2020;Rubenbauer1995
20	Latin	twenty	viginti	wiːɡɪntiː		w iː g ɪ n t iː	twenty	6	w iː g ɪ n t iː	None	Dellert2020
21	Latin	twenty one	viginti unus	wiːɡɪntiː_uːnʊs		w iː g ɪ n t iː + uː n + ʊ s	twenty one nom.m.sg_suff	6 2 11	w iː g ɪ n t iː + uː n + ʊ s	None	Dellert2020;Rubenbauer1995
22	Latin	twenty two	viginti duo	wiːɡɪntiː_dʊɔ		w iː g ɪ n t iː + d ʊ ɔ	twenty two	6 4	w iː g ɪ n t iː + d ʊ ɔ	None	Dellert2020;Rubenbauer1995
23	Latin	twenty three	viginti tres	wiːɡɪntiː_treːs		w iː g ɪ n t iː + t r eː s	twenty three	6 1	w iː g ɪ n t iː + t r - eː s	None	Dellert2020;Rubenbauer1995
24	Latin	twenty four	viginti quattuor	wiːɡɪntiː_kʷatːʊɔr		w iː g ɪ n t iː + kʷ a tː ʊ ɔ r	twenty four	6 9	w iː g ɪ n t iː + kʷ a tː ʊ ɔ r	None	Dellert2020;Rubenbauer1995
25	Latin	twenty five	viginti quinque	wiːɡɪntiː_kʷiːŋkʷɛ		w iː g ɪ n t iː + kʷ iː ŋ kʷ ɛ	twenty five	6 3	w iː g ɪ n t iː + kʷ iː ŋ kʷ - ɛ	None	Dellert2020;Rubenbauer1995
26	Latin	twenty six	viginti sex	wiːɡɪntiː_sɛks		w iː g ɪ n t iː + s ɛ k s	twenty six	6 12	w iː g ɪ n t iː + s ɛ k - s -	None	Dellert2020;Rubenbauer1995
27	Latin	twenty seven	viginti septem	wiːɡɪntiː_sɛptɛ̃		w iː g ɪ n t iː + s ɛ p t ɛ̃/ɛ -/m	twenty seven	6 13	w iː g ɪ n t iː + s ɛ p t ɛ̃/ɛ -/m	None	Dellert2020;Rubenbauer1995
28	Latin	twenty eight	duodetriginta	dʊodeːtriːɡɪnta		d ʊ ɔ + d eː + t r iː/eː -/s + g ɪ n t aː	two from three tens_suff	4 10 1 5	d ʊ ɔ + d eː + t r iː/eː -/s + g ɪ n t aː	None	Dellert2020;Rubenbauer1995
29	Latin	twenty nine	undetriginta	ʊndeːtriːɡɪnta		ʊ/uː n + d eː + t r iː/eː -/s + g ɪ n t aː	one from three tens_suff	2 10 1 5	ʊ/uː n + d eː + t r iː/eː -/s + g ɪ n t aː	None	Dellert2020;Rubenbauer1995
30	Latin	thirty	triginta	triːɡɪntaː		t r iː/eː -/s + g ɪ n t aː	three tens_suff	1 5	t r iː/eː -/s + g ɪ n t aː	None	Dellert2020
31	Latin	thirty one	triginta unus	triːɡɪntaː_uːnʊs		t r iː/eː -/s + g ɪ n t aː + uː n + ʊ s	three tens_suff one nom.m.sg_suff	1 5 2 11	t r iː/eː -/s + g ɪ n t aː + uː n + ʊ s	None	Dellert2020;Rubenbauer1995
32	Latin	thirty two	triginta duo	triːɡɪntaː_dʊɔ		t r iː/eː -/s + g ɪ n t aː + d ʊ ɔ	three tens_suff two	1 5 4	t r iː/eː -/s + g ɪ n t aː + d ʊ ɔ	None	Dellert2020;Rubenbauer1995
33	Latin	thirty three	triginta tres	triːɡɪntaː_treːs		t r iː/eː -/s + g ɪ n t aː + t r eː s	three tens_suff three	1 5 1	t r iː/eː -/s + g ɪ n t aː + t r - eː s	None	Dellert2020;Rubenbauer1995
34	Latin	thirty four	triginta quattuor	triːɡɪntaː_kʷatːʊɔr		t r iː/eː -/s + g ɪ n t aː + kʷ a tː ʊ ɔ r	three tens_suff four	1 5 9	t r iː/eː -/s + g ɪ n t aː + kʷ a tː ʊ ɔ r	None	Dellert2020;Rubenbauer1995
35	Latin	thirty five	triginta quinque	triːɡɪntaː_kʷiːŋkʷɛ		t r iː/eː -/s + g ɪ n t aː + kʷ iː ŋ kʷ ɛ	three tens_suff five	1 5 3	t r iː/eː -/s + g ɪ n t aː + kʷ iː ŋ kʷ - ɛ	None	Dellert2020;Rubenbauer1995
36	Latin	thirty six	triginta sex	triːɡɪntaː_sɛks		t r iː/eː -/s + g ɪ n t aː + s ɛ k s	three tens_suff six	1 5 12	t r iː/eː -/s + g ɪ n t aː + s ɛ k - s -	None	Dellert2020;Rubenbauer1995
37	Latin	thirty seven	triginta septem	triːɡɪntaː_sɛptɛ̃		t r iː/eː -/s + g ɪ n t aː + s ɛ p t ɛ̃/ɛ -/m	three tens_suff seven	1 5 13	t r iː/eː -/s + g ɪ n t aː + s ɛ p t ɛ̃/ɛ -/m	None	Dellert2020;Rubenbauer1995
38	Latin	thirty eight	duodequadraginta	dʊodeːkʷadraːɡɪntaː		d ʊ ɔ + d eː + kʷ a d r + aː + g ɪ n t aː	two from four2 a-epenthesis tens_suff	4 10 41 14 5	d ʊ ɔ + d eː + kʷ a d r + aː + g ɪ n t aː	None	Dellert2020;Rubenbauer1995
39	Latin	thirty nine	undequadraginta	ʊndeːkʷadraːɡɪntaː		ʊ/uː n + d eː + kʷ a d r + aː + g ɪ n t aː	one from four2 a-epenthesis tens_suff	2 10 41 14 5	ʊ/uː n + d eː + kʷ a d r + aː + g ɪ n t aː	None	Dellert2020;Rubenbauer1995
40	Latin	forty	quadraginta	kʷadraːɡɪntaː		kʷ a d r + aː + g ɪ n t aː	four2 a-epenthesis tens_suff	41 14 5	kʷ a d r + aː + g ɪ n t aː	None	Dellert2020
