ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	MORPHEMES	ALIGNMENT	COGIDS	NOTE	SOURCE
1	Scottish_Gaelic	one	aon	ɯ̃ːn	ɯ̃ː n	one	ɯ̃ː n	1		LearnGaelic2021
2	Scottish_Gaelic	two	dhà	ɣaː	ɣ/d aː	two	ɣ/d aː	2	This is the lenited form, which is preferred by LearnGaelic	LearnGaelic2021
3	Scottish_Gaelic	three	trì	triː	t r iː	three	t r iː	3		LearnGaelic2021
4	Scottish_Gaelic	four	ceithir	kʲehɪrʲ	kʲ e h ɪ rʲ	four	kʲ e h ɪ rʲ	4		LearnGaelic2021
5	Scottish_Gaelic	five	còig	koːgʲ	k oː gʲ	five	k oː gʲ	5		LearnGaelic2021
6	Scottish_Gaelic	six	sia	ʃia	ʃ i a	six	ʃ i a	6		LearnGaelic2021
7	Scottish_Gaelic	seven	seachd	ʃɛxg	ʃ ɛ x g	seven	ʃ ɛ x g	7		LearnGaelic2021
8	Scottish_Gaelic	eight	ochd	ɔxg	ɔ x g	eight	ɔ x g	8		LearnGaelic2021
9	Scottish_Gaelic	nine	naoi 	n̪ˠɯj	n̪ˠ ɯ j	nine	n̪ˠ ɯ j	9		LearnGaelic2021
10	Scottish_Gaelic	ten	deich	dʲeç	dʲ e ç	ten	dʲ e ç	11		LearnGaelic2021
11	Scottish_Gaelic	eleven	aon deug	ɯ̃ːndʲiəg	ɯ̃ː n + dʲ i/- ə/e g/ç	one ten	ɯ̃ː n + dʲ i/- ə/e g/ç	1 11		LearnGaelic2021
12	Scottish_Gaelic	twelve	dhà dheug	ɣaːjiəg	ɣ/d aː + j/dʲ i/- ə/e g/ç	two ten	ɣ/d aː + j/dʲ i/- ə/e g/ç	2 11	""	LearnGaelic2021
13	Scottish_Gaelic	thirteen	trì deug	triːdʲiəg	t r iː + dʲ i/- ə/e g/ç	three ten	t r iː + dʲ i/- ə/e g/ç	3 11		LearnGaelic2021
14	Scottish_Gaelic	fourteen	ceithir deug	kʲehɪrʲdʲiəg	kʲ e h ɪ rʲ + dʲ i/- ə/e g/ç	four ten	kʲ e h ɪ rʲ + dʲ i/- ə/e g/ç	4 11		LearnGaelic2021
15	Scottish_Gaelic	fifteen	còig deug	koːgʲdʲiəg	k oː gʲ + dʲ i/- ə/e g/ç	five ten	k oː gʲ + dʲ i/- ə/e g/ç	5 11		LearnGaelic2021
16	Scottish_Gaelic	sixteen	sia deug	ʃiadʲiəg	ʃ i a + dʲ i/- ə/e g/ç	six ten	ʃ i a + dʲ i/- ə/e g/ç	6 11		LearnGaelic2021
17	Scottish_Gaelic	seventeen	seachd deug	ʃɛxgdʲiəg	ʃ ɛ x g + dʲ i/- ə/e g/ç	seven ten	ʃ ɛ x g + dʲ i/- ə/e g/ç	7 11		LearnGaelic2021
18	Scottish_Gaelic	eighteen	ochd deug	ɔxgdʲiəg	ɔ x g + dʲ i/- ə/e g/ç	eight ten	ɔ x g + dʲ i/- ə/e g/ç	8 11		LearnGaelic2021
19	Scottish_Gaelic	nineteen	naoi deug	n̪ˠɯjdʲiəg	n̪ˠ ɯ j + dʲ i/- ə/e g/ç	nine ten	n̪ˠ ɯ j + dʲ i/- ə/e g/ç	9 11		LearnGaelic2021
20	Scottish_Gaelic	twenty	fichead	fiçəd	f i ç ə d	twenty	f i ç ə d	20		LearnGaelic2021
21	Scottish_Gaelic	twenty one	fichead ’s a h-aon	fiçədsəhɯ̃ːn	f i ç ə d + -/a -/ɣ -/ə s + ə + h/- ɯ̃ː n	twenty and numeral_particle one	f i ç ə d + -/a -/ɣ -/ə s + ə + h/- ɯ̃ː n	20 15 16 1	decimal	LearnGaelic2021
22	Scottish_Gaelic	twenty one	aon air fhichead	ɯ̃ːnɛrʲiçəd	ɯ̃ː n + ɛ rʲ + -/f i ç ə d	one on twenty	ɯ̃ː n + ɛ rʲ + -/f i ç ə d	1 13 20	vigesimal	LearnGaelic2021
23	Scottish_Gaelic	twenty two	fichead 's a dhà	fiçədsəɣaː	f i ç ə d + -/a -/ɣ -/ə s + ə + ɣ/d aː	twenty and numeral_particle two	f i ç ə d + -/a -/ɣ -/ə s + ə + ɣ/d aː	20 15 16 2	decimal	LearnGaelic2021
24	Scottish_Gaelic	twenty two	dhà air fhichead	ɣaːɛrʲiçəd	ɣ/d aː + ɛ rʲ + -/f i ç ə d	two on twenty	ɣ/d aː + ɛ rʲ + -/f i ç ə d	2 13 20	vigesimal	LearnGaelic2021
25	Scottish_Gaelic	twenty three	fichead 's a trì	fiçədsətriː	f i ç ə d + -/a -/ɣ -/ə s + ə + t r iː	twenty and numeral_particle three	f i ç ə d + -/a -/ɣ -/ə s + ə + t r iː	20 15 16 3	decimal	LearnGaelic2021
26	Scottish_Gaelic	twenty three	trì air fhichead	triːɛrʲiçəd	t r iː + ɛ rʲ + -/f i ç ə d	three on twenty	t r iː + ɛ rʲ + -/f i ç ə d	3 13 20	vigesimal	LearnGaelic2021
27	Scottish_Gaelic	twenty four	fichead 's a ceithir	fiçədsəkʲehɪrʲ	f i ç ə d + -/a -/ɣ -/ə s + ə + kʲ e h ɪ rʲ	twenty and numeral_particle four	f i ç ə d + -/a -/ɣ -/ə s + ə + kʲ e h ɪ rʲ	20 15 16 4	decimal	LearnGaelic2021
28	Scottish_Gaelic	twenty four	ceithir air fhichead	kʲehɪrʲɛrʲiçəd	kʲ e h ɪ rʲ + ɛ rʲ + -/f i ç ə d	four on twenty	kʲ e h ɪ rʲ + ɛ rʲ + -/f i ç ə d	4 13 20	vigesimal	LearnGaelic2021
29	Scottish_Gaelic	twenty five	fichead 's a còig	fiçədsəkoːgʲ	f i ç ə d + -/a -/ɣ -/ə s + ə + k oː gʲ	twenty and numeral_particle five	f i ç ə d + -/a -/ɣ -/ə s + ə + k oː gʲ	20 15 16 5	decimal	LearnGaelic2021
30	Scottish_Gaelic	twenty five	còig air fhichead	koːgʲɛrʲiçəd	k oː gʲ + ɛ rʲ + -/f i ç ə d	five on twenty	k oː gʲ + ɛ rʲ + -/f i ç ə d	5 13 20	vigesimal	LearnGaelic2021
