ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	MORPHEMES	ALIGNMENT	COGIDS	NOTE	SOURCE
1	Irish	one	aon	eːnˠ	eː nˠ	one	eː nˠ	1		Heggarty2024
2	Irish	two	dó	d̪ˠoː	d̪ˠ oː	two	d̪ˠ oː	2		Heggarty2024
3	Irish	three	trí	tʲɾʲiː	tʲ ɾʲ iː	three	tʲ ɾʲ iː	3		Focloir_Scoile1998;Heggarty2024
4	Irish	four	ceathair	cahəɾʲ	c a h ə ɾʲ	four	c a h ə ɾʲ	4		Focloir_Scoile1998
5	Irish	five	cúig	kuːɟ	k uː ɟ	five	k uː ɟ	5		Focloir_Scoile1998
6	Irish	six	sé	ʃeː	ʃ eː	six	ʃ eː	6		Dellert2020;Focloir_Scoile1998
7	Irish	seven	seacht	ʃaxt̪ˠ	ʃ a x t̪ˠ	seven	ʃ a x t̪ˠ	7		Dellert2020;Focloir_Scoile1998
8	Irish	eight	ocht	ɔxt̪ˠ	ɔ x t̪ˠ	eight	ɔ x t̪ˠ	8		Dellert2020;Focloir_Scoile1998
9	Irish	nine	naoi	n̪ˠiː	n̪ˠ iː	nine	n̪ˠ iː	9		Dellert2020;Focloir_Scoile1998
10	Irish	ten	deich	dʲɛç	dʲ ɛ ç	ten	dʲ ɛ ç	11		Dellert2020;Focloir_Scoile1998
11	Irish	eleven	aon déag	eːnˠdʲeːg	eː nˠ + dʲ eː/ɛ g/ç	one ten	eː nˠ + dʲ eː/ɛ g/ç	1 11		Focloir_Scoile1998;Heggarty2024
12	Irish	twelve	dó dhéag	d̪ˠoːjeːg	d̪ˠ oː + j/dʲ eː/ɛ g/ç	two ten	d̪ˠ oː + j/dʲ eː/ɛ g/ç	2 11		Focloir_Scoile1998;Heggarty2024
13	Irish	thirteen	trí déag	tʲɾʲiːdʲeːg	tʲ ɾʲ iː + dʲ eː/ɛ g/ç	three ten	tʲ ɾʲ iː + dʲ eː/ɛ g/ç	3 11		Focloir_Scoile1998;Heggarty2024
14	Irish	fourteen	ceathair déag	cahəɾʲjeːg	c a h ə ɾʲ + dʲ eː/ɛ g/ç	four ten	c a h ə ɾʲ + dʲ eː/ɛ g/ç	4 11		Focloir_Scoile1998
15	Irish	fifteen	cúig déag	kuːɟdʲeːg	k uː ɟ + dʲ eː/ɛ g/ç	five ten	k uː ɟ + dʲ eː/ɛ g/ç	5 11		Focloir_Scoile1998
16	Irish	sixteen	sé déag	ʃeːdʲeːg	ʃ eː + dʲ eː/ɛ g/ç	six ten	ʃ eː + dʲ eː/ɛ g/ç	6 11		Dellert2020;Focloir_Scoile1998
17	Irish	seventeen	seacht déag	ʃaxt̪ˠdʲeːg	ʃ a x t̪ˠ + dʲ eː/ɛ g/ç	seven ten	ʃ a x t̪ˠ + dʲ eː/ɛ g/ç	7 11		Dellert2020;Focloir_Scoile1998
18	Irish	eighteen	ocht déag	ɔxt̪ˠdʲeːg	ɔ x t̪ˠ + dʲ eː/ɛ g/ç	eight ten	ɔ x t̪ˠ + dʲ eː/ɛ g/ç	8 11		Dellert2020;Focloir_Scoile1998
19	Irish	nineteen	naoi déag	n̪ˠiːdʲeːg	n̪ˠ iː + dʲ eː/ɛ g/ç	nine ten	n̪ˠ iː + dʲ eː/ɛ g/ç	9 11		Dellert2020;Focloir_Scoile1998
20	Irish	twenty	fiche	fʲɪçə	fʲ ɪ ç ə	twenty	fʲ ɪ ç ə	20		Dellert2020;Focloir_Scoile1998
21	Irish	twenty one	fiche a haon	fʲɪçəheːnˠ	fʲ ɪ ç ə + -/ə + h/- eː nˠ	twenty numeral_particle one	fʲ ɪ ç ə + -/ə + h/- eː nˠ	20 15 1		Dellert2020;Focloir_Scoile1998;Heggarty2024
22	Irish	twenty two	fiche a dó	fʲɪçəd̪ˠoː	fʲ ɪ ç ə + -/ə + d̪ˠ oː	twenty numeral_particle two	fʲ ɪ ç ə + -/ə + d̪ˠ oː	20 15 2		Dellert2020;Focloir_Scoile1998;Heggarty2024
23	Irish	twenty three	fiche a trí	fʲɪçətʲɾʲiː	fʲ ɪ ç ə + -/ə + tʲ ɾʲ iː	twenty numeral_particle three	fʲ ɪ ç ə + -/ə + tʲ ɾʲ iː	20 15 3		Dellert2020;Focloir_Scoile1998;Heggarty2024
24	Irish	twenty four	fiche a ceathair	fʲɪçəcahəɾʲ	fʲ ɪ ç ə + -/ə + c a h ə ɾʲ	twenty numeral_particle four	fʲ ɪ ç ə + -/ə + c a h ə ɾʲ	20 15 4		Dellert2020;Focloir_Scoile1998
