ID	DOCULECT	CONCEPT	NUMBER	FORM	TOKENS	ALIGNMENT	MORPHEMES	COGIDS	SOURCE
1	Shanghainese	one	1	iɪʔ⁵⁵	iɪ ʔ ⁵⁵	iɪ ʔ ⁵⁵	one	1	Shanghainese
2	Shanghainese	two	2	ȵi²³	ȵ i ²³	ȵ i ²³	two	2	Shanghainese
3	Shanghainese	three	3	sᴇ⁵³	s ᴇ ⁵³	s ᴇ ⁵³	three	3	Shanghainese
4	Shanghainese	four	4	sɿ³⁴	s ɿ ³⁴	s ɿ ³⁴	four	4	Shanghainese
5	Shanghainese	five	5	ɦŋ̍²³	ɦ ŋ ̍ ²³	ɦ ŋ ̍ ²³	five	5	Shanghainese
6	Shanghainese	six	6	loʔ¹²	l o ʔ ¹²	l o ʔ ¹²	six	6	Shanghainese
7	Shanghainese	seven	7	tɕ'iɪʔ	tɕʰ iɪ ʔ	tɕʰ iɪ ʔ	seven	7	Shanghainese
8	Shanghainese	eight	8	pᴀʔ⁵⁵	p ᴀ ʔ ⁵⁵	p ᴀ ʔ ⁵⁵	eight	8	Shanghainese
9	Shanghainese	nine	9	tɕiɤ³⁴	tɕ iɤ ³⁴	tɕ iɤ ³⁴	nine	9	Shanghainese
10	Shanghainese	ten	10	zəʔ¹²	z ə ʔ ¹²	z ə ʔ ¹²	ten	10	Shanghainese
11	Shanghainese	eleven	11	zəʔ¹²iɪʔ⁵⁵	z ə ʔ ¹² + iɪ ʔ ⁵⁵	z ə ʔ ¹² +iɪ ʔ ⁵⁵	ten one	10 1	Shanghainese
12	Shanghainese	twelve	12	zəʔ¹²ȵi²³	z ə ʔ ¹² + ȵ i ²³	z ə ʔ ¹² + ȵ i ²³	ten two	10 2	Shanghainese
13	Shanghainese	thirteen	13	zəʔ¹²sᴇ⁵³	z ə ʔ ¹² + s ᴇ ⁵³	z ə ʔ ¹² + s ᴇ ⁵³	ten three	10 3	Shanghainese
14	Shanghainese	fourteen	14	zəʔ¹²sɿ³⁴	z ə ʔ ¹² + s ɿ ³⁴	z ə ʔ ¹² + s ɿ ³⁴	ten four	10 4	Shanghainese
15	Shanghainese	fifteen	15	zəʔ¹²ɦŋ̍²³	z ə ʔ ¹² + ɦ ŋ ̍ ²³	z ə ʔ ¹² + ɦ ŋ ̍ ²³	ten five	10 5	Shanghainese
16	Shanghainese	sixteen	16	zəʔ¹²loʔ¹²	z ə ʔ ¹² + l o ʔ ¹²	z ə ʔ ¹² + l o ʔ ¹²	ten six	10 6	Shanghainese
17	Shanghainese	seventeen	17	zəʔ¹²tɕ'iɪʔ	z ə ʔ ¹² + tɕʰ iɪ ʔ	z ə ʔ ¹² + tɕʰ iɪ ʔ	ten seven	10 7	Shanghainese
18	Shanghainese	eighteen	18	zəʔ¹²pᴀʔ⁵⁵	z ə ʔ ¹² + p ᴀ ʔ ⁵⁵	z ə ʔ ¹² + p ᴀ ʔ ⁵⁵	ten eight	10 8	Shanghainese
19	Shanghainese	nineteen	19	zəʔ¹²tɕiɤ³⁴	z ə ʔ ¹² + tɕ iɤ ³⁴	z ə ʔ ¹² + tɕ iɤ ³⁴	ten nine	10 9	Shanghainese
