ID	DOCULECT	CONCEPT	NUMBER	VALUE	FORM	TOKENS	MORPHEMES	COGIDS	SOURCE
35	French	THIRTY FIVE	35	trente-cinq	tʁɑ̃tsɛ̃k	t ʁ -/w -/ɑ + ɑ̃ t + s ɛ̃ k	three tenstep five	3 17 5	French
36	French	THIRTY SIX	36	trente-six	tʁɑ̃tsis	t ʁ -/w -/ɑ + ɑ̃ t + s i s	three tenstep six	3 17 6	French
37	French	THIRTY SEVEN	37	trente-sept	tʁɑ̃tsɛt	t ʁ -/w -/ɑ + ɑ̃ t + s ɛ t	three tenstep seven	3 17 7	French
38	French	THIRTY EIGHT	38	trente-huit	tʁɑ̃tɥit	t ʁ -/w -/ɑ + ɑ̃ t + ɥ i t	three tenstep eight	3 17 8	French
39	French	THIRTY NINE	39	trente-neuf	tʁɑ̃tnœf	t ʁ -/w -/ɑ + ɑ̃ t + n œ f	three tenstep nine	3 17 9	French
40	French	FORTY	40	quarante	kaʁɑ̃t	k a -/t ʁ - + ɑ̃ t	four tenstep	4 17	French
41	French	FORTY ONE	41	quarante et un	kaʁɑ̃teœ̃	k a -/t ʁ - + ɑ̃ t + e + œ̃	four tenstep and one	4 17 18 1	French
42	French	FORTY TWO	42	quarante-deux	kaʁɑ̃tdø	k a -/t ʁ - + ɑ̃ t + d ø	four tenstep two	4 17 2	French
43	French	FORTY THREE	43	quarante-trois	kaʁɑ̃tʁwɑ	k a -/t ʁ - + ɑ̃ -/t + t ʁ w ɑ	four tenstep three	4 17 3	French
44	French	FORTY FOUR	44	quarante-quatre	kaʁɑ̃tkatʁ	k a -/t ʁ - + ɑ̃ t + k a t ʁ	four tenstep four	4 17 4	French
45	French	FORTY FIVE	45	quarante-cinq	kaʁɑ̃tsɛ̃k	k a -/t ʁ - + ɑ̃ t + s ɛ̃ k	four tenstep five	4 17 5	French
46	French	FORTY SIX	46	quarante-six	kaʁɑ̃tsis	k a -/t ʁ - + ɑ̃ t + s i s	four tenstep six	4 17 6	French
