ID	DOCULECT	CONCEPT	FORM	TOKENS	MORPHEMES	ALIGNMENT	COGIDS	NOTE	SOURCE
1	Acehnese	one	sa	s a	one	s a	1		wiktionary
2	Acehnese	two	duwa	d u w a	two	d u w a	2		wiktionary
3	Acehnese	three	lhɛə	l h ɛ ə	three	l h ɛ ə	3		wiktionary
4	Acehnese	four	pɯət	p ɯ ə t	four	p ɯ ə t	4		wiktionary
5	Acehnese	five	limʌŋ	l i m ʌ ŋ	five	l i m ʌ ŋ	5		wiktionary
6	Acehnese	six	nam	n a m	six	n a m	6		wiktionary
7	Acehnese	seven	tuɟoh	t u ɟ o h	seven	t u ɟ o h	7		wiktionary
8	Acehnese	eight	lapan	l a p a n	eight	l a p a n	8		wiktionary
9	Acehnese	nine	sikurɯəŋ	s i + k u r ɯ ə ŋ	one2? nine	s i + k u r ɯ ə ŋ	12 9	According to Durie (1984:162), si= is a morphologically (not phonologically) conditioned allomorph of sa	wiktionary
10	Acehnese	ten	siploh	s i + p l o h	one2? ten	s i + p l o h	12 10		wiktionary
11	Acehnese	eleven	siblah	s i + b l a h	one2? ten2	s i + b l a h	12 10		wiktionary
12	Acehnese	twelve	duwa blah	d u w a + b l a h	two ten2	d u w a + b l a h	2 10		wiktionary
13	Acehnese	thirteen	lhɛə blah	l h ɛ ə + b l a h	three ten2	l h ɛ ə + b l a h	3 10		wiktionary
14	Acehnese	fourteen	pɯət blah	p ɯ ə t + b l a h	four ten2	p ɯ ə t + b l a h	4 10		wiktionary
15	Acehnese	fifteen	limʌŋ blah	l i m ʌ ŋ + b l a h	five ten2	l i m ʌ ŋ + b l a h	5 10		wiktionary
16	Acehnese	sixteen	nam blah	n a m + b l a h	six ten2	n a m + b l a h	6 10		wiktionary
17	Acehnese	seventeen	tuɟoh blah	t u ɟ o h + b l a h	seven ten2	t u ɟ o h + b l a h	7 10		wiktionary
18	Acehnese	eighteen	lapan blah	l a p a n + b l a h	eight ten2	l a p a n + b l a h	8 10		wiktionary
19	Acehnese	nineteen	sikurɯəŋ blah	s i + k u r ɯ ə ŋ + b l a h	one2? nine ten2	s i + k u r ɯ ə ŋ + b l a h	12 9 10		wiktionary
20	Acehnese	twenty	duwa ploh	d u w a + p l o h	two ten	d u w a + p l o h	2 10		wiktionary
21	Acehnese	twenty one	duwa ploh sa	d u w a + p l o h + s a	two ten one	d u w a + p l o h + s a	2 10 1		wiktionary
22	Acehnese	twenty two	duwa ploh duwa	d u w a + p l o h + d u w a	two ten two	d u w a + p l o h + d u w a	2 10 2		wiktionary
23	Acehnese	twenty three	duwa ploh lhɛə	d u w a + p l o h + l h ɛ ə	two ten three	d u w a + p l o h + l h ɛ ə	2 10 3		wiktionary
24	Acehnese	twenty four	duwa ploh pɯət	d u w a + p l o h + p ɯ ə t	two ten four	d u w a + p l o h + p ɯ ə t	2 10 4		wiktionary
25	Acehnese	twenty five	duwa ploh limʌŋ	d u w a + p l o h + l i m ʌ ŋ	two ten five	d u w a + p l o h + l i m ʌ ŋ	2 10 5		wiktionary
26	Acehnese	twenty six	duwa ploh nam	d u w a + p l o h + n a m	two ten six	d u w a + p l o h + n a m	2 10 6		wiktionary
