ID	DOCULECT	CONCEPT	FORM	TOKENS	MORPHEMES	COGIDS	GLOTTOCODE	ALIGNMENT	NOTE	SOURCE
36	Wolam	thirty six	au ham kə ajuk	au + h a m + k ə + a j u k	ten2 three attr six	10 33 99 6	wola1254	au + h a m + k ə + a j u k		vanDam2026wolam
37	Wolam	thirty seven	au ham kə tʃiɲat	au + h a m + k ə + tʃ i ɲ a t	ten2 three attr seven	10 33 99 7	wola1254	au + h a m + k ə + tʃ i ɲ a t		vanDam2026wolam
38	Wolam	thirty eight	au ham kə pəti	au + h a m + k ə + p ə t i	ten2 three attr eight	10 33 99 8	wola1254	au + h a m + k ə + p ə t i		vanDam2026wolam
39	Wolam	thirty nine	au ham kə ləkau	au + h a m + k ə + l ə k au	ten2 three attr nine	10 33 99 9	wola1254	au + h a m + k ə + l ə k au		vanDam2026wolam
40	Wolam	forty	au pəle	au + p ə l e	ten2 four 	10 4	wola1254	au + p ə l e		vanDam2026wolam
41	Wolam	forty one	au pəle kə tak	au + p ə l e + k ə + t a k	ten2 four attr one	10 4 99 1	wola1254	au + p ə l e + k ə + t a k		vanDam2026wolam
42	Wolam	forty two	au pəle kə ləmeʔ	au + p ə l e + k ə + l ə m e ʔ	ten2 four attr two2	10 4 99 2	wola1254	au + p ə l e + k ə + l ə m e ʔ		vanDam2026wolam
43	Wolam	forty three	au pəle kə hameʔ	au + p ə l e + k ə + h a m e ʔ	ten2 four attr three2	10 4 99 3	wola1254	au + p ə l e + k ə + h a m e ʔ		vanDam2026wolam
44	Wolam	forty four	au pəle kə pəle	au + p ə l e + k ə + p ə l e	ten2 four attr four	10 4 99 4	wola1254	au + p ə l e + k ə + p ə l e		vanDam2026wolam
45	Wolam	forty five	au pəle kə pəŋu	au + p ə l e + k ə + p ə ŋ u	ten2 four attr five	10 4 99 5	wola1254	au + p ə l e + k ə + p ə ŋ u		vanDam2026wolam
46	Wolam	forty six	au pəle kə ajuk	au + p ə l e + k ə + a j u k	ten2 four attr six	10 4 99 6	wola1254	au + p ə l e + k ə + a j u k		vanDam2026wolam
47	Wolam	forty seven	au pəle kə tʃiɲat	au + p ə l e + k ə + tʃ i ɲ a t	ten2 four attr seven	10 4 99 7	wola1254	au + p ə l e + k ə + tʃ i ɲ a t		vanDam2026wolam
48	Wolam	forty eight	au pəle kə pəti	au + p ə l e + k ə + p ə t i	ten2 four attr eight	10 4 99 8	wola1254	au + p ə l e + k ə + p ə t i		vanDam2026wolam
49	Wolam	forty nine	au pəle kə ləkau	au + p ə l e + k ə + l ə k au	ten2 four attr nine	10 4 99 9	wola1254	au + p ə l e + k ə + l ə k au		vanDam2026wolam
50	Wolam	fifty	au pəŋu	au + p ə ŋ u	ten2 five 	10 5	wola1254	au + p ə ŋ u		vanDam2026wolam
51	Wolam	fifty one	au pəŋu kə tak	au + p ə ŋ u + k ə + t a k	ten2 five attr one	10 5 99 1	wola1254	au + p ə ŋ u + k ə + t a k		vanDam2026wolam
52	Wolam	fifty two	au pəŋu kə ləmeʔ	au + p ə ŋ u + k ə + l ə m e ʔ	ten2 five attr two2	10 5 99 2	wola1254	au + p ə ŋ u + k ə + l ə m e ʔ		vanDam2026wolam
53	Wolam	fifty three	au pəŋu kə hameʔ	au + p ə ŋ u + k ə + h a m e ʔ	ten2 five attr three2	10 5 99 3	wola1254	au + p ə ŋ u + k ə + h a m e ʔ		vanDam2026wolam
54	Wolam	fifty four	au pəŋu kə pəle	au + p ə ŋ u + k ə + p ə l e	ten2 five attr four	10 5 99 4	wola1254	au + p ə ŋ u + k ə + p ə l e		vanDam2026wolam
55	Wolam	fifty five	au pəŋu kə pəŋu	au + p ə ŋ u + k ə + p ə ŋ u	ten2 five attr five	10 5 99 5	wola1254	au + p ə ŋ u + k ə + p ə ŋ u		vanDam2026wolam
56	Wolam	fifty six	au pəŋu kə ajuk	au + p ə ŋ u + k ə + a j u k	ten2 five attr six	10 5 99 6	wola1254	au + p ə ŋ u + k ə + a j u k		vanDam2026wolam
57	Wolam	fifty seven	au pəŋu kə tʃiɲat	au + p ə ŋ u + k ə + tʃ i ɲ a t	ten2 five attr seven	10 5 99 7	wola1254	au + p ə ŋ u + k ə + tʃ i ɲ a t		vanDam2026wolam
58	Wolam	fifty eight	au pəŋu kə pəti	au + p ə ŋ u + k ə + p ə t i	ten2 five attr eight	10 5 99 8	wola1254	au + p ə ŋ u + k ə + p ə t i		vanDam2026wolam
59	Wolam	fifty nine	au pəŋu kə ləkau	au + p ə ŋ u + k ə + l ə k au	ten2 five attr nine	10 5 99 9	wola1254	au + p ə ŋ u + k ə + l ə k au		vanDam2026wolam
60	Wolam	sixty	au ajuk	au + a j u k	ten2 six 	10 6 	wola1254	au + a j u k		vanDam2026wolam
61	Wolam	sixty one	au ajuk kə tak	au + a j u k + k ə + t a k	ten2 six attr one	10 6 99 1	wola1254	au + a j u k + k ə + t a k		vanDam2026wolam
62	Wolam	sixty two	au ajuk kə ləmeʔ	au + a j u k + k ə + l ə m e ʔ	ten2 six attr two2	10 6 99 2	wola1254	au + a j u k + k ə + l ə m e ʔ		vanDam2026wolam
63	Wolam	sixty three	au ajuk kə hameʔ	au + a j u k + k ə + h a m e ʔ	ten2 six attr three2	10 6 99 3	wola1254	au + a j u k + k ə + h a m e ʔ		vanDam2026wolam
64	Wolam	sixty four	au ajuk kə pəle	au + a j u k + k ə + p ə l e	ten2 six attr four	10 6 99 4	wola1254	au + a j u k + k ə + p ə l e		vanDam2026wolam
65	Wolam	sixty five	au ajuk kə pəŋu	au + a j u k + k ə + p ə ŋ u	ten2 six attr five	10 6 99 5	wola1254	au + a j u k + k ə + p ə ŋ u		vanDam2026wolam
66	Wolam	sixty six	au ajuk kə ajuk	au + a j u k + k ə + a j u k	ten2 six attr six	10 6 99 6	wola1254	au + a j u k + k ə + a j u k		vanDam2026wolam
67	Wolam	sixty seven	au ajuk kə tʃiɲat	au + a j u k + k ə + tʃ i ɲ a t	ten2 six attr seven	10 6 99 7	wola1254	au + a j u k + k ə + tʃ i ɲ a t		vanDam2026wolam
68	Wolam	sixty eight	au ajuk kə pəti	au + a j u k + k ə + p ə t i	ten2 six attr eight	10 6 99 8	wola1254	au + a j u k + k ə + p ə t i		vanDam2026wolam
69	Wolam	sixty nine	au ajuk kə ləkau	au + a j u k + k ə + l ə k au	ten2 six attr nine	10 6 99 9	wola1254	au + a j u k + k ə + l ə k au		vanDam2026wolam
70	Wolam	seventy	au tʃiɲat	au + tʃ i ɲ a t	ten2 seven 	10 7 	wola1254	au + tʃ i ɲ a t		vanDam2026wolam
71	Wolam	seventy one	au tʃiɲat kə tak	au + tʃ i ɲ a t + k ə + t a k	ten2 seven attr one	10 7 99 1	wola1254	au + tʃ i ɲ a t + k ə + t a k		vanDam2026wolam
72	Wolam	seventy two	au tʃiɲat kə ləmeʔ	au + tʃ i ɲ a t + k ə + l ə m e ʔ	ten2 seven attr two2	10 7 99 2	wola1254	au + tʃ i ɲ a t + k ə + l ə m e ʔ		vanDam2026wolam
73	Wolam	seventy three	au tʃiɲat kə hameʔ	au + tʃ i ɲ a t + k ə + h a m e ʔ	ten2 seven attr three2	10 7 99 3	wola1254	au + tʃ i ɲ a t + k ə + h a m e ʔ		vanDam2026wolam
74	Wolam	seventy four	au tʃiɲat kə pəle	au + tʃ i ɲ a t + k ə + p ə l e	ten2 seven attr four	10 7 99 4	wola1254	au + tʃ i ɲ a t + k ə + p ə l e		vanDam2026wolam
75	Wolam	seventy five	au tʃiɲat kə pəŋu	au + tʃ i ɲ a t + k ə + p ə ŋ u	ten2 seven attr five	10 7 99 5	wola1254	au + tʃ i ɲ a t + k ə + p ə ŋ u		vanDam2026wolam
