ID	DOCULECT	CONCEPT	NUMBER	DEVANAGARI_NUMBER	VALUE_	FORM	ORDINAL_NUMBER	TOKENS	MORPHEMES	COGIDS	ALIGNMENT	SOURCE
104	Sanskrit	eighty one	81	८१	एकाशीति	ekāśīti		e k aː/a - + a ʂ -/ʈ iː/a + -/ʃ -/a t i	one eight ty	1 8 11	e k aː/a - + a ʂ -/ʈ iː/a + -/ʃ -/a t i	deshpande1997samskrta
105	Sanskrit	eighty two	82	८२	द्व्यशीति	dvyaśīti		d v y/i + a ʂ -/ʈ iː/a + -/ʃ -/a t i	two eight ty	2 8 11	d v y/i + a ʂ -/ʈ iː/a + -/ʃ -/a t i	deshpande1997samskrta
106	Sanskrit	eighty three	83	८३	त्र्यशीति	tryaśīti		t r a/- j/i a/- + a ʂ -/ʈ iː/a + -/ʃ -/a t i	three eight ty	3 8 11	t r a/- j/i a/- + a ʂ -/ʈ iː/a + -/ʃ -/a t i	deshpande1997samskrta
107	Sanskrit	eighty four	84	८४	चतुरशीति	caturaśīti		tʃ a t u r + a ʂ -/ʈ iː/a + -/ʃ -/a t i	four eight ty	4 8 11	tʃ a t u r/- + a ʂ -/ʈ iː/a + -/ʃ -/a t i	deshpande1997samskrta
108	Sanskrit	eighty five	85	८५	पञ्चाशीति	pañcāśīti		p a ɲ tʃ aː/a + a ʂ -/ʈ iː/a + -/ʃ -/a t i	five eight ty	5 8 11	p a ɲ tʃ aː/a + a ʂ -/ʈ iː/a + -/ʃ -/a t i	deshpande1997samskrta
109	Sanskrit	eighty six	86	८६	षड्अशीति	ṣaṭaśīti		ʂ a ʈ/ʂ + a ʂ -/ʈ iː/a + -/ʃ -/a t i	six eight ty	6 8 11	ʂ a ʈ/ʂ + a ʂ -/ʈ iː/a + -/ʃ -/a t i	deshpande1997samskrta
110	Sanskrit	eighty seven	87	८७	सप्ताशीति	saptāśīti		s a p t a + a ʂ -/ʈ iː/a + -/ʃ -/a t i	seven eight ty	7 8 11	s a p t a + a ʂ -/ʈ iː/a + -/ʃ -/a t i	deshpande1997samskrta
111	Sanskrit	eighty eight	88	८८	अष्टाशीति	aṣṭāśīti		a ʂ ʈ aː/a + a ʂ -/ʈ iː/a + -/ʃ -/a t i	eight eight ty	8 8 11	a ʂ ʈ aː/a + a ʂ -/ʈ iː/a + -/ʃ -/a t i	deshpande1997samskrta
112	Sanskrit	eighty nine	89	८९	नवाशीति	navāśīti		n a v -/a + a ʂ -/ʈ iː/a + -/ʃ -/a t i	nine eight ty	9 8 11	n a v -/a + a ʂ -/ʈ iː/a + -/ʃ -/a t i	deshpande1997samskrta
113	Sanskrit	eighty nine	89	८९	एकोननवति	ekonanavati		e k o/a + n a + n a v a + -/ʃ -/a t i	one on nine ty	1 12 9 11	e k aː/o n/- + n a + n a v a + -/ʃ -/a t i	deshpande1997samskrta
114	Sanskrit	eighty nine	89	८९	ऊननवति	ūnanavati		uː + n a + n a v a + -/ʃ -/a t i	? on nine ty	13 12 9 11	uː + n a + n a v a + -/ʃ -/a t i	deshpande1997samskrta
115	Sanskrit	eighty nine	89	८९	एकान्ननवति	ekānnanavati		e k aː/a n/- + n a + n a v a + -/ʃ -/a t i	one on nine ty	1 12 9 11	tʃ a t u + tʃ a t v/u aː/- r ĩ/- + ʃ a t i	deshpande1997samskrta
116	Sanskrit	ninety	90	९०	नवति	navati		n a v a + -/ʃ -/a t i	nine ty	9 11	n a v a + -/ʃ -/a t i	deshpande1997samskrta
117	Sanskrit	ninety one	91	९१	एकनवति	ekanavati		e k a n/- + n a v a + -/ʃ -/a t i	one nine ty	1 9 11	e k a - + n a v a + -/ʃ -/a t i	deshpande1997samskrta
118	Sanskrit	ninety two	92	९२	द्वानवति	dvānavati		d v aː/i + n a v a + -/ʃ -/a t i	two nine ty	2 9 11	d v aː/i + n a v a + -/ʃ -/a t i	deshpande1997samskrta
119	Sanskrit	ninety three	93	९३	त्रयोनवति	trayonavati		t r a/- j/i o/- + n a v a + -/ʃ -/a t i	three nine ty	3 9 11	t r a/- j/i o/- + n a v a + -/ʃ -/a t i	deshpande1997samskrta
120	Sanskrit	ninety four	94	९४	चतुर्नवति	caturnavati		tʃ a t u r + n a v a + -/ʃ -/a t i	four nine ty	4 9 11	tʃ a t u r/- + n a v a + -/ʃ -/a t i	deshpande1997samskrta
121	Sanskrit	ninety five	95	९५	पञ्चनवति	pañcanavati		p a ɲ tʃ a + n a v a + -/ʃ -/a t i	five nine ty	5 9 11	p a ɲ tʃ a + n a v a + -/ʃ -/a t i	deshpande1997samskrta
122	Sanskrit	ninety six	96	९६	षड्नवति	ṣaṭnavati		ʂ a ʈ/ʂ + n a v a + -/ʃ -/a t i	six nine ty	6 9 11	ʂ a ʈ/ʂ + n a v a + -/ʃ -/a t i	deshpande1997samskrta
123	Sanskrit	ninety seven	97	९७	सप्तनवति	saptanavati		s a p t a + n a v a + -/ʃ -/a t i	seven nine ty	7 9 11	s a p t a + n a v a + -/ʃ -/a t i	deshpande1997samskrta
124	Sanskrit	ninety eight	98	९८	अष्टानवति	aṣṭānavati		a ʂ ʈ aː/a + n a v a + -/ʃ -/a t i	eight nine ty	8 9 11	a ʂ ʈ aː/a + n a v a + -/ʃ -/a t i	deshpande1997samskrta
125	Sanskrit	ninety nine	99	९९	नवनवति	navanavati		n a v a + n a v a + -/ʃ -/a t i	nine nine ty	9 9 11	n a v a + n a v a + -/ʃ -/a t i	deshpande1997samskrta
126	Sanskrit	ninety nine	99	९९	एकोनशत	ekonaśata		e k o/a + n -/a + ʃ a t a	one on hundred	1 12 14	e k aː/o + n -/a + ʃ a t a	deshpande1997samskrta
127	Sanskrit	ninety nine	99	९९	ऊनशत	ūnaśata		uː + n a + ʃ a t a	? on hundred	13 12 14	uː + n a + ʃ a t a	deshpande1997samskrta
128	Sanskrit	ninety nine	99	९९	एकान्नशत	ekānnaśata		e k aː/a n/- + n -/a + ʃ a t a	one on hundred	1 12 14	e k aː/a n/- + n -/a + ʃ a t a	deshpande1997samskrta
