ID	DOCULECT	CONCEPT	NUMBER	DEVANAGARI_NUMBER	VALUE_	FORM	ORDINAL_NUMBER	TOKENS	MORPHEMES	COGIDS	ALIGNMENT	SOURCE
11	Sanskrit	twelve	12	१२	द्वादश	dvādaśa	द्वादश (dvādaśa)	d v aː/i + d a ʃ a	two ten	2 10	d v aː/i + d a ʃ a	Stenzler1915
12	Sanskrit	thirty two	32	३२	द्वात्रिंशत्	dvātriṁśat	द्वात्रिंश (dvātriṁśa)	d v aː/i + t r ĩ/i + ʃ a t -/i	two three ty	2 3 11	d v aː/i + t r ĩ/i + ʃ a t -/i	Stenzler1915
13	Sanskrit	twenty two	22	२२	द्वाविंशति	dvāviṁśati	द्वाविंश (dvāviṁśa)	d v aː/i + -/d v ĩ/i + ʃ a t i	two two ty	2 2 11	d v aː/i + -/d v ĩ/i + ʃ a t i	Stenzler1915
14	Sanskrit	two	2	२	द्वि	dvi	द्वितीय (dvitīya)	d v i	two	2	d v i	Stenzler1915
15	Sanskrit	one	1	१	एक	eka	प्रथम (prathama) अग्रिम (agrima) आदिम (ādima)	e k a	one	1	e k a	Stenzler1915
16	Sanskrit	eleven	11	११	एकादश	ekādaśa	एकादश (ekādaśa)	e k a + d a ʃ a	one ten	1 10	e k a + d a ʃ a	Stenzler1915
17	Sanskrit	thirty nine	39	३९	एकान्नचत्वारिंशत्	ekānnacatvāriṁśat	नवत्रिंश (navatriṁśa)	e k aː/a n/- + n a + tʃ a t v/u aː/- r ĩ/- + ʃ a t -/i	one on four ty	1 12 4 11	e k aː/a n/- + n a + tʃ a t v/u aː/- r ĩ/- + ʃ a t -/i	Stenzler1915
22	Sanskrit	thirty nine	39	३९	एकोनचत्वारिंशत्	ekonacatvāriṁśat		e k o/a + n a + tʃ a t v/u aː/- r ĩ/- + ʃ a t -/i	one on four ty	1 12 4 11	e k o/a + n a + tʃ a t v/u aː/- r ĩ/- + ʃ a t -/i	Stenzler1915
27	Sanskrit	thirty nine	39	३९	नवत्रिंशत्	navatriṁśat		n a v a + t r ĩ/i + ʃ a t -/i	nine three ty	9 3 11	n a v a + t r ĩ/i + ʃ a t -/i	Stenzler1915
47	Sanskrit	thirty nine	39	३९	ऊनचत्वारिंशत्	ūnacatvāriṁśat		uː + n a + tʃ a t v/u aː/- r ĩ/- + ʃ a t -/i	? on four ty	13 12 4 11	uː + n a + tʃ a t v/u aː/- r ĩ/- + ʃ a t -/i	Stenzler1915
18	Sanskrit	twenty nine	29	२९	एकान्नत्रिंशत्	ekānnatriṁśat	नवविंश (navaviṁśa)	e k aː/a n/- + n a + t r ĩ/i + ʃ a t -/i	one on three ty	1 12 3 11	e k aː/a n/- + n a + t r ĩ/i + ʃ a t -/i	Stenzler1915
23	Sanskrit	twenty nine	29	२९	एकोनत्रिंशत्	ekonatriṁśat		e k o/a + n a + t r ĩ/i + ʃ a t -/i	one on three ty	1 12 3 11	e k o/a + n a + t r ĩ/i + ʃ a t -/i	Stenzler1915
28	Sanskrit	twenty nine	29	२९	नवविंशति	navaviṁśati		n a v a + -/d v ĩ/i + ʃ a t i	nine two ty	9 2 11	n a v a + -/d v ĩ/i + ʃ a t i	Stenzler1915
48	Sanskrit	twenty nine	29	२९	ऊनत्रिंशत्	ūnatriṁśat		uː + n a + t r ĩ/i + ʃ a t -/i	? on three ty	13 12 3 11	uː + n a + t r ĩ/i + ʃ a t -/i	Stenzler1915
19	Sanskrit	nineteen	19	१९	एकान्नविंशति	ekānnaviṁśati	नवदश (navadaśa)	e k aː/a n/- + n a + -/d v ĩ/i + ʃ a t i	one on two ty	1 12 2 11	e k aː/a n/- + n a + -/d v ĩ/i + ʃ a t i	Stenzler1915
24	Sanskrit	nineteen	19	१९	एकोनविंशति	ekonaviṁśati		e k o/a + n a + -/d v ĩ/i + ʃ a t i	one on two ty	1 12 2 11	e k o/a + n a + -/d v ĩ/i + ʃ a t i	Stenzler1915
26	Sanskrit	nineteen	19	१९	नवदश	navadaśa		n a v a + d a ʃ a	nine ten	9 10	n a v a + d a ʃ a	Stenzler1915
49	Sanskrit	nineteen	19	१९	ऊनविंशति	ūnaviṁśati		uː + n a + -/d v ĩ/i + ʃ a t i	? on two ty	13 12 2 11	uː + n a + -/d v ĩ/i + ʃ a t i	Stenzler1915
20	Sanskrit	thirty one	31	३१	एकत्रिंशत्	ekatriṁśat	एकत्रिंश (ekatriṁśa)	e k aː/a n/- + t r ĩ/i + ʃ a t -/i	one three ty	1 3 11	e k aː/a n/- + t r ĩ/i + ʃ a t -/i	Stenzler1915
21	Sanskrit	twenty one	21	२१	एकविंशति	ekaviṁśati	एकविंश (ekaviṁśa)	e k aː/a n/- + -/d v ĩ/i + ʃ a t i	one two ty	1 2 11	e k aː/a n/- + -/d v ĩ/i + ʃ a t i	Stenzler1915
25	Sanskrit	nine	9	९	नव	nava	नवम (navama)	n a v a	nine	9	n a v a	Stenzler1915
29	Sanskrit	fifteen	15	१५	पञ्चदश	pañcadaśa	पञ्चदश (pañcadaśa)	p a ɲ tʃ a + d a ʃ a	five ten	5 10	p a ɲ tʃ a + d a ʃ a	Stenzler1915
30	Sanskrit	five	5	५	पञ्चन्	pañcan	पञ्चम (pañcama)	p a ɲ tʃ a n/-	five	5	p a ɲ tʃ a n/-	Stenzler1915
