ID	DOCULECT	CONCEPT	FORM	TOKENS	MORPHEMES	ALIGNMENT	COGIDS	NOTE	SOURCE
1	Tommo_So	one	tíí	t í í	one	t í í	1		McPherson2013
2	Tommo_So	two	néé	n é é	two	n é é	11		McPherson2013
3	Tommo_So	three	tààndú	t à à n d ú/ù	three	t à à n d ú	2		McPherson2013
4	Tommo_So	four	nǎy	n ǎ j	four	n ǎ j	3		McPherson2013
5	Tommo_So	five	ǹnɔ́	ǹ n ɔ́	five	ǹ n ɔ́	7		McPherson2013
6	Tommo_So	six	kúlóy	k ú l ó j	six	k ú l ó j	8		McPherson2013
7	Tommo_So	seven	sɔ́y	s ɔ́ j	seven	s ɔ́ j	6		McPherson2013
8	Tommo_So	eight	gágìrà	g á g ì r à	eight	g á g ì r à	5		McPherson2013
9	Tommo_So	nine	túwwɔ́	t ú w w ɔ́	nine	t ú w w ɔ́	10		McPherson2013
10	Tommo_So	ten	pɛ́lu	p ɛ̀/ɛ́ l ù/u	ten	p ɛ́ l u	9		McPherson2013
11	Tommo_So	eleven	pɛ́lu-go túru-go sígɛ́	p ɛ̀/ɛ́ l ù/u + g o + t ú r u + g o + s í g ɛ́	ten adv one2 adv more	p ɛ́ l u + g o + t ú r u + g o + s í g ɛ́	9 12 1 12 4	go = ADV, sígɛ́ = MORE	McPherson2013
12	Tommo_So	twelve	pɛ́lu-go néé-go sígɛ́	p ɛ̀/ɛ́ l ù/u + g o + n é é + g o + s í g ɛ́	ten adv two adv more	p ɛ́ l u + g o + n é é + g o + s í g ɛ́	9 12 11 12 4		McPherson2013
13	Tommo_So	thirteen	pɛ́lu-go tààndú-go sígɛ́	p ɛ̀/ɛ́ l ù/u + g o + t à à n d ú/ù + g o + s í g ɛ́	ten adv three adv more	p ɛ́ l u + g o + t à à n d ú + g o + s í g ɛ́	9 12 2 12 4		McPherson2013
14	Tommo_So	fourteen	pɛ́lu-go nǎy-go sígɛ́	p ɛ̀/ɛ́ l ù/u + g o + n ǎ j + g o + s í g ɛ́	ten adv four adv more	p ɛ́ l u + g o + n ǎ j + g o + s í g ɛ́	9 12 3 12 4		McPherson2013
15	Tommo_So	fifteen	pɛ́lu-go ǹnɔ́-go sígɛ́	p ɛ̀/ɛ́ l ù/u + g o + ǹ n ɔ́ + g o + s í g ɛ́	ten adv five adv more	p ɛ́ l u + g o + ǹ n ɔ́ + g o + s í g ɛ́	9 12 7 12 4		McPherson2013
16	Tommo_So	sixteen	pɛ́lu-go kúlóy-go sígɛ́	p ɛ̀/ɛ́ l ù/u + g o + k ú l ó j + g o + s í g ɛ́	ten adv six adv more	p ɛ́ l u + g o + k ú l ó j + g o + s í g ɛ́	9 12 8 12 4		McPherson2013
17	Tommo_So	seventeen	pɛ́lu-go sɔ́y-go sígɛ́	p ɛ̀/ɛ́ l ù/u + g o + s ɔ́ j + g o + s í g ɛ́	ten adv seven adv more	p ɛ́ l u + g o + s ɔ́ j + g o + s í g ɛ́	9 12 6 12 4		McPherson2013
18	Tommo_So	eighteen	pɛ́lu-go gágìrà-go sígɛ́	p ɛ̀/ɛ́ l ù/u + g o + g á g ì r à + g o + s í g ɛ́	ten adv eight adv more	p ɛ́ l u + g o + g á g ì r à + g o + s í g ɛ́	9 12 5 12 4		McPherson2013
19	Tommo_So	nineteen	pɛ́lu-go túwwɔ́-go sígɛ́	p ɛ̀/ɛ́ l ù/u + g o + t ú w w ɔ́ + g o + s í g ɛ́	ten adv nine adv more	p ɛ́ l u + g o + t ú w w ɔ́ + g o + s í g ɛ́	9 12 10 12 4		McPherson2013
20	Tommo_So	twenty	pɛ̀ɛ̀-néé	p ɛ̀/ɛ́ -/ɛ̀ + n é é	ten2 two	p ɛ̀ ɛ̀ + n é é	9 11		McPherson2013
21	Tommo_So	twenty one	pɛ̀ɛ̀-néé túru-go sígɛ́	p ɛ̀/ɛ́ -/ɛ̀ + n é é + t ú r u + g o + s í g ɛ́	ten2 two one2 adv more	p ɛ̀ ɛ̀ + n é é + t ú r u + g o + s í g ɛ́	9 11 1 12 4		McPherson2013
22	Tommo_So	twenty two	pɛ̀ɛ̀-néé néé(-go) sígɛ́	p ɛ̀/ɛ́ -/ɛ̀ + n é é + n é é + g o + s í g ɛ́	ten2 two two adv more	p ɛ̀ ɛ̀ + n é é + n é é + g o + s í g ɛ́	9 11 11 12 4		McPherson2013
23	Tommo_So	twenty three	pɛ̀ɛ̀-néé tààndú(-go) sígɛ́	p ɛ̀/ɛ́ -/ɛ̀ + n é é + t à à n d ú/ù + g o + s í g ɛ́	ten2 two three adv more	p ɛ̀ ɛ̀ + n é é + t à à n d ú + g o + s í g ɛ́	9 11 2 12 4		McPherson2013
24	Tommo_So	twenty four	pɛ̀ɛ̀-néé nǎy(-go) sígɛ́	p ɛ̀/ɛ́ -/ɛ̀ + n é é + n ǎ j + g o + s í g ɛ́	ten2 two four adv more	p ɛ̀ ɛ̀ + n é é + n ǎ j + g o + s í g ɛ́	9 11 3 12 4		McPherson2013
25	Tommo_So	twenty five	pɛ̀ɛ̀-néé ǹnɔ́(-go) sígɛ́	p ɛ̀/ɛ́ -/ɛ̀ + n é é + ǹ n ɔ́ + g o + s í g ɛ́	ten2 two five adv more	p ɛ̀ ɛ̀ + n é é + ǹ n ɔ́ + g o + s í g ɛ́	9 11 7 12 4		McPherson2013
26	Tommo_So	twenty six	pɛ̀ɛ̀-néé kúlóy(-go) sígɛ́	p ɛ̀/ɛ́ -/ɛ̀ + n é é + k ú l ó j + g o + s í g ɛ́	ten2 two six adv more	p ɛ̀ ɛ̀ + n é é + k ú l ó j + g o + s í g ɛ́	9 11 8 12 4		McPherson2013
27	Tommo_So	twenty seven	pɛ̀ɛ̀-néé sɔ́y(-go) sígɛ́	p ɛ̀/ɛ́ -/ɛ̀ + n é é + s ɔ́ j + g o + s í g ɛ́	ten2 two seven adv more	p ɛ̀ ɛ̀ + n é é + s ɔ́ j + g o + s í g ɛ́	9 11 6 12 4		McPherson2013
28	Tommo_So	twenty eight	pɛ̀ɛ̀-néé gágìrà(-go) sígɛ́	p ɛ̀/ɛ́ -/ɛ̀ + n é é + g á g ì r à + g o + s í g ɛ́	ten2 two eight adv more	p ɛ̀ ɛ̀ + n é é + g á g ì r à + g o + s í g ɛ́	9 11 5 12 4		McPherson2013
