ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	MORPHEMES	ALIGNMENT	COGIDS	NOTE	SOURCE
1	Sebat_Bet_Gurage	one	at	at	a t	one	a t	1		Voellmin2017Gumer
2	Sebat_Bet_Gurage	two	xʷet	xʷet	xʷ e t	two	xʷ e t	2		Voellmin2017Gumer
3	Sebat_Bet_Gurage	three	sost	sost	s o s t	three	s o s t	3		Voellmin2017Gumer
4	Sebat_Bet_Gurage	four	arβət	arβət	a r β ə t	four	a r β ə t	4		Voellmin2017Gumer
5	Sebat_Bet_Gurage	five	ammɨst	ammɨst	a mː ɨ s t	five	a mː ɨ s t	5		Voellmin2017Gumer
6	Sebat_Bet_Gurage	six	sɨddɨst	sɨddɨst	s ɨ dː ɨ s t	six	s ɨ dː ɨ s t	6		Voellmin2017Gumer
7	Sebat_Bet_Gurage	seven	səβat	səβat	s ə β a t	seven	s ə β a t	7		Voellmin2017Gumer
8	Sebat_Bet_Gurage	eight	sɨmʷɨt	sɨmʷɨt	s ɨ mʷ ɨ t	eight	s ɨ mʷ ɨ t	8		Voellmin2017Gumer
9	Sebat_Bet_Gurage	nine	ʒətʼə	ʒətʼə	ʒ ə tʼ ə	nine	ʒ ə tʼ ə	9		Voellmin2017Gumer
10	Sebat_Bet_Gurage	ten	assɨr	assɨr	a sː ɨ r	ten	a sː ɨ r	10		Voellmin2017Gumer
11	Sebat_Bet_Gurage	eleven	asrat	asrat	a s/sː -/ɨ r + a t	ten one	a s/sː -/ɨ r + a t	10 1	As Voellmin notes: "The numerals below ten and their corresponding multiples of ten share some similarities, but there is no regular derivative morpheme." Therefore, I mark the units and the tens as separate morphemes	Voellmin2017Gumer
12	Sebat_Bet_Gurage	twelve	asrə xʷet	asrəxʷet	a s/sː -/ɨ r ə/- + xʷ e t	ten two	a s/sː -/ɨ r ə/- + xʷ e t	10 2		Voellmin2017Gumer
13	Sebat_Bet_Gurage	thirteen	asrə sost	asrəsost	a s/sː -/ɨ r ə/- + s o s t	ten three	a s/sː -/ɨ r ə/- + s o s t	10 3		Voellmin2017Gumer
14	Sebat_Bet_Gurage	fourteen	asrarβət	asrarβət	a s/sː -/ɨ r + a r β ə t	ten four	a s/sː -/ɨ r + a r β ə t	10 4		Voellmin2017Gumer
15	Sebat_Bet_Gurage	fifteen	asrammɨst	asrammɨst	a s/sː -/ɨ r + a mː ɨ s t	ten five	a s/sː -/ɨ r + a mː ɨ s t	10 5		Voellmin2017Gumer
16	Sebat_Bet_Gurage	sixteen	asrə sɨddɨst	asrəsɨddɨst	a s/sː -/ɨ r ə/- + s ɨ dː ɨ s t	ten six	a s/sː -/ɨ r ə/- + s ɨ dː ɨ s t	10 6		Voellmin2017Gumer
17	Sebat_Bet_Gurage	seventeen	asrə səβat	asrəsəβat	a s/sː -/ɨ r ə/- + s ə β a t	ten seven	a s/sː -/ɨ r ə/- + s ə β a t	10 7		Voellmin2017Gumer
18	Sebat_Bet_Gurage	eighteen	asrə sɨmʷɨt	asrəsɨmʷɨt	a s/sː -/ɨ r ə/- + s ɨ mʷ ɨ t	ten eight	a s/sː -/ɨ r ə/- + s ɨ mʷ ɨ t	10 8		Voellmin2017Gumer
19	Sebat_Bet_Gurage	nineteen	asrə ʒətʼə	asrəʒətʼə	a s/sː -/ɨ r ə/- + ʒ ə tʼ ə	ten nine	a s/sː -/ɨ r ə/- + ʒ ə tʼ ə	10 9		Voellmin2017Gumer
20	Sebat_Bet_Gurage	twenty	xʷɨya	xʷɨya	xʷ ɨ j + a	twenty ty	xʷ ɨ j + a	20 11	/-a/ corresponds to Ge'ez /-a/ "ty"	Voellmin2017Gumer
21	Sebat_Bet_Gurage	twenty one	xʷɨya at	xʷɨyaat	xʷ ɨ j + a + a t	twenty ty one	xʷ ɨ j + a + a t	20 11 1		Voellmin2017Gumer
22	Sebat_Bet_Gurage	twenty two	xʷɨya xʷet	xʷɨyaxʷet	xʷ ɨ j + a + xʷ e t	twenty ty two	xʷ ɨ j + a + xʷ e t	20 11 2		Voellmin2017Gumer
23	Sebat_Bet_Gurage	twenty three	xʷɨya sost	xʷɨyasost	xʷ ɨ j + a + s o s t	twenty ty three	xʷ ɨ j + a + s o s t	20 11 3		Voellmin2017Gumer
24	Sebat_Bet_Gurage	twenty four	xʷɨya arβət	xʷɨyaarβət	xʷ ɨ j + a + a r β ə t	twenty ty four	xʷ ɨ j + a + a r β ə t	20 11 4		Voellmin2017Gumer
25	Sebat_Bet_Gurage	twenty five	xʷɨya ammɨst	xʷɨyaammɨst	xʷ ɨ j + a + a mː ɨ s t	twenty ty five	xʷ ɨ j + a + a mː ɨ s t	20 11 5		Voellmin2017Gumer
26	Sebat_Bet_Gurage	twenty six	xʷɨya sɨddɨst	xʷɨyasɨddɨst	xʷ ɨ j + a + s ɨ dː ɨ s t	twenty ty six	xʷ ɨ j + a + s ɨ dː ɨ s t	20 11 6		Voellmin2017Gumer
27	Sebat_Bet_Gurage	twenty seven	xʷɨya səβat	xʷɨyasəβat	xʷ ɨ j + a + s ə β a t	twenty ty seven	xʷ ɨ j + a + s ə β a t	20 11 7		Voellmin2017Gumer
28	Sebat_Bet_Gurage	twenty eight	xʷɨya sɨmʷɨt	xʷɨyasɨmʷɨt	xʷ ɨ j + a + s ɨ mʷ ɨ t	twenty ty eight	xʷ ɨ j + a + s ɨ mʷ ɨ t	20 11 8		Voellmin2017Gumer
29	Sebat_Bet_Gurage	twenty nine	xʷɨya ʒətʼə	xʷɨyaʒətʼə	xʷ ɨ j + a + ʒ ə tʼ ə	twenty ty nine	xʷ ɨ j + a + ʒ ə tʼ ə	20 11 9		Voellmin2017Gumer
30	Sebat_Bet_Gurage	thirty	sasa	sasa	s a s + a	thirty ty	s a s + a	30 11		Voellmin2017Gumer
31	Sebat_Bet_Gurage	thirty one	sasa at	sasaat	s a s + a + a t	thirty ty one	s a s + a + a t	30 11 1		Voellmin2017Gumer
32	Sebat_Bet_Gurage	thirty two	sasa xʷet	sasaxʷet	s a s + a + xʷ e t	thirty ty two	s a s + a + xʷ e t	30 11 2		Voellmin2017Gumer
33	Sebat_Bet_Gurage	thirty three	sasa sost	sasasost	s a s + a + s o s t	thirty ty three	s a s + a + s o s t	30 11 3		Voellmin2017Gumer
34	Sebat_Bet_Gurage	thirty four	sasa arβət	sasaarβət	s a s + a + a r β ə t	thirty ty four	s a s + a + a r β ə t	30 11 4		Voellmin2017Gumer
35	Sebat_Bet_Gurage	thirty five	sasa ammɨst	sasaammɨst	s a s + a + a mː ɨ s t	thirty ty five	s a s + a + a mː ɨ s t	30 11 5		Voellmin2017Gumer
36	Sebat_Bet_Gurage	thirty six	sasa sɨddɨst	sasasɨddɨst	s a s + a + s ɨ dː ɨ s t	thirty ty six	s a s + a + s ɨ dː ɨ s t	30 11 6		Voellmin2017Gumer
37	Sebat_Bet_Gurage	thirty seven	sasa səβat	sasasəβat	s a s + a + s ə β a t	thirty ty seven	s a s + a + s ə β a t	30 11 7		Voellmin2017Gumer
38	Sebat_Bet_Gurage	thirty eight	sasa sɨmʷɨt	sasasɨmʷɨt	s a s + a + s ɨ mʷ ɨ t	thirty ty eight	s a s + a + s ɨ mʷ ɨ t	30 11 8		Voellmin2017Gumer
39	Sebat_Bet_Gurage	thirty nine	sasa ʒətʼə	sasaʒətʼə	s a s + a + ʒ ə tʼ ə	thirty ty nine	s a s + a + ʒ ə tʼ ə	30 11 9		Voellmin2017Gumer
40	Sebat_Bet_Gurage	forty	arβa	arβa	a r β + a	forty ty	a r β + a	40 11		Voellmin2017Gumer
41	Sebat_Bet_Gurage	forty one	arβa at	arβaat	a r β + a + a t	forty ty one	a r β + a + a t	40 11 1		Voellmin2017Gumer
42	Sebat_Bet_Gurage	forty two	arβa xʷet	arβaxʷet	a r β + a + xʷ e t	forty ty two	a r β + a + xʷ e t	40 11 2		Voellmin2017Gumer
43	Sebat_Bet_Gurage	forty three	arβa sost	arβasost	a r β + a + s o s t	forty ty three	a r β + a + s o s t	40 11 3		Voellmin2017Gumer
44	Sebat_Bet_Gurage	forty four	arβa arβət	arβaarβət	a r β + a + a r β ə t	forty ty four	a r β + a + a r β ə t	40 11 4		Voellmin2017Gumer
45	Sebat_Bet_Gurage	forty five	arβa ammɨst	arβaammɨst	a r β + a + a mː ɨ s t	forty ty five	a r β + a + a mː ɨ s t	40 11 5		Voellmin2017Gumer
46	Sebat_Bet_Gurage	forty six	arβa sɨddɨst	arβasɨddɨst	a r β + a + s ɨ dː ɨ s t	forty ty six	a r β + a + s ɨ dː ɨ s t	40 11 6		Voellmin2017Gumer
47	Sebat_Bet_Gurage	forty seven	arβa səβat	arβasəβat	a r β + a + s ə β a t	forty ty seven	a r β + a + s ə β a t	40 11 7		Voellmin2017Gumer
48	Sebat_Bet_Gurage	forty eight	arβa sɨmʷɨt	arβasɨmʷɨt	a r β + a + s ɨ mʷ ɨ t	forty ty eight	a r β + a + s ɨ mʷ ɨ t	40 11 8		Voellmin2017Gumer
49	Sebat_Bet_Gurage	forty nine	arβa ʒətʼə	arβaʒətʼə	a r β + a + ʒ ə tʼ ə	forty ty nine	a r β + a + ʒ ə tʼ ə	40 11 9		Voellmin2017Gumer
50	Sebat_Bet_Gurage	fifty	amsa	amsa	a m s + a	fifty ty	a m s + a	50 11		Voellmin2017Gumer
51	Sebat_Bet_Gurage	fifty one	amsa at	amsaat	a m s + a + a t	fifty ty one	a m s + a + a t	50 11 1		Voellmin2017Gumer
52	Sebat_Bet_Gurage	fifty two	amsa xʷet	amsaxʷet	a m s + a + xʷ e t	fifty ty two	a m s + a + xʷ e t	50 11 2		Voellmin2017Gumer
53	Sebat_Bet_Gurage	fifty three	amsa sost	amsasost	a m s + a + s o s t	fifty ty three	a m s + a + s o s t	50 11 3		Voellmin2017Gumer
54	Sebat_Bet_Gurage	fifty four	amsa arβət	amsaarβət	a m s + a + a r β ə t	fifty ty four	a m s + a + a r β ə t	50 11 4		Voellmin2017Gumer
55	Sebat_Bet_Gurage	fifty five	amsa ammɨst	amsaammɨst	a m s + a + a mː ɨ s t	fifty ty five	a m s + a + a mː ɨ s t	50 11 5		Voellmin2017Gumer
56	Sebat_Bet_Gurage	fifty six	amsa sɨddɨst	amsasɨddɨst	a m s + a + s ɨ dː ɨ s t	fifty ty six	a m s + a + s ɨ dː ɨ s t	50 11 6		Voellmin2017Gumer
57	Sebat_Bet_Gurage	fifty seven	amsa səβat	amsasəβat	a m s + a + s ə β a t	fifty ty seven	a m s + a + s ə β a t	50 11 7		Voellmin2017Gumer
58	Sebat_Bet_Gurage	fifty eight	amsa sɨmʷɨt	amsasɨmʷɨt	a m s + a + s ɨ mʷ ɨ t	fifty ty eight	a m s + a + s ɨ mʷ ɨ t	50 11 8		Voellmin2017Gumer
