ID	DOCULECT	CONCEPT	FORM	TOKENS	MORPHEMES	ALIGNMENT	COGIDS	NOTE	SOURCE
1	Uyghur	one	bir	b i r	one	b i r	9		wiktionary
2	Uyghur	two	ʔikki	ʔ i k k i	two	ʔ i k k i	18		wiktionary
3	Uyghur	three	ʔyt͡ʃ	ʔ y t͡ʃ	three	ʔ y t͡ʃ	16		wiktionary
4	Uyghur	four	tøt 	t ø t	four	t ø t	6		wiktionary
5	Uyghur	five	bɛʃ	b ɛ ʃ	five	b ɛ ʃ	4		wiktionary
6	Uyghur	six	ʔɑlt 	ʔ ɑ l t ɛ	six	ʔ ɑ l t ɛ	12		wiktionary
7	Uyghur	seven	jɛttɛ	j ɛ t t ɛ	seven	j ɛ t t ɛ	10		wiktionary
8	Uyghur	eight	sɛkkiz	s ɛ k k i z	eight	s ɛ k k i z	1		wiktionary
9	Uyghur	nine	toqquz	t o q q u z	nine	t o q q u z	7		wiktionary
10	Uyghur	ten	ʔon	ʔ o n	ten	ʔ o n	14		wiktionary
11	Uyghur	eleven	ʔon bir	ʔ o n + b i r	ten one	ʔ o n + b i r	14 9		wiktionary
12	Uyghur	twelve	ʔon ʔikki	ʔ o n + ʔ i k k i	ten two	ʔ o n + ʔ i k k i	14 18		wiktionary
13	Uyghur	thirteen	ʔon ʔyt͡ʃ	ʔ o n + ʔ y t͡ʃ	ten three	ʔ o n + ʔ y t͡ʃ	14 16		wiktionary
14	Uyghur	fourteen	ʔon tøt	ʔ o n + t ø t	ten four	ʔ o n + t ø t	14 6		wiktionary
15	Uyghur	fifteen	ʔon bɛʃ	ʔ o n + b ɛ ʃ	ten five	ʔ o n + b ɛ ʃ	14 4		wiktionary
16	Uyghur	sixteen	ʔon ʔɑltɛ	ʔ o n + ʔ ɑ l t ɛ	ten six	ʔ o n + ʔ ɑ l t ɛ	14 12		wiktionary
17	Uyghur	seventeen	ʔon jɛttɛ	ʔ o n + j ɛ t t ɛ	ten seven	ʔ o n + j ɛ t t ɛ	14 10		wiktionary
18	Uyghur	eighteen	ʔon sɛkkiz	ʔ o n + s ɛ k k i z	ten eight	ʔ o n + s ɛ k k i z	14 1		wiktionary
19	Uyghur	nineteen	ʔon toqquz	ʔ o n + t o q q u z	ten nine	ʔ o n + t o q q u z	14 7		wiktionary
20	Uyghur	twenty	jiɡirmɛ 	j i ɡ i r m ɛ	twenty	j i ɡ i r m ɛ	17		wiktionary
21	Uyghur	twenty one	jiɡirmɛ bir	j i ɡ i r m ɛ + b i r	twenty one	j i ɡ i r m ɛ + b i r	17 9		wiktionary
22	Uyghur	twenty two	jiɡirmɛ ʔikki	j i ɡ i r m ɛ + ʔ i k k i	twenty two	j i ɡ i r m ɛ + ʔ i k k i	17 18		wiktionary
23	Uyghur	twenty three	jiɡirmɛ ʔyt͡ʃ	j i ɡ i r m ɛ + ʔ y t͡ʃ	twenty three	j i ɡ i r m ɛ + ʔ y t͡ʃ	17 16		wiktionary
