ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	COGIDS	MORPHEMES	SOURCE	NOTES
1	Cavinena	one	peadya	peaɟa	p e a ɟ a	4	one	Cavineña1[492] Cavineña2 Cavineña4	Only the numerals for ‘one’ and ‘two’ are originally from Cavineña. The remaining numerals, from ‘three’ to ‘ten’, have been borrowed from Aymara. (Cavineña1[492])
2	Cavinena	two	beta	beta	b e t a	1	two	Cavineña1[492] Cavineña2 Cavineña4	
3	Cavinena	three	kimisha	kimiɕa	k i m i ɕ a	8	three	Cavineña1[492] Cavineña2 Cavineña4	
4	Cavinena	four	pushi	pʊɕi	p ʊ ɕ i	11	four	Cavineña1[492] Cavineña2 Cavineña4	
5	Cavinena	five	pishika	piɕika	p i ɕ i k a	10	five	Cavineña1[492] Cavineña2 Cavineña4	
6	Cavinena	six	shukuta	ɕʊkʊta	ɕ ʊ k ʊ t a	2	six	Cavineña1[492] Cavineña2 Cavineña4	
7	Cavinena	seven	pakaruku	pakarʊkʊ	p a k a r ʊ k ʊ	3	seven	Cavineña1[492] Cavineña2 Cavineña4	pa stems from Aymara paja 'two' > pa
8	Cavinena	eight	kimisakaruku	kimisakarʊkʊ	k i m i s a k a r ʊ k ʊ	15	eight	Cavineña1[492] Cavineña2 Cavineña4	karʊkʊ stems from Aymara qaʎqu, a bound morpheme meaning 'five'
9	Cavinena	nine	puskuruku	pʊskʊrʊkʊ	p ʊ s k ʊ r ʊ k ʊ	14	nine	Cavineña1[492] Cavineña2 Cavineña4	
10	Cavinena	ten	tunka	tʊŋka	t ʊ ŋ k a	12	ten	Cavineña1[492] Cavineña2 Cavineña4	
11	Cavinena	eleven	peadya tunka peadya earakana	peaɟa tʊŋka peaɟa earakana	p e a ɟ a + t ʊ ŋ k a + p e a ɟ a + e a r a k a n a	4 12 4 6	one ten one unit	Cavineña1[496] Cavineña2 Cavineña4	As pointed out by Cavineña1[496] the translation of earakana as 'unit' is tentative
