ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	MORPHEMES	ALIGNMENT	COGIDS	NOTE	SOURCE
1	clas1252	one	ܚܕ	ħað	ħ a ð/d	one	ħ a ð/d	1		Noeldeke1904SyriacGrammar;Robinson2013SyriacGrammar
2	clas1252	one	ܚܕܐ	ħðaː	ħ -/a ð/d + aː	one suff_gender1	ħ -/a ð/d + aː	1 11	In Semitic, there is polarity of gender after the numerals one and two. Because of that, I won't gloss the morphemes as fem. and masc. but rather as suff_gender1, suff_gender2, etc. The suffix /-aː/ (suff_gender1) marks the feminine in 1, and the masculine in the other numbers. /-t/ (suff_gender2) marks the feminine in 2 and the masculine in the other numbers. /-e/ (suff_gender3) marks the feminine in 13-19	Noeldeke1904SyriacGrammar;Robinson2013SyriacGrammar
3	clas1252	two	ܬܪܝܢ	tren	t r + e n	two dual	t r + e n	2 12	dual is not productive anymore in Syriac, but still found in the numeral 2	Noeldeke1904SyriacGrammar;Robinson2013SyriacGrammar
4	clas1252	two	ܬܪܬܝܢ	tarten	t a/- r + t + e n	two suff_gender2 dual	t a/- r + t + e n	2 13 12		Noeldeke1904SyriacGrammar;Robinson2013SyriacGrammar
5	clas1252	three	ܬܠܬ݂ܐ	tlaːθaː	t l aː θ/t + aː	three suff_gender1	t l aː θ/t + aː	3 11		Noeldeke1904SyriacGrammar;Robinson2013SyriacGrammar
6	clas1252	three	ܬܠܬ݂	tlaːθ	t l aː θ/t	three	t l aː θ/t	3		Noeldeke1904SyriacGrammar;Robinson2013SyriacGrammar
7	clas1252	four	ܐܪܒܥܐ	ʔarbʕaː	ʔ a r b -/a ʕ + aː	four suff_gender1	ʔ a r b -/a ʕ + aː	4 11		Noeldeke1904SyriacGrammar;Robinson2013SyriacGrammar
8	clas1252	four	ܐܪܒܥ	ʔarbaʕ	ʔ a r b a ʕ	four	ʔ a r b a ʕ	4		Noeldeke1904SyriacGrammar;Robinson2013SyriacGrammar
9	clas1252	five	ܚܡܫܐ	ħamʃaː	ħ a m -/e ʃ + aː	five suff_gender1	ħ a m -/e ʃ + aː	5 11		Noeldeke1904SyriacGrammar;Robinson2013SyriacGrammar
10	clas1252	five	ܚܡܫ	ħameʃ	ħ a m e ʃ	five	ħ a m e ʃ	5		Noeldeke1904SyriacGrammar;Robinson2013SyriacGrammar
11	clas1252	six	ܫܬܐ	ʃtaː	ʃ -/e t + aː	six suff_gender1	ʃ -/e t + aː	6 11		Noeldeke1904SyriacGrammar;Robinson2013SyriacGrammar
12	clas1252	six	ܐܫܬܐ	ʔeʃtaː	ʔ/- e/- ʃ -/e t + aː	six suff_gender1	ʔ/- e/- ʃ -/e t + aː	6 11		Noeldeke1904SyriacGrammar;Robinson2013SyriacGrammar
13	clas1252	six	ܫܬ	ʃeθ	ʃ e θ/t	six	ʃ e θ/t	6		Noeldeke1904SyriacGrammar;Robinson2013SyriacGrammar
14	clas1252	seven	ܫܒܥܐ	ʃavʕaː	ʃ a/- v/b -/a ʕ + aː	seven suff_gender1	ʃ a/- v/b -/a ʕ + aː	7 11		Noeldeke1904SyriacGrammar;Robinson2013SyriacGrammar
15	clas1252	seven	ܫܒܥ	ʃvaʕ	ʃ v/b a ʕ	seven	ʃ v/b a ʕ	7		Noeldeke1904SyriacGrammar;Robinson2013SyriacGrammar
16	clas1252	eight	ܬܡܢܝܐ	tmaːnjaː	t m aː n -/e j/- + aː	eight suff_gender1	t m aː n -/e j/- + aː	8 11		Noeldeke1904SyriacGrammar;Robinson2013SyriacGrammar
17	clas1252	eight	ܬܡܢܐ	tmaːne	t m aː n e	eight	t m aː n e	8		Noeldeke1904SyriacGrammar;Robinson2013SyriacGrammar
