ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	MORPHEMES	COGIDS	NOTE	SOURCE
1	Hungarian	one	egy	ɛɟː	ɛ ɟː	one	1		Hungarian2009Rounds
2	Hungarian	two	kettő	kɛtːøː	k ɛ tː øː	two	2		Hungarian2009Rounds
3	Hungarian	three	három	haːrom	h aː r o m	three	3		Hungarian2009Rounds
4	Hungarian	four	négy	neːɟ	n eː ɟ	four	4		Hungarian2009Rounds
5	Hungarian	five	öt	øt	ø t	five	5		Hungarian2009Rounds
6	Hungarian	six	hat	hɒt	h ɒ t	six	6		Hungarian2009Rounds
7	Hungarian	seven	hét	heːt	h eː t	seven	7		Hungarian2009Rounds
8	Hungarian	eight	nyolc	ɲolts	ɲ o l ts	eight	8		Hungarian2009Rounds
9	Hungarian	nine	kilenc	kilɛnts	k i l ɛ n ts	nine	9		Hungarian2009Rounds
10	Hungarian	ten	tíz	tiːz	t iː z	ten	10		Hungarian2009Rounds
11	Hungarian	eleven	tizenegy	tizɛnɛɟː	t i/iː z + ɛ n + ɛ ɟː	ten on one	10 11 1		Hungarian2009Rounds
12	Hungarian	twelve	tizenkettő	tizɛŋkɛtːøː	t i/iː z + ɛ ŋ/n + k ɛ tː øː	ten on two	10 11 2		Hungarian2009Rounds
13	Hungarian	thirteen	tizenhárom	tizɛnhaːrom	t i/iː z + ɛ n + h aː r o m	ten on three	10 11 3		Hungarian2009Rounds
14	Hungarian	fourteen	tizennégy	tizɛnneːɟ	t i/iː z + ɛ n + n eː ɟ	ten on four	10 11 4		Hungarian2009Rounds
15	Hungarian	fifteen	tizenöt	tizɛnøt	t i/iː z + ɛ n + ø t	ten on five	10 11 5		Hungarian2009Rounds
16	Hungarian	sixteen	tizenhat	tizɛnhɒt	t i/iː z + ɛ n + h ɒ t	ten on six	10 11 6		Hungarian2009Rounds
17	Hungarian	seventeen	tizenhét	tizɛnheːt	t i/iː z + ɛ n + h eː t	ten on seven	10 11 7		Hungarian2009Rounds
18	Hungarian	eighteen	tizennyolc	tizɛɲɲolts	t i/iː z + ɛ ɲ/n + ɲ o l ts	ten on eight	10 11 8		Hungarian2009Rounds
