ID	DOCULECT	CONCEPT	FORM	TOKENS	MORPHEMES	ALIGNMENT	COGIDS	NOTE	SOURCE
1	Pashto	one	yaw	j a/ə w/-	one	j a w	1	Based on E variant in source. N.B.: many other descriptions of the numeral system show hardly any allomorphy across digit forms, so we err on the side of lumping putatively phonologically predictable allomorphs together	FoxTwist2014
2	Pashto	two	dwa	d w a/ə	two	d w a	2		FoxTwist2014
3	Pashto	three	dre	d r e	three	d r e	3		FoxTwist2014
4	Pashto	four	ʦəlór	ʦ ə l o r	four	ʦ ə l o r	4		FoxTwist2014
5	Pashto	five	pinzə́	p i n z ə	five	p i n z ə	5		FoxTwist2014
6	Pashto	six	špəg	ʃ p ə g	six	ʃ p ə g	6		FoxTwist2014
7	Pashto	seven	uwə́	u/o w ə	seven	u w ə	7		FoxTwist2014
8	Pashto	eight	atə́	a t ə	eight	a t ə	8		FoxTwist2014
9	Pashto	nine	nə́hə	n ə h ə	nine	n ə h ə	9		FoxTwist2014
10	Pashto	ten	las	l a s	ten	l a s	10		FoxTwist2014
11	Pashto	eleven	yəwə́-las	j ə w ə + l a s	one2 ten	j ə w ə + l a s	1 10		FoxTwist2014
12	Pashto	twelve	dwə́-las	d w a/ə + l a s	two ten	d w ə + l a s	2 10		FoxTwist2014
13	Pashto	thirteen	dyā́r-las	d j aː r + l a s	three2 ten	d j aː r + l a s	3 10		FoxTwist2014
14	Pashto	fourteen	ʦwár-las	ʦ w a r + l a s	four2 ten	ʦ w a r + l a s	4 10		FoxTwist2014
15	Pashto	fifteen	pinzə́-las	p i n z ə + l a s	five ten	p i n z ə + l a s	5 10		FoxTwist2014
16	Pashto	sixteen	špā́-ṛas	ʃ p aː + ɽ a s	six2 ten2	ʃ p aː + ɽ a s	6 10		FoxTwist2014
17	Pashto	seventeen	owə́-las	u/o w ə + l a s	seven ten	o w ə + l a s	7 10		FoxTwist2014
18	Pashto	eighteen	atə́-las	a t ə + l a s	eight ten	a t ə + l a s	8 10		FoxTwist2014
19	Pashto	nineteen	nú-las	n u + l a s	nine2 ten	n u + l a s	9 10		FoxTwist2014
20	Pashto	twenty	šəl	ʃ ə l	score	ʃ ə l	30		FoxTwist2014
21	Pashto	twenty one	yə́-wiš	j a/ə w/- + w i ʃ	one twenty	j ə + w i ʃ	1 20		FoxTwist2014
22	Pashto	twenty two	dwə́-wiš	d w a/ə + w i ʃ	two twenty	d w ə + w i ʃ	2 20		FoxTwist2014
23	Pashto	twenty three	dre-wiš	d r e + w i ʃ	three twenty	d r e + w i ʃ	3 20		FoxTwist2014
24	Pashto	twenty four	ʦəlór-wiš	ʦ ə l o r + w i ʃ	four twenty	ʦ ə l o r + w i ʃ	4 20		FoxTwist2014
25	Pashto	twenty five	pinzə́-wiš	p i n z ə + w i ʃ	five twenty	p i n z ə + w i ʃ	5 20		FoxTwist2014
26	Pashto	twenty six	špəg-wiš	ʃ p ə g + w i ʃ	six twenty	ʃ p ə g + w i ʃ	6 20		FoxTwist2014
27	Pashto	twenty seven	uwə́-wiš	u/o w ə + w i ʃ	seven twenty	u w ə + w i ʃ	7 20		FoxTwist2014
28	Pashto	twenty eight	atə́-wiš	a t ə + w i ʃ	eight twenty	a t ə + w i ʃ	8 20		FoxTwist2014
29	Pashto	twenty nine	nəhə-wiš	n ə h ə + w i ʃ	nine twenty	n ə h ə + w i ʃ	9 20		FoxTwist2014
30	Pashto	thirty 	derš	d e r ʃ	thirty	d e r ʃ	21		FoxTwist2014
31	Pashto	thirty one	yaw-derš	j a/ə w/- + d e r ʃ	one thirty	j a w + d e r ʃ	1 21		FoxTwist2014
32	Pashto	thirty two	dwa-derš	d w a/ə + d e r ʃ	two thirty	d w a + d e r ʃ	2 21		FoxTwist2014
33	Pashto	thirty three	dre-derš	d r e + d e r ʃ	three thirty	d r e + d e r ʃ	3 21		FoxTwist2014
34	Pashto	thirty four	ʦəlór-derš	ʦ ə l o r + d e r ʃ	four thirty	ʦ ə l o r + d e r ʃ	4 21		FoxTwist2014
35	Pashto	thirty five	pinzə́-derš	p i n z ə + d e r ʃ	five thirty	p i n z ə + d e r ʃ	5 21		FoxTwist2014
36	Pashto	thirty six	špəg-derš	ʃ p ə g + d e r ʃ	six thirty	ʃ p ə g + d e r ʃ	6 21		FoxTwist2014
