ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	MORPHEMES	COGIDS	NOTE	SOURCE
1	Finnish	one	yksi	yksi	y k s i	one	1		Finnish2018Karlsson
2	Finnish	two	kaksi	kɑksi	k ɑ k s i	two	2		Finnish2018Karlsson
3	Finnish	three	kolme	kolme	k o l m e	three	3		Finnish2018Karlsson
4	Finnish	four	neljä	neljæ	n e l j æ	four	4		Finnish2018Karlsson
5	Finnish	five	viisi	ʋiːsi	ʋ iː s i	five	5		Finnish2018Karlsson
6	Finnish	six	kuusi	kuːsi	k uː s i	six	6		Finnish2018Karlsson
7	Finnish	seven	seitsemän	seitsemæn	s ei t s e m æ n	seven	7		Finnish2018Karlsson
8	Finnish	eight	kahdeksan	kɑhdeksɑn	k ɑ h d + e k s ɑ n	two2 ?	8 99	kahd- + -eksan by surface analysis, kahd- is a phonologically transparent allomorph kaht-, the inflectional stem suppleting the nominative form kaksi 'two'. Since kaks- > kaht- is not phonologically predictable, they are annotated as two morphemes.	Finnish2018Karlsson
9	Finnish	nine	yhdeksän	yhdeksæn	y h d + e k s æ/ɑ n	one2 ?	9 99	yhd- + -eksän by surface analysis, yhd- is a phonologically transparent allomorph yht-, the inflectional stem suppleting the nominative form yksi 'one'. Since yks- > yht- is not phonologically predictable, they are annotated as two morphemes.	Finnish2018Karlsson
10	Finnish	ten	kymmenen	kymːenen	k y mː e n + e n	ten nom_sg	10 11		Finnish2018Karlsson
11	Finnish	eleven	yksitoista	yksitoistɑ	y k s i + t oi s t ɑ	one teen	1 12	/toistɑ/ fossilized suffix meaning "of the second"	Finnish2018Karlsson
12	Finnish	twelve	kaksitoista	kɑksitoistɑ	k ɑ k s i + t oi s t ɑ	two teen	2 12		Finnish2018Karlsson
13	Finnish	thirteen	kolmetoista	kolmetoistɑ	k o l m e + t oi s t ɑ	three teen	3 12		Finnish2018Karlsson
14	Finnish	fourteen	neljätoista	neljætoistɑ	n e l j æ + t oi s t ɑ	four teen	4 12		Finnish2018Karlsson
15	Finnish	fifteen	viisitoista	ʋiːsitoistɑ	ʋ iː s i + t oi s t ɑ	five teen	5 12		Finnish2018Karlsson
16	Finnish	sixteen	kuusitoista	kuːsitoistɑ	k uː s i + t oi s t ɑ	six teen	6 12		Finnish2018Karlsson
17	Finnish	seventeen	seitsemäntoista	seitsemæntoistɑ	s ei t s e m æ n + t oi s t ɑ	seven teen	7 12		Finnish2018Karlsson
18	Finnish	eighteen	kahdeksantoista	kɑhdeksɑntoistɑ	k ɑ h d + e k s ɑ n + t oi s t ɑ	two2 ? teen	8 99 12		Finnish2018Karlsson
19	Finnish	nineteen	yhdeksäntoista	yhdeksæntoistɑ	y h d + e k s æ/ɑ n + t oi s t ɑ	one2 ? teen	9 99 12		Finnish2018Karlsson
20	Finnish	twenty	kaksikymmentä	kɑksikymːentæ	k ɑ k s i + k y mː e n + t æ	two ten part_sg	2 10 13		Finnish2018Karlsson
21	Finnish	twenty one	kaksikymmentäyksi	kɑksikymːentæyksi	k ɑ k s i + k y mː e n + t æ + y k s i	two ten part_sg one	2 10 13 1		Finnish2018Karlsson
22	Finnish	twenty two	kaksikymmentäkaksi	kɑksikymːentækɑksi	k ɑ k s i + k y mː e n + t æ + k ɑ k s i	two ten part_sg two	2 10 13 2		Finnish2018Karlsson
23	Finnish	twenty three	kaksikymmentäkolme	kɑksikymːentækolme	k ɑ k s i + k y mː e n + t æ + k o l m e	two ten part_sg three	2 10 13 3		Finnish2018Karlsson
24	Finnish	twenty four	kaksikymmentäneljä	kɑksikymːentæneljæ	k ɑ k s i + k y mː e n + t æ + n e l j æ	two ten part_sg four	2 10 13 4		Finnish2018Karlsson
25	Finnish	twenty five	kaksikymmentäviisi	kɑksikymːentæʋiːsi	k ɑ k s i + k y mː e n + t æ + ʋ iː s i	two ten part_sg five	2 10 13 5		Finnish2018Karlsson
26	Finnish	twenty six	kaksikymmentäkuusi	kɑksikymːentækuːsi	k ɑ k s i + k y mː e n + t æ + k uː s i	two ten part_sg six	2 10 13 6		Finnish2018Karlsson
27	Finnish	twenty seven	kaksikymmentäseitsemän	kɑksikymːentæseitsemæn	k ɑ k s i + k y mː e n + t æ + s ei t s e m æ n	two ten part_sg seven	2 10 13 7		Finnish2018Karlsson
28	Finnish	twenty eight	kaksikymmentäkahdeksan	kɑksikymːentækɑhdeksɑn	k ɑ k s i + k y mː e n + t æ + k ɑ h d + e k s ɑ n	two ten part_sg two2 ?	2 10 13 8 99		Finnish2018Karlsson
29	Finnish	twenty nine	kaksikymmentäyhdeksän	kɑksikymːentæyhdeksæn	k ɑ k s i + k y mː e n + t æ + y h d + e k s æ/ɑ n	two ten part_sg one2 ?	2 10 13 9 99		Finnish2018Karlsson
30	Finnish	thirty	kolmekymmentä	kolmekymːentæ	k o l m e + k y mː e n + t æ	three ten part_sg	3 10 13		Finnish2018Karlsson
31	Finnish	thirty one	kolmekymmentäyksi	kolmekymːentæyksi	k o l m e + k y mː e n + t æ + y k s i	three ten part_sg one	3 10 13 1		Finnish2018Karlsson
32	Finnish	thirty two	kolmekymmentäkaksi	kolmekymːentækɑksi	k o l m e + k y mː e n + t æ + k ɑ k s i	three ten part_sg two	3 10 13 2		Finnish2018Karlsson
33	Finnish	thirty three	kolmekymmentäkolme	kolmekymːentækolme	k o l m e + k y mː e n + t æ + k o l m e	three ten part_sg three	3 10 13 3		Finnish2018Karlsson
34	Finnish	thirty four	kolmekymmentäneljä	kolmekymːentæneljæ	k o l m e + k y mː e n + t æ + n e l j æ	three ten part_sg four	3 10 13 4		Finnish2018Karlsson
35	Finnish	thirty five	kolmekymmentäviisi	kolmekymːentæʋiːsi	k o l m e + k y mː e n + t æ + ʋ iː s i	three ten part_sg five	3 10 13 5		Finnish2018Karlsson
36	Finnish	thirty six	kolmekymmentäkuusi	kolmekymːentækuːsi	k o l m e + k y mː e n + t æ + k uː s i	three ten part_sg six	3 10 13 6		Finnish2018Karlsson
37	Finnish	thirty seven	kolmekymmentäseitsemän	kolmekymːentæseitsemæn	k o l m e + k y mː e n + t æ + s ei t s e m æ n	three ten part_sg seven	3 10 13 7		Finnish2018Karlsson
38	Finnish	thirty eight	kolmekymmentäkahdeksan	kolmekymːentækɑhdeksɑn	k o l m e + k y mː e n + t æ + k ɑ h d + e k s ɑ n	three ten part_sg two2 ?	3 10 13 8 99		Finnish2018Karlsson
39	Finnish	thirty nine	kolmekymmentäyhdeksän	kolmekymːentæyhdeksæn	k o l m e + k y mː e n + t æ + y h d + e k s æ/ɑ n	three ten part_sg one2 ?	3 10 13 9 99		Finnish2018Karlsson
40	Finnish	forty	neljäkymmentä	neljækymːentæ	n e l j æ + k y mː e n + t æ	four ten part_sg	4 10 13		Finnish2018Karlsson
41	Finnish	forty one	neljäkymmentäyksi	neljækymːentæyksi	n e l j æ + k y mː e n + t æ + y k s i	four ten part_sg one	4 10 13 1		Finnish2018Karlsson
42	Finnish	forty two	neljäkymmentäkaksi	neljækymːentækɑksi	n e l j æ + k y mː e n + t æ + k ɑ k s i	four ten part_sg two	4 10 13 2		Finnish2018Karlsson
43	Finnish	forty three	neljäkymmentäkolme	neljækymːentækolme	n e l j æ + k y mː e n + t æ + k o l m e	four ten part_sg three	4 10 13 3		Finnish2018Karlsson
44	Finnish	forty four	neljäkymmentäneljä	neljækymːentæneljæ	n e l j æ + k y mː e n + t æ + n e l j æ	four ten part_sg four	4 10 13 4		Finnish2018Karlsson
45	Finnish	forty five	neljäkymmentäviisi	neljækymːentæʋiːsi	n e l j æ + k y mː e n + t æ + ʋ iː s i	four ten part_sg five	4 10 13 5		Finnish2018Karlsson
46	Finnish	forty six	neljäkymmentäkuusi	neljækymːentækuːsi	n e l j æ + k y mː e n + t æ + k uː s i	four ten part_sg six	4 10 13 6		Finnish2018Karlsson
47	Finnish	forty seven	neljäkymmentäseitsemän	neljækymːentæseitsemæn	n e l j æ + k y mː e n + t æ + s ei t s e m æ n	four ten part_sg seven	4 10 13 7		Finnish2018Karlsson
48	Finnish	forty eight	neljäkymmentäkahdeksan	neljækymːentækɑhdeksɑn	n e l j æ + k y mː e n + t æ + k ɑ h d + e k s ɑ n	four ten part_sg two2 ?	4 10 13 8 99		Finnish2018Karlsson
49	Finnish	forty nine	neljäkymmentäyhdeksän	neljækymːentæyhdeksæn	n e l j æ + k y mː e n + t æ + y h d + e k s æ/ɑ n	four ten part_sg one2 ?	4 10 13 9 99		Finnish2018Karlsson
50	Finnish	fifty	viisikymmentä	ʋiːsikymːentæ	ʋ iː s i + k y mː e n + t æ	five ten part_sg	5 10 13		Finnish2018Karlsson
51	Finnish	fifty one	viisikymmentäyksi	ʋiːsikymːentæyksi	ʋ iː s i + k y mː e n + t æ + y k s i	five ten part_sg one	5 10 13 1		Finnish2018Karlsson
52	Finnish	fifty two	viisikymmentäkaksi	ʋiːsikymːentækɑksi	ʋ iː s i + k y mː e n + t æ + k ɑ k s i	five ten part_sg two	5 10 13 2		Finnish2018Karlsson
53	Finnish	fifty three	viisikymmentäkolme	ʋiːsikymːentækolme	ʋ iː s i + k y mː e n + t æ + k o l m e	five ten part_sg three	5 10 13 3		Finnish2018Karlsson
54	Finnish	fifty four	viisikymmentäneljä	ʋiːsikymːentæneljæ	ʋ iː s i + k y mː e n + t æ + n e l j æ	five ten part_sg four	5 10 13 4		Finnish2018Karlsson
55	Finnish	fifty five	viisikymmentäviisi	ʋiːsikymːentæʋiːsi	ʋ iː s i + k y mː e n + t æ + ʋ iː s i	five ten part_sg five	5 10 13 5		Finnish2018Karlsson
56	Finnish	fifty six	viisikymmentäkuusi	ʋiːsikymːentækuːsi	ʋ iː s i + k y mː e n + t æ + k uː s i	five ten part_sg six	5 10 13 6		Finnish2018Karlsson
57	Finnish	fifty seven	viisikymmentäseitsemän	ʋiːsikymːentæseitsemæn	ʋ iː s i + k y mː e n + t æ + s ei t s e m æ n	five ten part_sg seven	5 10 13 7		Finnish2018Karlsson
58	Finnish	fifty eight	viisikymmentäkahdeksan	ʋiːsikymːentækɑhdeksɑn	ʋ iː s i + k y mː e n + t æ + k ɑ h d + e k s ɑ n	five ten part_sg two2 ?	5 10 13 8 99		Finnish2018Karlsson
59	Finnish	fifty nine	viisikymmentäyhdeksän	ʋiːsikymːentæyhdeksæn	ʋ iː s i + k y mː e n + t æ + y h d + e k s æ/ɑ n	five ten part_sg one2 ?	5 10 13 9 99		Finnish2018Karlsson
60	Finnish	sixty	kuusikymmentä	kuːsikymːentæ	k uː s i + k y mː e n + t æ	six ten part_sg	6 10 13		Finnish2018Karlsson
61	Finnish	sixty one	kuusikymmentäyksi	kuːsikymːentæyksi	k uː s i + k y mː e n + t æ + y k s i	six ten part_sg one	6 10 13 1		Finnish2018Karlsson
62	Finnish	sixty two	kuusikymmentäkaksi	kuːsikymːentækɑksi	k uː s i + k y mː e n + t æ + k ɑ k s i	six ten part_sg two	6 10 13 2		Finnish2018Karlsson
63	Finnish	sixty three	kuusikymmentäkolme	kuːsikymːentækolme	k uː s i + k y mː e n + t æ + k o l m e	six ten part_sg three	6 10 13 3		Finnish2018Karlsson
64	Finnish	sixty four	kuusikymmentäneljä	kuːsikymːentæneljæ	k uː s i + k y mː e n + t æ + n e l j æ	six ten part_sg four	6 10 13 4		Finnish2018Karlsson
65	Finnish	sixty five	kuusikymmentäviisi	kuːsikymːentæʋiːsi	k uː s i + k y mː e n + t æ + ʋ iː s i	six ten part_sg five	6 10 13 5		Finnish2018Karlsson
