ID	DOCULECT	CONCEPT	FORM	TOKENS	TONE	ALIGNMENT	COGIDS	MORPHEMES	NOTE
24	Lamjung_Yolmo	twenty four	khál tɕíi ʑì	kʰ a l + tɕ iː + ʑ/ɕ i -/p	h h l	kʰ a l + tɕ iː + ʑ/ɕ i -/p	2 7 13	twenty one four	
45	Lamjung_Yolmo	twenty four	ɲídʑu ʑì	ɲ i/iː + dʑ/tɕ u -/p + ʑ/ɕ i -/p	h _ l	ɲ i/iː + dʑ/tɕ u -/p + ʑ/ɕ i -/p	8 14 13	two ten four	
25	Lamjung_Yolmo	twenty five	khál tɕíi ŋá	kʰ a l + tɕ iː + ŋ a	h h h	kʰ a l + tɕ iː + ŋ a	2 7 1	twenty one five	
46	Lamjung_Yolmo	twenty five	ɲídʑu ŋá	ɲ i/iː + dʑ/tɕ u -/p + ŋ a	h _ h	ɲ i/iː + dʑ/tɕ u -/p + ŋ a	8 14 1	two ten five	
26	Lamjung_Yolmo	twenty six	khál tɕíi ʈúu	kʰ a l + tɕ iː + ʈ uː	h h h	kʰ a l + tɕ iː + ʈ uː	2 7 11	twenty one six	
47	Lamjung_Yolmo	twenty six	ɲídʑu ʈùu	ɲ i/iː + dʑ/tɕ u -/p + ʈ uː	h _ l	ɲ i/iː + dʑ/tɕ u -/p + ʈ uː	8 14 11	two ten six	
27	Lamjung_Yolmo	twenty seven	kál tɕíi tìn	kʰ a l + tɕ iː + t i n	h h l	kʰ a l + tɕ iː + t i n	2 7 3	twenty one seven	
48	Lamjung_Yolmo	twenty seven	ɲídʑu tìn	ɲ i/iː + dʑ/tɕ u -/p + t i n	h _ l	ɲ i/iː + dʑ/tɕ u -/p + t i n	8 14 3	two ten seven	
28	Lamjung_Yolmo	twenty eight	khál tɕíi kyèe	kʰ a l + tɕ iː + kʲ eː	h h l	kʰ a l + tɕ iː + kʲ eː	2 7 15	twenty one eight	
49	Lamjung_Yolmo	twenty eight	ɲídʑu kyèe	ɲ i/iː + dʑ/tɕ u -/p + kʲ eː	h _ l	ɲ i/iː + dʑ/tɕ u -/p + kʲ eː	8 14 15	two ten eight	
29	Lamjung_Yolmo	twenty nine	khál tɕíi kù	kʰ a l + tɕ iː + k u	h h l	kʰ a l + tɕ iː + k u	2 7 10	twenty one nine	
50	Lamjung_Yolmo	twenty nine	ɲídʑu kù	ɲ i/iː + dʑ/tɕ u -/p + k u	h _ l	ɲ i/iː + dʑ/tɕ u -/p + k u	8 14 10	two ten nine	
30	Lamjung_Yolmo	thirty	khál tɕíi tɕú	kʰ a l + tɕ iː + tɕ u -/p	h h h	kʰ a l + tɕ iː + tɕ u -/p	2 7 14	twenty one ten	
51	Lamjung_Yolmo	thirty	súmdʑu 	s u m + dʑ/tɕ u -/p	h _	s u m + dʑ/tɕ u -/p	6 14	three ten	
31	Lamjung_Yolmo	thirty one	kháldʑi tɕídʑi	kʰ a l + dʑ/tɕ i/iː + tɕ i/u -/p + dʑ/tɕ i/iː	h _ h _	kʰ a l + dʑ/tɕ i/iː + tɕ i/u -/p + dʑ/tɕ i/iː	2 7 14 7	twenty one ten one	
52	Lamjung_Yolmo	thirty one	súmdʑu tɕíi	s u m + dʑ/tɕ u -/p + tɕ iː	h _ h	s u m + dʑ/tɕ u -/p + tɕ iː	6 14 7	three ten one	
32	Lamjung_Yolmo	thirty two	kháldʑi tɕíɲi	kʰ a l + dʑ/tɕ i/iː + tɕ i/iː + ɲ i/iː	h _ h _	kʰ a l + dʑ/tɕ i/iː + tɕ i/iː + ɲ i/iː	2 7 7 8	twenty one ten two	
53	Lamjung_Yolmo	thirty two	súmdʑu ɲíi	s u m + dʑ/tɕ u -/p + ɲ iː	h _ h	s u m + dʑ/tɕ u -/p + ɲ iː	6 14 8	three ten two	
33	Lamjung_Yolmo	thirty three	kháldʑi tɕúpsum	kʰ a l + dʑ/tɕ i/iː + tɕ u p + s u m	h _ h _	kʰ a l + dʑ/tɕ i/iː + tɕ u p + s u m	2 7 14 6	twenty one ten three	
54	Lamjung_Yolmo	thirty three	súmdʑu súm	s u m + dʑ/tɕ u -/p + s u m	h _ h	s u m + dʑ/tɕ u -/p + s u m	6 14 6	three ten three	
34	Lamjung_Yolmo	thirty four	kháldʑi tɕúpɕi	kʰ a l + dʑ/tɕ i/iː + tɕ u p + ɕ i -/p	h _ h _	kʰ a l + dʑ/tɕ i/iː + tɕ u p + ɕ i -/p	2 7 14 13	twenty one ten four	
55	Lamjung_Yolmo	thirty four	súmdʑu ʑì	s u m + dʑ/tɕ u -/p + ʑ/ɕ i -/p	h _ l	s u m + dʑ/tɕ u -/p + ʑ/ɕ i -/p	6 14 13	three ten four	
35	Lamjung_Yolmo	thirty five	kháldʑi tɕéeŋa	kʰ a l + dʑ/tɕ i/iː + tɕ eː/u -/p + ŋ a	h _ h _	kʰ a l + dʑ/tɕ i/iː + tɕ eː/u -/p + ŋ a	2 7 14 1	twenty one ten five	
56	Lamjung_Yolmo	thirty five	súmdʑu ŋá	s u m + dʑ/tɕ u -/p + ŋ a	h _ h	s u m + dʑ/tɕ u -/p + ŋ a	6 14 1	three ten five	
36	Lamjung_Yolmo	thirty six	kháldʑi tɕíiru	kʰ a l + dʑ/tɕ i/iː + tɕ iː + r/ʈ u/uː	h _ h _	kʰ a l + dʑ/tɕ i/iː + tɕ iː + r/ʈ u/uː	2 7 7 11	twenty one one six	
57	Lamjung_Yolmo	thirty six	súmdʑu ʈùu	s u m + dʑ/tɕ u -/p + ʈ uː	h _ l	s u m + dʑ/tɕ u -/p + ʈ uː	6 14 11	three ten six	
37	Lamjung_Yolmo	thirty seven	kháldʑi tɕúptin	kʰ a l + dʑ/tɕ i/iː + tɕ u p + t i n	h _ h _	kʰ a l + dʑ/tɕ i/iː + tɕ u p + t i n	2 7 14 3	twenty one ten seven	
58	Lamjung_Yolmo	thirty seven	súmdʑu tìn	s u m + dʑ/tɕ u -/p + t i n	h _ l	s u m + dʑ/tɕ u -/p + t i n	6 14 3	three ten seven	
38	Lamjung_Yolmo	thirty eight	kháldʑi tɕápkye	kʰ a l + dʑ/tɕ i/iː + tɕ e/u p + kʲ e/eː	h _ h	kʰ a l + dʑ/tɕ i/iː + tɕ e/u p + kʲ e/eː	2 7 14 15	twenty one ten eight	
59	Lamjung_Yolmo	thirty eight	súmdʑu kyèe	s u m + dʑ/tɕ u -/p + kʲ e/eː	h _ l	s u m + dʑ/tɕ u -/p + kʲ e/eː	6 14 15	three ten eight	
