ID	DOCULECT	CONCEPT	FORM	TOKENS	MORPHEMES	ALIGNMENT	COGIDS	NOTE	SOURCE
1	Cheyenne	one	na'ėstse	n à ʔ e̥ s ts è	one		1		Leman2025
2	Cheyenne	two	neše	n è ʃ è	two		2		Leman2025
3	Cheyenne	three	na'he	n à ʔ h è	three		3		Leman2025
4	Cheyenne	four	neve	n è v è/-	four		4		Leman2025
5	Cheyenne	five	noho	n ò h ò	five		5		Leman2025
6	Cheyenne	six	naesohto	n àː s ò h t ò	six		6	etymologically 1+5, but this is not transparently deductable in a synchronic analysis	Leman2025
7	Cheyenne	seven	nésohto	n é s ò h t ò	seven		7	etymologically 2+5, but this is not transparently deductable in a synchronic analysis	Leman2025
8	Cheyenne	eight	na'nohto	n à ʔ n ò h t ò	eight		8	etymologically 3+5, but this is not transparently deductable in a synchronic analysis	Leman2025
9	Cheyenne	nine	sóohto	s óː h t ò	nine		9		Leman2025
10	Cheyenne	ten	mȧhtohto	m ḁ t ò h t ò	ten		10		Leman2025
11	Cheyenne	eleven	mȧhtohto hóhta na'ėstse	m ḁ t ò h t ò + h ó h t a + n à ʔ e̥ s ts è	ten plus one		10 12 1		Leman2025
12	Cheyenne	twelve	mȧhtohto hóhta neše	m ḁ t ò h t ò + h ó h t a + n è ʃ è	ten plus two		10 12 2		Leman2025
13	Cheyenne	thirteen	mȧhtohto hóhta na'he	m ḁ t ò h t ò + h ó h t a + n à ʔ h è	ten plus three		10 12 3		Leman2025
14	Cheyenne	fourteen	mȧhtohto hóhta neve	m ḁ t ò h t ò + h ó h t a + n è v è/-	ten plus four		10 12 4		Leman2025
15	Cheyenne	fifteen	mȧhtohto hóhta noho	m ḁ t ò h t ò + h ó h t a + n ò h ò	ten plus five		10 12 5		Leman2025
16	Cheyenne	sixteen	mȧhtohto hóhta naesohto	m ḁ t ò h t ò + h ó h t a + n àː s ò h t ò	ten plus six		10 12 6		Leman2025
17	Cheyenne	seventeen	mȧhtohto hóhta nésohto	m ḁ t ò h t ò + h ó h t a + n é s ò h t ò	ten plus seven		10 12 7		Leman2025
18	Cheyenne	eighteen	mȧhtohto hóhta na'nohto	m ḁ t ò h t ò + h ó h t a + n à ʔ n ò h t ò	ten plus eight		10 12 8		Leman2025
19	Cheyenne	nineteen	mȧhtohto hóhta sóohto	m ḁ t ò h t ò + h ó h t a + s óː h t ò	ten plus nine		10 12 9		Leman2025
100	Cheyenne	eleven	hóhta na'ėstse	h ó h t a + n à ʔ e̥ s ts è	plus one		12 1		Leman2025
101	Cheyenne	twelve	hóhta neše	h ó h t a + n è ʃ è	plus two		12 2		Leman2025
102	Cheyenne	thirteen	hóhta na'he	h ó h t a + n à ʔ h è	plus three		12 3		Leman2025
103	Cheyenne	fourteen	hóhta neve	h ó h t a + n è v è/-	plus four		12 4		Leman2025
104	Cheyenne	fifteen	hóhta noho	h ó h t a + n ò h ò	plus five		12 5		Leman2025
105	Cheyenne	sixteen	hóhta naesohto	h ó h t a + n àː s ò h t ò	plus six		12 6		Leman2025
106	Cheyenne	seventeen	hóhta nésohto	h ó h t a + n é s ò h t ò	plus seven		12 7		Leman2025
107	Cheyenne	eighteen	hóhta na'nohto	h ó h t a + n à ʔ n ò h t ò	plus eight		12 8		Leman2025
108	Cheyenne	nineteen	hóhta sóohto	h ó h t a + s óː h t ò	plus nine		12 9		Leman2025
20	Cheyenne	twenty	nésó'e	n é s + -/n ó ʔ è	two2 -ty		21 11		Leman2025
21	Cheyenne	twenty one	nésó'e hóhta na'ėstse	n é s + -/n ó ʔ è + h ó h t a + n à ʔ e̥ s ts è	two2 -ty plus one		21 11 12 1		Leman2025
22	Cheyenne	twenty two	nésó'e hóhta neše	n é s + -/n ó ʔ è + h ó h t a + n è ʃ è	two2 -ty plus two		21 11 12 2		Leman2025
23	Cheyenne	twenty three	nésó'e hóhta na'he	n é s + -/n ó ʔ è + h ó h t a + n à ʔ h è	two2 -ty plus three		21 11 12 3		Leman2025
24	Cheyenne	twenty four	nésó'e hóhta neve	n é s + -/n ó ʔ è + h ó h t a + n è v è/-	two2 -ty plus four		21 11 12 4		Leman2025
25	Cheyenne	twenty five	nésó'e hóhta noho	n é s + -/n ó ʔ è + h ó h t a + n ò h ò	two2 -ty plus five		21 11 12 5		Leman2025
26	Cheyenne	twenty six	nésó'e hóhta naesohto	n é s + -/n ó ʔ è + h ó h t a + n àː s ò h t ò	two2 -ty plus six		21 11 12 6		Leman2025
27	Cheyenne	twenty seven	nésó'e hóhta nésohto	n é s + -/n ó ʔ è + h ó h t a + n é s ò h t ò	two2 -ty plus seven		21 11 12 7		Leman2025
28	Cheyenne	twenty eight	nésó'e hóhta na'nohto	n é s + -/n ó ʔ è + h ó h t a + n à ʔ n ò h t ò	two2 -ty plus eight		21 11 12 8		Leman2025
29	Cheyenne	twenty nine	nésó'e hóhta sóohto	n é s + -/n ó ʔ è + h ó h t a + s óː h t ò	two2 -ty plus nine		21 11 12 9		Leman2025
30	Cheyenne	thirty	na'nó'e	n à ʔ + n ó ʔ è	three2 -ty		31 11		Leman2025
