ID	NUMBER	DOCULECT	CONCEPT	FORM	TOKENS	ALIGNMENT	MORPHEMES	COGIDS	SOURCE	NOTE
1	1	PaungNyuan_Khalai	one	kʰuat	kʰ ua t	kʰ ua t	one	1	nawsawu2016makyam;vandam2026paungnyuan	Tones are removed becasue they are not correctly transcribed in the original source. Only two tonal contrasts occur in the language, based on syllable structure.
2	2	PaungNyuan_Khalai	two	nat	n a t	n a t	two	2	nawsawu2016makyam;vandam2026paungnyuan	
3	3	PaungNyuan_Khalai	three	θam	θ a m	θ a m	three	3	nawsawu2016makyam;vandam2026paungnyuan	
4	4	PaungNyuan_Khalai	four	pʰə li	pʰ ə + l i	pʰ ə + l i	PFX1 four	50 4	nawsawu2016makyam;vandam2026paungnyuan	
5	5	PaungNyuan_Khalai	five	pʰə ŋa	pʰ ə + ŋ a	pʰ ə + ŋ a	PFX1 five	50 5	nawsawu2016makyam;vandam2026paungnyuan	
6	6	PaungNyuan_Khalai	six	kʰə zok	kʰ ə + z o k	kʰ ə + z o k	PFX2 six	51 6	nawsawu2016makyam;vandam2026paungnyuan	
7	7	PaungNyuan_Khalai	seven	kʰə ɲɛk	kʰ ə + ɲ ɛ k	kʰ ə + ɲ ɛ k	PFX2 seven	51 7	nawsawu2016makyam;vandam2026paungnyuan	
8	8	PaungNyuan_Khalai	eight	tʰə wat	tʰ ə + w a t	tʰ ə + w a t	PFX3 eight	52 8	nawsawu2016makyam;vandam2026paungnyuan	
9	9	PaungNyuan_Khalai	nine	kʰuan poŋ	kʰ ua n + p o ŋ	kʰ ua n + p o ŋ	PFX4 nine	99 9	nawsawu2016makyam;vandam2026paungnyuan	
10	10	PaungNyuan_Khalai	ten	sap	s a p	s a p	ten	10	nawsawu2016makyam;vandam2026paungnyuan	
11	11	PaungNyuan_Khalai	eleven	sap kə kʰuat	s a p + k ə + kʰ ua t	s a p + k ə + kʰ ua t	ten and one	10 54 1	nawsawu2016makyam;vandam2026paungnyuan	
12	12	PaungNyuan_Khalai	twelve	sap kə nat	s a p + k ə + n a t	s a p + k ə + n a t	ten and two	10 54 2	nawsawu2016makyam;vandam2026paungnyuan	
13	13	PaungNyuan_Khalai	thirteen	sap kə θam	s a p + k ə + θ a m	s a p + k ə + θ a m	ten and three	10 54 3	nawsawu2016makyam;vandam2026paungnyuan	
14	14	PaungNyuan_Khalai	fourteen	sap kə pʰəli	s a p + k ə + pʰ ə + l i	s a p + k ə + pʰ ə + l i	ten and PFX1 four	10 54 50 4	nawsawu2016makyam;vandam2026paungnyuan	
15	15	PaungNyuan_Khalai	fifteen	sap kə pʰə ŋa	s a p + k ə + pʰ ə + ŋ a	s a p + k ə + pʰ ə + ŋ a	ten and PFX1 five	10 54 50 5	nawsawu2016makyam;vandam2026paungnyuan	
16	16	PaungNyuan_Khalai	sixteen	sap kə kʰə zok	s a p + k ə + kʰ ə + z o k	s a p + k ə + kʰ ə + z o k	ten and PFX2 six	10 54 51 6	nawsawu2016makyam;vandam2026paungnyuan	
17	17	PaungNyuan_Khalai	seventeen	sap kə kʰə ɲɛk	s a p + k ə + kʰ ə + ɲ ɛ k	s a p + k ə + kʰ ə + ɲ ɛ k	ten and PFX2 seven	10 54 51 7	nawsawu2016makyam;vandam2026paungnyuan	
18	18	PaungNyuan_Khalai	eighteen	sap kə tʰə wat	s a p + k ə + tʰ ə + w a t	s a p + k ə + tʰ ə + w a t	ten and PFX3 eight	10 54 52 8	nawsawu2016makyam;vandam2026paungnyuan	
19	19	PaungNyuan_Khalai	nineteen	kʰy man kʰuan poŋ	kʰ y + m a n + kʰ ua n + p o ŋ	kʰ y + m a n + kʰ ua n + p o ŋ	twenty minus PFX4 nine	20 53 99 9	nawsawu2016makyam;vandam2026paungnyuan	twenty minus one, but the meaning of man is not clear
20	20	PaungNyuan_Khalai	twenty	kʰy	kʰ y	kʰ y	twenty	20	nawsawu2016makyam;vandam2026paungnyuan	
