ID	NUMBER	DOCULECT	CONCEPT	FORM	TOKENS	ALIGNMENT	MORPHEMES	COGIDS	SOURCE	NOTE
21	21	PaungNyuan_Khalai	twenty one	kʰy kə kʰuat	kʰ y + k ə + kʰ ua t	kʰ y + k ə + kʰ ua t	twenty and one	20 54 1	nawsawu2016makyam;vandam2026paungnyuan	
22	22	PaungNyuan_Khalai	twenty two	kʰy kə nat	kʰ y + k ə + n a t	kʰ y + k ə + n a t	twenty and two	20 54 2	nawsawu2016makyam;vandam2026paungnyuan	
23	23	PaungNyuan_Khalai	twenty three	kʰy kə θam	kʰ y + k ə + θ a m	kʰ y + k ə + θ a m	twenty and three	20 54 3	nawsawu2016makyam;vandam2026paungnyuan	
24	24	PaungNyuan_Khalai	twenty four	kʰy kə pʰali	kʰ y + k ə + pʰ a/ə + l i	kʰ y + k ə + pʰ a/ə + l i	twenty and PFX1 four	20 54 50 4	nawsawu2016makyam;vandam2026paungnyuan	
25	25	PaungNyuan_Khalai	twenty five	kʰy kə pʰəŋa	kʰ y + k ə + pʰ ə + ŋ a	kʰ y + k ə + pʰ ə + ŋ a	twenty and PFX1 five	20 54 50 5	nawsawu2016makyam;vandam2026paungnyuan	
26	26	PaungNyuan_Khalai	twenty six	kʰy kə kʰə zok	kʰ y + k ə + kʰ ə + z o k	kʰ y + k ə + kʰ ə + z o k	twenty and PFX2 six	20 54 51 6	nawsawu2016makyam;vandam2026paungnyuan	
27	27	PaungNyuan_Khalai	twenty seven	kʰy kə kʰə ɲɛk	kʰ y + k ə + kʰ ə + ɲ ɛ k	kʰ y + k ə + kʰ ə + ɲ ɛ k	twenty and PFX2 seven	20 54 51 7	nawsawu2016makyam;vandam2026paungnyuan	
28	28	PaungNyuan_Khalai	twenty eight	kʰy kə tʰə wat	kʰ y + k ə + tʰ ə + w a t	kʰ y + k ə + tʰ ə + w a t	twenty and PFX3 eight	20 54 52 8	nawsawu2016makyam;vandam2026paungnyuan	
29	29	PaungNyuan_Khalai	twenty nine	ly θam man kʰuan poŋ	l y + θ a m + m a n + kʰ ua n/t	l y + θ a m + m a n + kʰ ua n/t	tens three minus one	55 3 53 1	nawsawu2016makyam;vandam2026paungnyuan	thirty minus
30	30	PaungNyuan_Khalai	thirty	ly θam	l y + θ a m	l y + θ a m	tens three	55 3	nawsawu2016makyam;vandam2026paungnyuan	
31	31	PaungNyuan_Khalai	thirty one	ly θam kə kʰuat	l y + θ a m + k ə + kʰ ua t	l y + θ a m + k ə + kʰ ua t	tens three and one	55 3 54 1	vandam2026paungnyuan	
32	32	PaungNyuan_Khalai	thirty two	ly θam kə nat	l y + θ a m + k ə + n a t	l y + θ a m + k ə + n a t	tens three and two	55 3 54 2	vandam2026paungnyuan	
33	33	PaungNyuan_Khalai	thirty three	ly θam kə θam	l y + θ a m + k ə + θ a m	l y + θ a m + k ə + θ a m	tens three and three	55 3 54 3	vandam2026paungnyuan	
34	34	PaungNyuan_Khalai	thirty four	ly θam kə pʰali	l y + θ a m + k ə + pʰ ə + l i	l y + θ a m + k ə + pʰ ə + l i	tens three and PFX1 four	55 3 54 50 4	vandam2026paungnyuan	
35	35	PaungNyuan_Khalai	thirty five	ly θam kə pʰəŋa	l y + θ a m + k ə + pʰ ə + ŋ a	l y + θ a m + k ə + pʰ ə + ŋ a	tens three and PFX1 five	55 3 54 50 5	vandam2026paungnyuan	
36	36	PaungNyuan_Khalai	thirty six	ly θam kə kʰə zok	l y + θ a m + k ə + kʰ ə + z o k	l y + θ a m + k ə + kʰ ə + z o k	tens three and PFX2 six	55 3 54 51 6	vandam2026paungnyuan	
37	37	PaungNyuan_Khalai	thirty seven	ly θam kə kʰə ɲɛk	l y + θ a m + k ə + kʰ ə + ɲ ɛ k	l y + θ a m + k ə + kʰ ə + ɲ ɛ k	tens three and PFX2 seven	55 3 54 51 7	vandam2026paungnyuan	
38	38	PaungNyuan_Khalai	thirty eight	ly θam kə tʰə wat	l y + θ a m + k ə + tʰ ə + w a t	l y + θ a m + k ə + tʰ ə + w a t	tens three and PFX3 eight	55 3 54 52 8	vandam2026paungnyuan	
39	39	PaungNyuan_Khalai	thirty nine	ly pʰə li man kʰuan  poŋ	l y + pʰ ə + l i + m a n + kʰ ua n/t	l y + pʰ ə + l i + m a n + kʰ ua n/t	tens PFX1 four minus one	55 50 4 53 1	vandam2026paungnyuan	
40	40	PaungNyuan_Khalai	forty	ly pʰə li	l y + pʰ ə + l i	l y + pʰ ə + l i	tens PFX1 four	55 50 4	nawsawu2016makyam;vandam2026paungnyuan	
41	41	PaungNyuan_Khalai	forty one	ly pʰə li kə kʰuat	l y + p ʰ ə + l i + k ə + k ʰ u a t	l y + p ʰ ə + l i + k ə + k ʰ u a t	tens PFX1 four and one	55 50 4 54 1	vandam2026paungnyuan	
42	42	PaungNyuan_Khalai	forty two	ly pʰə li kə nat	l y + pʰ ə + l i + k ə + n a t	l y + pʰ ə + l i + k ə + n a t	tens PFX1 four and two	55 50 4 54 2	vandam2026paungnyuan	
43	43	PaungNyuan_Khalai	forty three	ly pʰə li kə θam	l y + pʰ ə + l i + k ə + θ a m	l y + pʰ ə + l i + k ə + θ a m	tens PFX1 four and three	55 50 4 54 3	vandam2026paungnyuan	
44	44	PaungNyuan_Khalai	forty four	ly pʰə li kə pʰali	l y + pʰ ə + l i + k ə + pʰ a l i	l y + pʰ ə + l i + k ə + pʰ a l i	tens PFX1 four and PFX1 four	55 50 4 54 50 4	vandam2026paungnyuan	
45	45	PaungNyuan_Khalai	forty five	ly pʰə li kə pʰəŋa	l y + pʰ ə + l i + k ə + pʰ ə ŋ a	l y + pʰ ə + l i + k ə + pʰ ə ŋ a	tens PFX1 four and PFX1 five	55 50 4 54 50 5	vandam2026paungnyuan	
46	46	PaungNyuan_Khalai	forty six	ly pʰə li kə kʰə zok	l y + pʰ ə + l i + k ə + kʰ ə + z o k	l y + pʰ ə + l i + k ə + kʰ ə + z o k	tens PFX1 four and PFX2 six	55 50 4 54 51 6	vandam2026paungnyuan	
47	47	PaungNyuan_Khalai	forty seven	ly pʰə li kə kʰə ɲɛk	l y + pʰ ə + l i + k ə + kʰ ə + ɲ ɛ k	l y + pʰ ə + l i + k ə + kʰ ə + ɲ ɛ k	tens PFX1 four and PFX2 seven	55 50 4 54 51 7	vandam2026paungnyuan	
48	48	PaungNyuan_Khalai	forty eight	ly pʰə li kə tʰə wat	l y + pʰ ə + l i + k ə + tʰ ə + w a t	l y + pʰ ə + l i + k ə + tʰ ə + w a t	tens PFX1 four and PFX3 eight	55 50 4 54 52 8	vandam2026paungnyuan	
49	49	PaungNyuan_Khalai	forty nine	ly pʰə ŋa man kʰuan  poŋ	l y + pʰ ə + ŋ a + m a n + kʰ u a n + p o ŋ	l y + pʰ ə + ŋ a + m a n + kʰ u a n + p o ŋ	tens PFX1 five minus PFX4 nine	55 50 5 53 PFX4 9	vandam2026paungnyuan	
50	50	PaungNyuan_Khalai	fifty	ly pʰə ŋa	l y + pʰ ə + ŋ a	l y + pʰ ə + ŋ a	tens PFX1 five	55 50 5	nawsawu2016makyam;vandam2026paungnyuan	
51	51	PaungNyuan_Khalai	fifty one	ly pʰə ŋa kə kʰuat	l y + pʰ ə + ŋ a + k ə + kʰ u a t	l y + pʰ ə + ŋ a + k ə + kʰ u a t	tens PFX1 four and one	55 50 4 54 1	vandam2026paungnyuan	
52	52	PaungNyuan_Khalai	fifty two	ly pʰə ŋa kə nat	l y + pʰ ə + ŋ a + k ə + n a t	l y + pʰ ə + ŋ a + k ə + n a t	tens PFX1 five and two	55 50 5 54 2	vandam2026paungnyuan	
53	53	PaungNyuan_Khalai	fifty three	ly pʰə ŋa kə θam	l y + pʰ ə + ŋ a + k ə + θ a m	l y + pʰ ə + ŋ a + k ə + θ a m	tens PFX1 five and three	55 50 5 54 3	vandam2026paungnyuan	
54	54	PaungNyuan_Khalai	fifty four	ly pʰə ŋa kə pʰə li	l y + pʰ ə + ŋ a + k ə + pʰ ə + l i	l y + pʰ ə + ŋ a + k ə + pʰ ə + l i	tens PFX1 five and PFX1 four	55 50 5 54 50 4	vandam2026paungnyuan	
55	55	PaungNyuan_Khalai	fifty five	ly pʰə ŋa kə pʰə ŋa	l y + pʰ ə + ŋ a + k ə + pʰ ə + ŋ a	l y + pʰ ə + ŋ a + k ə + pʰ ə + ŋ a	tens PFX1 five and PFX1 five	55 50 5 54 50 5	vandam2026paungnyuan	
56	56	PaungNyuan_Khalai	fifty six	ly pʰə ŋa kə kʰə zok	l y + pʰ ə + ŋ a + k ə + kʰ ə + z o k	l y + pʰ ə + ŋ a + k ə + kʰ ə + z o k	tens PFX1 five and PFX2 six	55 50 5 54 51 6	vandam2026paungnyuan	
57	57	PaungNyuan_Khalai	fifty seven	ly pʰə ŋa kə kʰə ɲɛk	l y + pʰ ə + ŋ a + k ə + kʰ ə + ɲ ɛ k	l y + pʰ ə + ŋ a + k ə + kʰ ə + ɲ ɛ k	tens PFX1 five and PFX2 seven	55 50 5 54 51 7	vandam2026paungnyuan	
58	58	PaungNyuan_Khalai	fifty eight	ly pʰə ŋa kə tʰə wat	l y + pʰ ə + ŋ a + k ə + tʰ ə + w a t	l y + pʰ ə + ŋ a + k ə + tʰ ə + w a t	tens PFX1 five and PFX3 eight	55 50 5 54 52 8	vandam2026paungnyuan	
59	59	PaungNyuan_Khalai	fifty nine	ly kʰə zok man kʰuan poŋ	l y + kʰ ə + z o k + m a n + kʰ u a n + p o ŋ	l y + kʰ ə + z o k + m a n + kʰ u a n + p o ŋ	tens PFX2 six minus PFX4 nine	55 51 6 53 99 9	vandam2026paungnyuan	
60	60	PaungNyuan_Khalai	sixty	ly kʰə zok	l y + kʰ ə + z o k	l y + kʰ ə + z o k	tens PFX2 six	55 51 6	nawsawu2016makyam;vandam2026paungnyuan	
61	61	PaungNyuan_Khalai	sixty one	ly kʰə zok kə kʰuat	l y + kʰ ə + z o k + k ə + kʰ u a t	l y + kʰ ə + z o k + k ə + kʰ u a t	tens PFX2 six and one	55 51 6 54 1	vandam2026paungnyuan	
62	62	PaungNyuan_Khalai	sixty two	ly kʰə zok kə nat	l y + kʰ ə + z o k + k ə + n a t	l y + kʰ ə + z o k + k ə + n a t	tens PFX2 six and two	55 51 6 54 2	vandam2026paungnyuan	
63	63	PaungNyuan_Khalai	sixty three	ly kʰə zok kə θam	l y + kʰ ə + z o k + k ə + θ a m	l y + kʰ ə + z o k + k ə + θ a m	tens PFX2 six and three	55 51 6 54 3	vandam2026paungnyuan	
64	64	PaungNyuan_Khalai	sixty four	ly kʰə zok kə pʰə li	l y + kʰ ə + z o k + k ə + pʰ ə + l i	l y + kʰ ə + z o k + k ə + pʰ ə + l i	tens PFX2 six and PFX1 four	55 51 6 54 50 4	vandam2026paungnyuan	
65	65	PaungNyuan_Khalai	sixty five	ly kʰə zok kə pʰə ŋa	l y + kʰ ə + z o k + k ə + pʰ ə + ŋ a	l y + kʰ ə + z o k + k ə + pʰ ə + ŋ a	tens PFX2 six and PFX1 five	55 51 6 54 50 5	vandam2026paungnyuan	
66	66	PaungNyuan_Khalai	sixty six	ly kʰə zok kə kʰə zok	l y + kʰ ə + z o k + k ə + kʰ ə + z o k	l y + kʰ ə + z o k + k ə + kʰ ə + z o k	tens PFX2 six and PFX2 six	55 51 6 54 51 6	vandam2026paungnyuan	
67	67	PaungNyuan_Khalai	sixty seven	ly kʰə zok kə kʰə ɲɛk	l y + kʰ ə + z o k + k ə + kʰ ə + ɲ ɛ k	l y + kʰ ə + z o k + k ə + kʰ ə + ɲ ɛ k	tens PFX2 six and PFX2 seven	55 51 6 54 51 7	vandam2026paungnyuan	
68	68	PaungNyuan_Khalai	sixty eight	ly kʰə zok kə tʰə wat	l y + kʰ ə + z o k + k ə + tʰ ə + w a t	l y + kʰ ə + z o k + k ə + tʰ ə + w a t	tens PFX2 six and PFX3 eight	55 51 6 54 52 8	vandam2026paungnyuan	
69	69	PaungNyuan_Khalai	sixty nine	ly kʰə ɲek man kʰuan poŋ	l y + kʰ ə + ɲ e k + m a n + kʰ u a n + p o ŋ	l y + kʰ ə + ɲ e k + m a n + kʰ u a n + p o ŋ	tensPFX2 seven minus PFX4 nine	5551 7 53 99 9	vandam2026paungnyuan	
70	70	PaungNyuan_Khalai	seventy	ly kʰə ɲek	l y + kʰ ə + ɲ e k	l y + kʰ ə + ɲ e k	tensPFX2 seven	5551 7	nawsawu2016makyam;vandam2026paungnyuan	
71	71	PaungNyuan_Khalai	seventy one	ly kʰə ɲek kə kʰuat	l y + kʰ ə + ɲ e k + k ə + kʰ u a t	l y + kʰ ə + ɲ e k + k ə + kʰ u a t	tensPFX2 seven and one	5551 7 54 1	vandam2026paungnyuan	
72	72	PaungNyuan_Khalai	seventy two	ly kʰə ɲek kə nat	l y + kʰ ə + ɲ e k + k ə + n a t	l y + kʰ ə + ɲ e k + k ə + n a t	tensPFX2 seven and two	5551 7 54 2	vandam2026paungnyuan	
73	73	PaungNyuan_Khalai	seventy three	ly kʰə ɲek kə θam	l y + kʰ ə + ɲ e k + k ə + θ a m	l y + kʰ ə + ɲ e k + k ə + θ a m	tensPFX2 seven and three	5551 7 54 3	vandam2026paungnyuan	
74	74	PaungNyuan_Khalai	seventy four	ly kʰə ɲek kə pʰə li	l y + kʰ ə + ɲ e k + k ə + pʰ ə + l i	l y + kʰ ə + ɲ e k + k ə + pʰ ə + l i	tensPFX2 seven and PFX1 four	5551 7 54 50 4	vandam2026paungnyuan	
75	75	PaungNyuan_Khalai	seventy five	ly kʰə ɲek kə pʰə ŋa	l y + kʰ ə + ɲ e k + k ə + pʰ ə + ŋ a	l y + kʰ ə + ɲ e k + k ə + pʰ ə + ŋ a	tensPFX2 seven and PFX1 five	5551 7 54 50 5	vandam2026paungnyuan	
76	76	PaungNyuan_Khalai	seventy six	ly kʰə ɲek kə kʰə zok	l y + kʰ ə + ɲ e k + k ə + kʰ ə + z o k	l y + kʰ ə + ɲ e k + k ə + kʰ ə + z o k	tensPFX2 seven and PFX2 six	5551 7 54 51 6	vandam2026paungnyuan	
77	77	PaungNyuan_Khalai	seventy seven	ly kʰə ɲek kə kʰə ɲɛk	l y + kʰ ə + ɲ e k + k ə + kʰ ə + ɲ ɛ k	l y + kʰ ə + ɲ e k + k ə + kʰ ə + ɲ ɛ k	tensPFX2 seven and PFX2 seven	5551 7 54 51 7	vandam2026paungnyuan	
78	78	PaungNyuan_Khalai	seventy eight	ly kʰə ɲek kə tʰə wat	l y + kʰ ə + ɲ e k + k ə + tʰ ə + w a t	l y + kʰ ə + ɲ e k + k ə + tʰ ə + w a t	tensPFX2 seven and PFX3 eight	5551 7 54 52 8	vandam2026paungnyuan	
79	79	PaungNyuan_Khalai	seventy nine	ly tʰə wat man kʰuan poŋ	l y + tʰ ə + w a t + m a n + kʰ u a n + p o ŋ	l y + tʰ ə + w a t + m a n + kʰ u a n + p o ŋ	tens PFX3 eight minus PFX4 nine	55 52 8 53 99 9	vandam2026paungnyuan	
80	80	PaungNyuan_Khalai	eighty	ly tʰə wat	l y + tʰ ə + w a t	l y + tʰ ə + w a t	tens PFX3 eight	55 52 8	nawsawu2016makyam;vandam2026paungnyuan	
81	81	PaungNyuan_Khalai	eighty one	ly tʰə wat kə kʰuat	l y + tʰ ə + w a t + k ə + kʰ u a t	l y + tʰ ə + w a t + k ə + kʰ u a t	tens PFX3 eight and one	55 52 8 54 1	vandam2026paungnyuan	
82	82	PaungNyuan_Khalai	eighty two	ly tʰə wat kə nat	l y + tʰ ə + w a t + k ə + n a t	l y + tʰ ə + w a t + k ə + n a t	tens PFX3 eight and two	55 52 8 54 2	vandam2026paungnyuan	
83	83	PaungNyuan_Khalai	eighty three	ly tʰə wat kə θam	l y + tʰ ə + w a t + k ə + θ a m	l y + tʰ ə + w a t + k ə + θ a m	tens PFX3 eight and three	55 52 8 54 3	vandam2026paungnyuan	
84	84	PaungNyuan_Khalai	eighty four	ly tʰə wat kə pʰə li	l y + tʰ ə + w a t + k ə + pʰ ə + l i	l y + tʰ ə + w a t + k ə + pʰ ə + l i	tens PFX3 eight and PFX1 four	55 52 8 54 50 4	vandam2026paungnyuan	
85	85	PaungNyuan_Khalai	eighty five	ly tʰə wat kə pʰə ŋa	l y + tʰ ə + w a t + k ə + pʰ ə + ŋ a	l y + tʰ ə + w a t + k ə + pʰ ə + ŋ a	tens PFX3 eight and PFX1 five	55 52 8 54 50 5	vandam2026paungnyuan	
86	86	PaungNyuan_Khalai	eighty six	ly tʰə wat kə kʰə zok	l y + tʰ ə + w a t + k ə + kʰ ə + z o k	l y + tʰ ə + w a t + k ə + kʰ ə + z o k	tens PFX3 eight and PFX2 six	55 52 8 54 51 6	vandam2026paungnyuan	
87	87	PaungNyuan_Khalai	eighty seven	ly tʰə wat kə kʰə ɲɛk	l y + tʰ ə + w a t + k ə + kʰ ə + ɲ ɛ k	l y + tʰ ə + w a t + k ə + kʰ ə + ɲ ɛ k	tens PFX3 eight and PFX2 seven	55 52 8 54 51 7	vandam2026paungnyuan	
88	88	PaungNyuan_Khalai	eighty eight	ly tʰə wat kə tʰə wat	l y + tʰ ə + w a t + k ə + tʰ ə + w a t	l y + tʰ ə + w a t + k ə + tʰ ə + w a t	tens PFX3 eight and PFX3 eight	55 52 8 54 52 8	vandam2026paungnyuan	
89	89	PaungNyuan_Khalai	eighty nine	zə kʰuat man kʰuam poŋ	z ə + kʰ u a t + m a n + kʰ u a m + p o ŋ	z ə + kʰ u a t + m a n + kʰ u a m + p o ŋ	PFX5 one minus PFX4 nine	PFX5 1 53 99 9	vandam2026paungnyuan	
90	90	PaungNyuan_Khalai	ninety	zə kʰuat	z ə + kʰ u a t	z ə + kʰ u a t	PFX5 one	PFX5 1	vandam2026paungnyuan	Original source give 99 for 90. This has been confirmed with speakers.
91	91	PaungNyuan_Khalai	ninety one	zə kʰuat kə kʰuat	z ə + kʰ u a t + k ə + kʰ u a t	z ə + kʰ u a t + k ə + kʰ u a t	PFX5 one and one	PFX5 1 54 1	vandam2026paungnyuan	
92	92	PaungNyuan_Khalai	ninety two	zə kʰuat kə nat	z ə + kʰ u a t + k ə + n a t	z ə + kʰ u a t + k ə + n a t	PFX5 one and nat	PFX5 1 54 nat	vandam2026paungnyuan	
93	93	PaungNyuan_Khalai	ninety three	zə kʰuat kə θam	z ə + kʰ u a t + k ə + θ a m	z ə + kʰ u a t + k ə + θ a m	PFX5 one and three	PFX5 1 54 3	vandam2026paungnyuan	
94	94	PaungNyuan_Khalai	ninety four	zə kʰuat kə pʰə li	z ə + kʰ u a t + k ə + pʰ ə + l i	z ə + kʰ u a t + k ə + pʰ ə + l i	PFX5 one and PFX1 four	PFX5 1 54 50 4	vandam2026paungnyuan	
95	95	PaungNyuan_Khalai	ninety five	zə kʰuat kə pʰə ŋa	z ə + kʰ u a t + k ə + pʰ ə + ŋ a	z ə + kʰ u a t + k ə + pʰ ə + ŋ a	PFX5 one and PFX1 five	PFX5 1 54 50 5	vandam2026paungnyuan	
96	96	PaungNyuan_Khalai	ninety six	zə kʰuat kə kʰə zok	z ə + kʰ u a t + k ə + kʰ ə + z o k	z ə + kʰ u a t + k ə + kʰ ə + z o k	PFX5 one and PFX2 six	PFX5 1 54 51 6	vandam2026paungnyuan	
97	97	PaungNyuan_Khalai	ninety seven	zə kʰuat kə kʰə ɲɛk	z ə + kʰ u a t + k ə + kʰ ə + ɲ ɛ k	z ə + kʰ u a t + k ə + kʰ ə + ɲ ɛ k	PFX5 one and PFX2 seven	PFX5 1 54 51 7	vandam2026paungnyuan	
98	98	PaungNyuan_Khalai	ninety eight	zə kʰuat kə tʰə wat	z ə + kʰ u a t + k ə + tʰ ə + w a t	z ə + kʰ u a t + k ə + tʰ ə + w a t	PFX5 one and PFX3 eight	PFX5 1 54 52 8	vandam2026paungnyuan	
99	99	PaungNyuan_Khalai	ninety nine	zy man kʰuam poŋ	z y + m a n + kʰ u a m + p o ŋ	z y + m a n + kʰ u a m + p o ŋ	hundred minus PFX4 nine	hundred 53 99 9	vandam2026paungnyuan	
