ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Morphemes,Cognates,Surface_Form,Underlying_Form,Tokens
Czech-Chan-2019-133-39-39-1,,Czech,Chan-2019-133-39-39,tr̝ɪtsɛt dɛvjɛt,tr̝ɪtsɛt dɛvjɛt,t r̝ ɪ + ts ɛ t + d ɛ v j ɛ t,,Czech,,,,,three ten nine,3 10 9,t r̝ ɪ + ts ɛ t + d ɛ v j ɛ t,t r̝ ɪ + d ɛ s ɛ t + d ɛ v j ɛ t,t r̝ ɪ + -/d -/ɛ ts/s ɛ t + d ɛ v j ɛ t
Czech-Chan-2019-133-40-40-1,,Czech,Chan-2019-133-40-40,tʃtɪr̝ɪtsɛt,tʃtɪr̝ɪtsɛt,tʃ t ɪ r̝ ɪ + ts ɛ t,,Czech,,,,,four ten,4 10,tʃ t ɪ r̝ ɪ + ts ɛ t,tʃ t ɪ r̝ ɪ + d ɛ s ɛ t,tʃ t ɪ r̝ ɪ + -/d -/ɛ ts/s ɛ t
French-Chan-2019-133-1-1-1,,French,Chan-2019-133-1-1,œ̃,œ̃,œ̃,,French,,,,,one,1,œ̃,œ̃,œ̃
French-Chan-2019-133-2-2-1,,French,Chan-2019-133-2-2,dø,dø,d ø,,French,,,,,two,2,d ø,d ø,d ø
French-Chan-2019-133-3-3-1,,French,Chan-2019-133-3-3,tʁwɑ,tʁwɑ,t ʁ w ɑ,,French,,,,,three,3,t ʁ w ɑ,t ʁ w ɑ,t ʁ w ɑ
French-Chan-2019-133-4-4-1,,French,Chan-2019-133-4-4,katʁ,katʁ,k a t ʁ,,French,,,,,four,4,k a t ʁ,k a t ʁ,k a t ʁ
French-Chan-2019-133-5-5-1,,French,Chan-2019-133-5-5,sɛ̃k,sɛ̃k,s ɛ̃ k,,French,,,,,five,5,s ɛ̃ k,s ɛ̃ k,s ɛ̃ k
French-Chan-2019-133-6-6-1,,French,Chan-2019-133-6-6,sis,sis,s i s,,French,,,,,six,6,s i s,s i s,s i s
French-Chan-2019-133-7-7-1,,French,Chan-2019-133-7-7,sɛt,sɛt,s ɛ t,,French,,,,,seven,7,s ɛ t,s ɛ t,s ɛ t
French-Chan-2019-133-8-8-1,,French,Chan-2019-133-8-8,ɥit,ɥit,ɥ i t,,French,,,,,eight,8,ɥ i t,ɥ i t,ɥ i t
French-Chan-2019-133-9-9-1,,French,Chan-2019-133-9-9,nœf,nœf,n œ f,,French,,,,,nine,9,n œ f,n œ f,n œ f
French-Chan-2019-133-10-10-1,,French,Chan-2019-133-10-10,dis,dis,d i s,,French,,,,,ten,10,d i s,d i s,d i s
French-Chan-2019-133-11-11-1,,French,Chan-2019-133-11-11,ɔ̃z,ɔ̃z,ɔ̃ z,,French,,,,,eleven,11,ɔ̃ z,ɔ̃ z,ɔ̃ z
French-Chan-2019-133-12-12-1,,French,Chan-2019-133-12-12,duz,duz,d u z,,French,,,,,twelve,12,d u z,d u z,d u z
