ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Morphemes,Cognates,Surface_Form,Underlying_Form,Tokens
German-Chan-2019-133-17-17-1,,German,Chan-2019-133-17-17,siebzehn,siebzehn,z iː p + ts eː n,,List2025,,,,,seven ten,7 1,z iː p + ts eː n,z iː b ə n + ts eː n,z iː p/b -/ə -/n + ts eː n
German-Chan-2019-133-18-18-1,,German,Chan-2019-133-18-18,achtzehn,achtzehn,a x + ts eː n,,List2025,,,,,eight ten,13 1,a x + ts eː n,a x t + ts eː n,a x -/t + ts eː n
German-Chan-2019-133-19-19-1,,German,Chan-2019-133-19-19,neunzehn,neunzehn,n oɪ n + ts eː n,,List2025,,,,,nine ten,11 1,n oɪ n + ts eː n,n oɪ n + ts eː n,n oɪ n + ts eː n
German-Chan-2019-133-20-20-1,,German,Chan-2019-133-20-20,zwanzig,zwanzig,ts v a n + ts ɪ ç,,List2025,,,,,twen -ty-,12 5,ts v a n + ts ɪ ç,ts v a n + ts ɪ ç,ts v a n + ts ɪ ç
German-Chan-2019-133-21-21-1,,German,Chan-2019-133-21-21,einundzwanzig,einundzwanzig,aɪ n + ʊ n + ts v a n + ts ɪ ç,,List2025,,,,,one and twen -ty-,3 8 12 5,aɪ n + ʊ n + ts v a n + ts ɪ ç,aɪ n s + ʊ n d + ts v a n + ts ɪ ç,aɪ n -/s + ʊ n -/d + ts v a n + ts ɪ ç
German-Chan-2019-133-22-22-1,,German,Chan-2019-133-22-22,zweiundzwanzig,zweiundzwanzig,ts v aɪ + ʊ n + ts v a n + ts ɪ ç,,List2025,,,,,two and twen -ty-,14 8 12 5,ts v aɪ + ʊ n + ts v a n + ts ɪ ç,ts v aɪ + ʊ n d + ts v a n + ts ɪ ç,ts v aɪ + ʊ n -/d + ts v a n + ts ɪ ç
German-Chan-2019-133-23-23-1,,German,Chan-2019-133-23-23,dreiundzwanzig,dreiundzwanzig,d r aɪ + ʊ n + ts v a n + ts ɪ ç,,List2025,,,,,three and twen -ty-,10 8 12 5,d r aɪ + ʊ n + ts v a n + ts ɪ ç,d r aɪ + ʊ n d + ts v a n + ts ɪ ç,d r aɪ + ʊ n -/d + ts v a n + ts ɪ ç
German-Chan-2019-133-24-24-1,,German,Chan-2019-133-24-24,vierundzwanzig,vierundzwanzig,f iː r + ʊ n + ts v a n + ts ɪ ç,,List2025,,,,,four and twen -ty-,2 8 12 5,f iː r + ʊ n + ts v a n + ts ɪ ç,f iː r + ʊ n d + ts v a n + ts ɪ ç,f iː r + ʊ n -/d + ts v a n + ts ɪ ç
German-Chan-2019-133-25-25-1,,German,Chan-2019-133-25-25,fünfundzwanzig,fünfundzwanzig,f ʏ n f + ʊ n + ts v a n + ts ɪ ç,,List2025,,,,,five and twen -ty-,4 8 12 5,f ʏ n f + ʊ n + ts v a n + ts ɪ ç,f ʏ n f + ʊ n d + ts v a n + ts ɪ ç,f ʏ n f + ʊ n -/d + ts v a n + ts ɪ ç
German-Chan-2019-133-26-26-1,,German,Chan-2019-133-26-26,sechsundzwanzig,sechsundzwanzig,z ɛ k s + ʊ n + ts v a n + ts ɪ ç,,List2025,,,,,six and twen -ty-,9 8 12 5,z ɛ k s + ʊ n + ts v a n + ts ɪ ç,z ɛ k s + ʊ n d + ts v a n + ts ɪ ç,z ɛ k s + ʊ n -/d + ts v a n + ts ɪ ç
German-Chan-2019-133-27-27-1,,German,Chan-2019-133-27-27,siebenundzwanzig,siebenundzwanzig,z iː b ə n + ʊ n + ts v a n + ts ɪ ç,,List2025,,,,,seven and twen -ty-,7 8 12 5,z iː b ə n + ʊ n + ts v a n + ts ɪ ç,z iː b ə n + ʊ n d + ts v a n + ts ɪ ç,z iː b ə n + ʊ n -/d + ts v a n + ts ɪ ç
German-Chan-2019-133-28-28-1,,German,Chan-2019-133-28-28,achtundzwanzig,achtundzwanzig,a x t + ʊ n + ts v a n + ts ɪ ç,,List2025,,,,,eight and twen -ty-,13 8 12 5,a x t + ʊ n + ts v a n + ts ɪ ç,a x t + ʊ n d + ts v a n + ts ɪ ç,a x t + ʊ n -/d + ts v a n + ts ɪ ç
German-Chan-2019-133-29-29-1,,German,Chan-2019-133-29-29,neunundzwanzig,neunundzwanzig,n oɪ n + ʊ n + ts v a n + ts ɪ ç,,List2025,,,,,nine and twen -ty-,11 8 12 5,n oɪ n + ʊ n + ts v a n + ts ɪ ç,n oɪ n + ʊ n d + ts v a n + ts ɪ ç,n oɪ n + ʊ n -/d + ts v a n + ts ɪ ç
German-Chan-2019-133-30-30-1,,German,Chan-2019-133-30-30,dreißig,dreißig,d r aɪ + s ɪ ç,,List2025,,,,,three -ty-,10 5,d r aɪ + s ɪ ç,d r aɪ + ts ɪ ç,d r aɪ + s/ts ɪ ç
German-Chan-2019-133-31-31-1,,German,Chan-2019-133-31-31,einunddreißig,einunddreißig,aɪ n + ʊ n + d r aɪ + s ɪ ç,,List2025,,,,,one and three -ty-,3 8 10 5,aɪ n + ʊ n + d r aɪ + s ɪ ç,aɪ n s + ʊ n d + d r aɪ + ts ɪ ç,aɪ n -/s + ʊ n -/d + d r aɪ + s/ts ɪ ç
German-Chan-2019-133-32-32-1,,German,Chan-2019-133-32-32,zweiunddreißig,zweiunddreißig,ts v aɪ + ʊ n + d r aɪ + s ɪ ç,,List2025,,,,,two and three -ty-,14 8 10 5,ts v aɪ + ʊ n + d r aɪ + s ɪ ç,ts v aɪ + ʊ n d + d r aɪ + ts ɪ ç,ts v aɪ + ʊ n -/d + d r aɪ + s/ts ɪ ç
German-Chan-2019-133-33-33-1,,German,Chan-2019-133-33-33,dreiunddreißig,dreiunddreißig,d r aɪ + ʊ n + d r aɪ + s ɪ ç,,List2025,,,,,three and three -ty-,10 8 10 5,d r aɪ + ʊ n + d r aɪ + s ɪ ç,d r aɪ + ʊ n d + d r aɪ + ts ɪ ç,d r aɪ + ʊ n -/d + d r aɪ + s/ts ɪ ç
German-Chan-2019-133-34-34-1,,German,Chan-2019-133-34-34,vierunddreißig,vierunddreißig,f iː r + ʊ n + d r aɪ + s ɪ ç,,List2025,,,,,four and three -ty-,2 8 10 5,f iː r + ʊ n + d r aɪ + s ɪ ç,f iː r + ʊ n d + d r aɪ + ts ɪ ç,f iː r + ʊ n -/d + d r aɪ + s/ts ɪ ç
German-Chan-2019-133-35-35-1,,German,Chan-2019-133-35-35,fünfunddreißig,fünfunddreißig,f ʏ n f + ʊ n + d r aɪ + s ɪ ç,,List2025,,,,,five and three -ty-,4 8 10 5,f ʏ n f + ʊ n + d r aɪ + s ɪ ç,f ʏ n f + ʊ n d + d r aɪ + ts ɪ ç,f ʏ n f + ʊ n -/d + d r aɪ + s/ts ɪ ç
German-Chan-2019-133-36-36-1,,German,Chan-2019-133-36-36,sechsunddreißig,sechsunddreißig,z ɛ k s + ʊ n + d r aɪ + s ɪ ç,,List2025,,,,,six and three -ty-,9 8 10 5,z ɛ k s + ʊ n + d r aɪ + s ɪ ç,z ɛ k s + ʊ n d + d r aɪ + ts ɪ ç,z ɛ k s + ʊ n -/d + d r aɪ + s/ts ɪ ç
German-Chan-2019-133-37-37-1,,German,Chan-2019-133-37-37,siebenunddreißig,siebenunddreißig,z iː b ə n + ʊ n + d r aɪ + s ɪ ç,,List2025,,,,,seven and three -ty-,7 8 10 5,z iː b ə n + ʊ n + d r aɪ + s ɪ ç,z iː b ə n + ʊ n d + d r aɪ + ts ɪ ç,z iː b ə n + ʊ n -/d + d r aɪ + s/ts ɪ ç
German-Chan-2019-133-38-38-1,,German,Chan-2019-133-38-38,achtunddreißig,achtunddreißig,a x t + ʊ n + d r aɪ + s ɪ ç,,List2025,,,,,eight and three -ty-,13 8 10 5,a x t + ʊ n + d r aɪ + s ɪ ç,a x t + ʊ n d + d r aɪ + ts ɪ ç,a x t + ʊ n -/d + d r aɪ + s/ts ɪ ç
German-Chan-2019-133-39-39-1,,German,Chan-2019-133-39-39,neununddreißig,neununddreißig,n oɪ n + ʊ n + d r aɪ + s ɪ ç,,List2025,,,,,nine and three -ty-,11 8 10 5,n oɪ n + ʊ n + d r aɪ + s ɪ ç,n oɪ n + ʊ n d + d r aɪ + ts ɪ ç,n oɪ n + ʊ n -/d + d r aɪ + s/ts ɪ ç
German-Chan-2019-133-40-40-1,,German,Chan-2019-133-40-40,vierzig,vierzig,f iː r + ts ɪ ç,,List2025,,,,,four -ty-,2 5,f iː r + ts ɪ ç,f iː r + ts ɪ ç,f iː r + ts ɪ ç
Hindi-Chan-2019-133-1-1-1,,Hindi,Chan-2019-133-1-1,ek,ek,e k,,Hindi,,,,,one,1,e k,e k,e k
Hindi-Chan-2019-133-2-2-1,,Hindi,Chan-2019-133-2-2,do,do,d o,,Hindi,,,,,two,2,d o,d o,d o
Hindi-Chan-2019-133-3-3-1,,Hindi,Chan-2019-133-3-3,ti:n,ti:n,t iː n,,Hindi,,,,,three,3,t iː n,t iː n,t iː n
Hindi-Chan-2019-133-4-4-1,,Hindi,Chan-2019-133-4-4,ca:r,ca:r,tʃ aː r,,Hindi,,,,,four,4,tʃ aː r,tʃ ɔ,tʃ aː/ɔ r/-
Hindi-Chan-2019-133-5-5-1,,Hindi,Chan-2019-133-5-5,pã:c,pã:c,p ãː tʃ,,Hindi,,,,,five,5,p ãː tʃ,p a n tʃ,p ãː/a -/n tʃ
Hindi-Chan-2019-133-6-6-1,,Hindi,Chan-2019-133-6-6,che,che,tʃʰ e,,Hindi,,,,,six,6,tʃʰ e,tʃʰ a,tʃʰ e/a
Hindi-Chan-2019-133-7-7-1,,Hindi,Chan-2019-133-7-7,sa:t,sa:t,s aː t,,Hindi,,,,,seven,7,s aː t,s a t,s aː/a t
Hindi-Chan-2019-133-8-8-1,,Hindi,Chan-2019-133-8-8,a:ṭh,a:ṭh,aː ʈʰ,,Hindi,,,,,eight,8,aː ʈʰ,aː ʈʰ aː,aː ʈʰ -/aː
Hindi-Chan-2019-133-9-9-1,,Hindi,Chan-2019-133-9-9,nav,nav,n ɔ,,Hindi,,,,,nine,9,n ɔ,n ɔ,n ɔ
Hindi-Chan-2019-133-10-10-1,,Hindi,Chan-2019-133-10-10,das,das,d a s,,Hindi,,,,,ten,10,d a s,r a h,d/r a s/h
Hindi-Chan-2019-133-11-11-1,,Hindi,Chan-2019-133-11-11,gia:rah,gia:rah,g j a + r a h,,Hindi,,,,,eleven ten,11 10,g j a + r a h,g j a + r a h,g j a + r a h
Hindi-Chan-2019-133-12-12-1,,Hindi,Chan-2019-133-12-12,ba:rah,ba:rah,b aː + r a h,,Hindi,,,,,two2 ten,12 10,b aː + r a h,b aː + r a h,b aː + r a h
Hindi-Chan-2019-133-13-13-1,,Hindi,Chan-2019-133-13-13,terah,terah,t e + r a h,,Hindi,,,,,three ten,3 10,t e + r a h,t iː n + r a h,t e/iː -/n + r a h
Hindi-Chan-2019-133-14-14-1,,Hindi,Chan-2019-133-14-14,cɔdah,cɔdah,tʃ ɔ + d a h,,Hindi,,,,,four ten,4 10,tʃ ɔ + d a h,tʃ ɔ + r a h,tʃ ɔ + d/r a h
Hindi-Chan-2019-133-15-15-1,,Hindi,Chan-2019-133-15-15,pandrah,pandrah,p a n + d r a h,,Hindi,,,,,five ten,5 10,p a n + d r a h,p a n tʃ + r a h,p a n -/tʃ + d/- r a h
Hindi-Chan-2019-133-16-16-1,,Hindi,Chan-2019-133-16-16,solah,solah,s o l + a h,,Hindi,,,,,six2 ten,13 10,s o l + a h,s o l + r a h,s o l + -/r a h
Hindi-Chan-2019-133-17-17-1,,Hindi,Chan-2019-133-17-17,satrah,satrah,s a t + r a h,,Hindi,,,,,seven ten,7 10,s a t + r a h,s a t + r a h,s a t + r a h
Hindi-Chan-2019-133-18-18-1,,Hindi,Chan-2019-133-18-18,aṭha:rah,aṭha:rah,aː ʈʰ aː + r a h,,Hindi,,,,,eight ten,8 10,aː ʈʰ aː + r a h,aː ʈʰ aː + r a h,aː ʈʰ aː + r a h
Hindi-Chan-2019-133-19-19-1,,Hindi,Chan-2019-133-19-19,unni:s,unni:s,u n + n iː s,,Hindi,,,,,minus twenty,14 20,u n + n iː s,u n + b iː s,u n + n/b iː s
Hindi-Chan-2019-133-20-20-1,,Hindi,Chan-2019-133-20-20,bi:s,bi:s,b iː s,,Hindi,,,,,twenty,20,b iː s,b iː s,b iː s
Hindi-Chan-2019-133-21-21-1,,Hindi,Chan-2019-133-21-21,ikki:s,ikki:s,i k + k iː s,,Hindi,,,,,one twenty,1 20,i k + k iː s,e k + b iː s,i/e k + k/b iː s
Hindi-Chan-2019-133-22-22-1,,Hindi,Chan-2019-133-22-22,ba:i:s,ba:i:s,b aː + iː s,,Hindi,,,,,two2 twenty,12 20,b aː + iː s,b aː + b iː s,b aː + -/b iː s
Hindi-Chan-2019-133-23-23-1,,Hindi,Chan-2019-133-23-23,tei:s,tei:s,t eiː + s,,Hindi,,,,,three twenty,3 20,t eiː + s,t iː n + b iː s,t eiː/iː -/n + -/b -/iː s
Hindi-Chan-2019-133-24-24-1,,Hindi,Chan-2019-133-24-24,cɔbi:s,cɔbi:s,tʃ ɔ + b iː s,,Hindi,,,,,four twenty,4 20,tʃ ɔ + b iː s,tʃ ɔ + b iː s,tʃ ɔ + b iː s
Hindi-Chan-2019-133-25-25-1,,Hindi,Chan-2019-133-25-25,pacci:s,pacci:s,p a tʃ + tʃ iː s,,Hindi,,,,,five twenty,5 20,p a tʃ + tʃ iː s,p a n tʃ + b iː s,p a -/n tʃ + tʃ/b iː s
Hindi-Chan-2019-133-26-26-1,,Hindi,Chan-2019-133-26-26,chabbi:s,chabbi:s,tʃʰ a b + b iː s,,Hindi,,,,,six twenty,6 20,tʃʰ a b + b iː s,tʃʰ a + b iː s,tʃʰ a b/- + b iː s
Hindi-Chan-2019-133-27-27-1,,Hindi,Chan-2019-133-27-27,satta:i:s,satta:i:s,s a t t aː + iː s,,Hindi,,,,,seven twenty,7 20,s a t t aː + iː s,s a t + b iː s,s a t t/- aː/- + -/b iː s
Hindi-Chan-2019-133-28-28-1,,Hindi,Chan-2019-133-28-28,aṭṭha:i:s,aṭṭha:i:s,a ʈ ʈʰ aː + iː s,,Hindi,,,,,eight twenty,8 20,a ʈ ʈʰ aː + iː s,aː ʈʰ aː + b iː s,a/aː ʈ/- ʈʰ aː + -/b iː s
Hindi-Chan-2019-133-29-29-1,,Hindi,Chan-2019-133-29-29,untti:s,untti:s,u n t + t iː s,,Hindi,,,,,minus thirty,14 30,u n t + t iː s,u n + t iː s,u n t/- + t iː s
Hindi-Chan-2019-133-30-30-1,,Hindi,Chan-2019-133-30-30,ti:s,ti:s,t iː s,,Hindi,,,,,thirty,30,t iː s,t iː s,t iː s
Hindi-Chan-2019-133-31-31-1,,Hindi,Chan-2019-133-31-31,ikatti:s,ikatti:s,i k a t + t iː s,,Hindi,,,,,one thirty,1 30,i k a t + t iː s,e k + t iː s,i/e k a/- t/- + t iː s
Hindi-Chan-2019-133-32-32-1,,Hindi,Chan-2019-133-32-32,batti:s,batti:s,b a t + t iː s,,Hindi,,,,,two2 thirty,12 30,b a t + t iː s,b aː + t iː s,b a/aː t/- + t iː s
Hindi-Chan-2019-133-33-33-1,,Hindi,Chan-2019-133-33-33,tɛ̃nti:s,tɛ̃nti:s,t ɛ̃ n + t iː,,Hindi,,,,,three thirty,3 30,t ɛ̃ n + t iː,t iː n + t iː s,t ɛ̃/iː n + t iː -/s
Hindi-Chan-2019-133-34-34-1,,Hindi,Chan-2019-133-34-34,cɔnti:s,cɔnti:s,tʃ ɔ n + t iː s,,Hindi,,,,,four thirty,4 30,tʃ ɔ n + t iː s,tʃ ɔ + t iː s,tʃ ɔ n/- + t iː s
Hindi-Chan-2019-133-35-35-1,,Hindi,Chan-2019-133-35-35,pɛ̃ti:s,pɛ̃ti:s,p ɛ̃ + t iː s,,Hindi,,,,,five thirty,5 30,p ɛ̃ + t iː s,p a n tʃ + t iː s,p ɛ̃/a -/n -/tʃ + t iː s
Hindi-Chan-2019-133-36-36-1,,Hindi,Chan-2019-133-36-36,chatti:s,chatti:s,tʃʰ a t + t iː s,,Hindi,,,,,six thirty,6 30,tʃʰ a t + t iː s,tʃʰ a + t iː s,tʃʰ a t/- + t iː s
Hindi-Chan-2019-133-37-37-1,,Hindi,Chan-2019-133-37-37,sɛ̃ti:s,sɛ̃ti:s,s ɛ̃ t + iː s,,Hindi,,,,,seven thirty,7 30,s ɛ̃ t + iː s,s a t + t iː s,s ɛ̃/a t + -/t iː s
Hindi-Chan-2019-133-38-38-1,,Hindi,Chan-2019-133-38-38,aṛta:li:s,aṛta:li:s,a ɽ t aː l + iː s,,Hindi,,,,,eight thirty,8 30,a ɽ t aː l + iː s,aː ʈʰ aː + t iː s,a/aː ɽ/- t/ʈʰ aː l/- + -/t iː s
Hindi-Chan-2019-133-39-39-1,,Hindi,Chan-2019-133-39-39,unta:li:s,unta:li:s,u n + t aː l iː s,alternatively C+lis for tens place as an analysis,Hindi,,,,,minus forty,14 40,u n + t aː l iː s,u n + tʃ aː l iː s,u n + t/tʃ aː l iː s
Hindi-Chan-2019-133-40-40-1,,Hindi,Chan-2019-133-40-40,ca:li:s,ca:li:s,tʃ aː l iː s,,Hindi,,,,,forty,40,tʃ aː l iː s,tʃ aː l iː s,tʃ aː l iː s
Huallaga_Quechua-Chan-2019-133-1-1-1,,Huallaga_Quechua,Chan-2019-133-1-1,huk,huk,h u k,,HuallagaQuechua1;HuallagaQuechua2,,,,,one,1,h u k,h u k,h u k
Huallaga_Quechua-Chan-2019-133-2-2-1,,Huallaga_Quechua,Chan-2019-133-2-2,iʃkaj,iʃkaj,i ʃ k a j,,HuallagaQuechua1;HuallagaQuechua2,,,,,two,2,i ʃ k a j,i ʃ k a j,i ʃ k a j
Huallaga_Quechua-Chan-2019-133-3-3-1,,Huallaga_Quechua,Chan-2019-133-3-3,kimsa,kimsa,k i m s a,,HuallagaQuechua1;HuallagaQuechua2,,,,,three,5,k i m s a,k i m s a,k i m s a
Huallaga_Quechua-Chan-2019-133-4-4-1,,Huallaga_Quechua,Chan-2019-133-4-4,tʃusku,tʃusku,tʃ u s k u,,HuallagaQuechua1;HuallagaQuechua2,,,,,four,11,tʃ u s k u,tʃ u s k u,tʃ u s k u
Huallaga_Quechua-Chan-2019-133-5-5-1,,Huallaga_Quechua,Chan-2019-133-5-5,pitʃqa,pitʃqa,p i tʃ q a,,HuallagaQuechua1;HuallagaQuechua2,,,,,five,6,p i tʃ q a,p i tʃ q a,p i tʃ q a
Huallaga_Quechua-Chan-2019-133-6-6-1,,Huallaga_Quechua,Chan-2019-133-6-6,soqta,soqta,s o q t a,,HuallagaQuechua1;HuallagaQuechua2,,,,,six,9,s o q t a,s o q t a,s o q t a
Huallaga_Quechua-Chan-2019-133-7-7-1,,Huallaga_Quechua,Chan-2019-133-7-7,qantʃis,qantʃis,q a n tʃ i s,,HuallagaQuechua1;HuallagaQuechua2,,,,,seven,8,q a n tʃ i s,q a n tʃ i s,q a n tʃ i s
Huallaga_Quechua-Chan-2019-133-8-8-1,,Huallaga_Quechua,Chan-2019-133-8-8,pusaq,pusaq,p u s a q,,HuallagaQuechua1;HuallagaQuechua2,,,,,eight,7,p u s a q,p u s a q,p u s a q
Huallaga_Quechua-Chan-2019-133-9-9-1,,Huallaga_Quechua,Chan-2019-133-9-9,isqon,isqon,i s q o n,,HuallagaQuechua1;HuallagaQuechua2,,,,,nine,4,i s q o n,i s q o n,i s q o n
Huallaga_Quechua-Chan-2019-133-10-10-1,,Huallaga_Quechua,Chan-2019-133-10-10,tʃuŋka,tʃuŋka,tʃ u ŋ k a,,HuallagaQuechua1;HuallagaQuechua2,,,,,ten,10,tʃ u ŋ k a,tʃ u ŋ k a,tʃ u ŋ k a
Huallaga_Quechua-Chan-2019-133-11-11-1,,Huallaga_Quechua,Chan-2019-133-11-11,tʃuŋka huk,tʃuŋka huk,tʃ u ŋ k a + h u k,,HuallagaQuechua1;HuallagaQuechua2,,,,,ten one,10 1,tʃ u ŋ k a + h u k,tʃ u ŋ k a + h u k,tʃ u ŋ k a + h u k
Huallaga_Quechua-Chan-2019-133-12-12-1,,Huallaga_Quechua,Chan-2019-133-12-12,tʃuŋka iʃkaj,tʃuŋka iʃkaj,tʃ u ŋ k a + i ʃ k a j,,HuallagaQuechua1;HuallagaQuechua2,,,,,ten two,10 2,tʃ u ŋ k a + i ʃ k a j,tʃ u ŋ k a + i ʃ k a j,tʃ u ŋ k a + i ʃ k a j
Huallaga_Quechua-Chan-2019-133-13-13-1,,Huallaga_Quechua,Chan-2019-133-13-13,tʃuŋka kimsa,tʃuŋka kimsa,tʃ u ŋ k a + k i m s a,,HuallagaQuechua1;HuallagaQuechua2,,,,,ten three,10 5,tʃ u ŋ k a + k i m s a,tʃ u ŋ k a + k i m s a,tʃ u ŋ k a + k i m s a
Huallaga_Quechua-Chan-2019-133-14-14-1,,Huallaga_Quechua,Chan-2019-133-14-14,tʃuŋka tʃusku,tʃuŋka tʃusku,tʃ u ŋ k a + tʃ u s k u,,HuallagaQuechua1;HuallagaQuechua2,,,,,ten four,10 11,tʃ u ŋ k a + tʃ u s k u,tʃ u ŋ k a + tʃ u s k u,tʃ u ŋ k a + tʃ u s k u
Huallaga_Quechua-Chan-2019-133-15-15-1,,Huallaga_Quechua,Chan-2019-133-15-15,tʃuŋka pitʃqa,tʃuŋka pitʃqa,tʃ u ŋ k a + p i tʃ q a,,HuallagaQuechua1;HuallagaQuechua2,,,,,ten five,10 6,tʃ u ŋ k a + p i tʃ q a,tʃ u ŋ k a + p i tʃ q a,tʃ u ŋ k a + p i tʃ q a
Huallaga_Quechua-Chan-2019-133-16-16-1,,Huallaga_Quechua,Chan-2019-133-16-16,tʃuŋka soqta,tʃuŋka soqta,tʃ u ŋ k a + s o q t a,,HuallagaQuechua1;HuallagaQuechua2,,,,,ten six,10 9,tʃ u ŋ k a + s o q t a,tʃ u ŋ k a + s o q t a,tʃ u ŋ k a + s o q t a
Huallaga_Quechua-Chan-2019-133-17-17-1,,Huallaga_Quechua,Chan-2019-133-17-17,tʃuŋka qantʃis,tʃuŋka qantʃis,tʃ u ŋ k a + q a n tʃ i s,,HuallagaQuechua1;HuallagaQuechua2,,,,,ten seven,10 8,tʃ u ŋ k a + q a n tʃ i s,tʃ u ŋ k a + q a n tʃ i s,tʃ u ŋ k a + q a n tʃ i s
Huallaga_Quechua-Chan-2019-133-18-18-1,,Huallaga_Quechua,Chan-2019-133-18-18,tʃuŋka pusaq,tʃuŋka pusaq,tʃ u ŋ k a + p u s a q,,HuallagaQuechua1;HuallagaQuechua2,,,,,ten eight,10 7,tʃ u ŋ k a + p u s a q,tʃ u ŋ k a + p u s a q,tʃ u ŋ k a + p u s a q
Huallaga_Quechua-Chan-2019-133-19-19-1,,Huallaga_Quechua,Chan-2019-133-19-19,tʃuŋka isqon,tʃuŋka isqon,tʃ u ŋ k a + i s q o n,,HuallagaQuechua1;HuallagaQuechua2,,,,,ten nine,10 4,tʃ u ŋ k a + i s q o n,tʃ u ŋ k a + i s q o n,tʃ u ŋ k a + i s q o n
Huallaga_Quechua-Chan-2019-133-20-20-1,,Huallaga_Quechua,Chan-2019-133-20-20,iʃkaj tʃuŋka,iʃkaj tʃuŋka,i ʃ k a j + tʃ u ŋ k a,,HuallagaQuechua1;HuallagaQuechua2,,,,,two ten,2 10,i ʃ k a j + tʃ u ŋ k a,i ʃ k a j + tʃ u ŋ k a,i ʃ k a j + tʃ u ŋ k a
Huallaga_Quechua-Chan-2019-133-21-21-1,,Huallaga_Quechua,Chan-2019-133-21-21,iʃkaj tʃuŋka huk,iʃkaj tʃuŋka huk,i ʃ k a j + tʃ u ŋ k a + h u k,,HuallagaQuechua1;HuallagaQuechua2,,,,,two ten one,2 10 1,i ʃ k a j + tʃ u ŋ k a + h u k,i ʃ k a j + tʃ u ŋ k a + h u k,i ʃ k a j + tʃ u ŋ k a + h u k
Huallaga_Quechua-Chan-2019-133-22-22-1,,Huallaga_Quechua,Chan-2019-133-22-22,iʃkaj tʃuŋka iʃkaj,iʃkaj tʃuŋka iʃkaj,i ʃ k a j + tʃ u ŋ k a + i ʃ k a j,,HuallagaQuechua1;HuallagaQuechua2,,,,,two ten two,2 10 2,i ʃ k a j + tʃ u ŋ k a + i ʃ k a j,i ʃ k a j + tʃ u ŋ k a + i ʃ k a j,i ʃ k a j + tʃ u ŋ k a + i ʃ k a j
Huallaga_Quechua-Chan-2019-133-23-23-1,,Huallaga_Quechua,Chan-2019-133-23-23,iʃkaj tʃuŋka kimsa,iʃkaj tʃuŋka kimsa,i ʃ k a j + tʃ u ŋ k a + k i m s a,,HuallagaQuechua1;HuallagaQuechua2,,,,,two ten three,2 10 5,i ʃ k a j + tʃ u ŋ k a + k i m s a,i ʃ k a j + tʃ u ŋ k a + k i m s a,i ʃ k a j + tʃ u ŋ k a + k i m s a
Huallaga_Quechua-Chan-2019-133-24-24-1,,Huallaga_Quechua,Chan-2019-133-24-24,iʃkaj tʃuŋka tʃusku,iʃkaj tʃuŋka tʃusku,i ʃ k a j + tʃ u ŋ k a + tʃ u s k u,,HuallagaQuechua1;HuallagaQuechua2,,,,,two ten four,2 10 11,i ʃ k a j + tʃ u ŋ k a + tʃ u s k u,i ʃ k a j + tʃ u ŋ k a + tʃ u s k u,i ʃ k a j + tʃ u ŋ k a + tʃ u s k u
Huallaga_Quechua-Chan-2019-133-25-25-1,,Huallaga_Quechua,Chan-2019-133-25-25,iʃkaj tʃuŋka pitʃqa,iʃkaj tʃuŋka pitʃqa,i ʃ k a j + tʃ u ŋ k a + p i tʃ q a,,HuallagaQuechua1;HuallagaQuechua2,,,,,two ten five,2 10 6,i ʃ k a j + tʃ u ŋ k a + p i tʃ q a,i ʃ k a j + tʃ u ŋ k a + p i tʃ q a,i ʃ k a j + tʃ u ŋ k a + p i tʃ q a
Huallaga_Quechua-Chan-2019-133-26-26-1,,Huallaga_Quechua,Chan-2019-133-26-26,iʃkaj tʃuŋka soqta,iʃkaj tʃuŋka soqta,i ʃ k a j + tʃ u ŋ k a + s o q t a,,HuallagaQuechua1;HuallagaQuechua2,,,,,two ten six,2 10 9,i ʃ k a j + tʃ u ŋ k a + s o q t a,i ʃ k a j + tʃ u ŋ k a + s o q t a,i ʃ k a j + tʃ u ŋ k a + s o q t a
Huallaga_Quechua-Chan-2019-133-27-27-1,,Huallaga_Quechua,Chan-2019-133-27-27,iʃkaj tʃuŋka qantʃis,iʃkaj tʃuŋka qantʃis,i ʃ k a j + tʃ u ŋ k a + q a n tʃ i s,,HuallagaQuechua1;HuallagaQuechua2,,,,,two ten seven,2 10 8,i ʃ k a j + tʃ u ŋ k a + q a n tʃ i s,i ʃ k a j + tʃ u ŋ k a + q a n tʃ i s,i ʃ k a j + tʃ u ŋ k a + q a n tʃ i s
Huallaga_Quechua-Chan-2019-133-28-28-1,,Huallaga_Quechua,Chan-2019-133-28-28,iʃkaj tʃuŋka pusaq,iʃkaj tʃuŋka pusaq,i ʃ k a j + tʃ u ŋ k a + p u s a q,,HuallagaQuechua1;HuallagaQuechua2,,,,,two ten eight,2 10 7,i ʃ k a j + tʃ u ŋ k a + p u s a q,i ʃ k a j + tʃ u ŋ k a + p u s a q,i ʃ k a j + tʃ u ŋ k a + p u s a q
